partition,regime,intervals,occupancy,episodes,episode_median_intervals,episode_p75_intervals,episode_p90_intervals,episode_max_intervals,episode_median_hours,persistence,flip_back_n,flip_back_den,flip_back_rate,state_changes,changes_per_week,direct_bull_bear_changes,to_sideways_from_directional_changes,variant
external,BULL,2264,0.5163055872291904,168,7.0,16.5,38.0,75,28.0,0.9257950530035336,100,558,0.17921146953405018,559,5.352941176470588,16,271,RAW
external,BEAR,1007,0.22964652223489168,120,6.0,11.25,19.0,72,24.0,0.8817097415506958,100,558,0.17921146953405018,559,5.352941176470588,16,271,RAW
external,SIDEWAYS,1114,0.2540478905359179,272,2.0,4.0,9.900000000000006,42,8.0,0.755834829443447,100,558,0.17921146953405018,559,5.352941176470588,16,271,RAW
development,BULL,2943,0.44753649635036497,268,6.0,15.0,29.0,73,24.0,0.908936459395175,225,1033,0.21781219748305905,1033,6.597627737226277,98,468,RAW
development,BEAR,2857,0.43445863746958635,297,5.0,13.0,24.400000000000034,62,20.0,0.8956947847392369,225,1033,0.21781219748305905,1033,6.597627737226277,98,468,RAW
development,SIDEWAYS,776,0.11800486618004866,468,1.0,2.0,3.0,5,4.0,0.39741935483870966,225,1033,0.21781219748305905,1033,6.597627737226277,98,468,RAW
reference_validation,BULL,1483,0.42985507246376814,171,4.0,10.0,26.0,52,16.0,0.8846931894807822,134,609,0.2200328407224959,609,7.413913043478261,41,284,RAW
reference_validation,BEAR,1450,0.42028985507246375,155,5.0,13.0,22.0,61,20.0,0.893719806763285,134,609,0.2200328407224959,609,7.413913043478261,41,284,RAW
reference_validation,SIDEWAYS,517,0.1498550724637681,284,1.0,2.0,3.0,19,4.0,0.4506769825918762,134,609,0.2200328407224959,609,7.413913043478261,41,284,RAW
POOLED_MAJOR,BULL,6690,0.4642287141766706,607,6.0,13.5,30.0,75,24.0,0.9092675635276533,459,2202,0.20844686648501362,2202,6.417152373022481,155,1023,RAW
POOLED_MAJOR,BEAR,5314,0.3687460967316633,572,5.0,12.0,22.0,72,20.0,0.8925277620929795,459,2202,0.20844686648501362,2202,6.417152373022481,155,1023,RAW
POOLED_MAJOR,SIDEWAYS,2407,0.16702518909166608,1024,2.0,2.0,4.0,42,8.0,0.5745741587037806,459,2202,0.20844686648501362,2202,6.417152373022481,155,1023,RAW
external,BULL,2348,0.5354618015963512,135,11.0,24.5,42.60000000000001,75,44.0,0.942504258943782,39,440,0.08863636363636364,441,4.222982216142271,26,207,B27BJ
external,BEAR,1079,0.2460661345496009,99,9.0,13.0,21.200000000000003,73,36.0,0.9090909090909091,39,440,0.08863636363636364,441,4.222982216142271,26,207,B27BJ
external,SIDEWAYS,958,0.21847206385404788,208,2.0,5.0,12.0,42,8.0,0.7828810020876826,39,440,0.08863636363636364,441,4.222982216142271,26,207,B27BJ
development,BULL,3061,0.4654805352798054,211,7.0,20.5,35.0,112,28.0,0.9310682783404116,89,746,0.1193029490616622,746,4.764598540145985,131,308,B27BJ
development,BEAR,3014,0.4583333333333333,227,9.0,19.0,33.20000000000002,67,36.0,0.9243530192435302,89,746,0.1193029490616622,746,4.764598540145985,131,308,B27BJ
development,SIDEWAYS,501,0.07618613138686131,308,1.0,2.0,3.0,5,4.0,0.386,89,746,0.1193029490616622,746,4.764598540145985,131,308,B27BJ
reference_validation,BULL,1575,0.45652173913043476,129,8.0,15.0,33.2,58,32.0,0.9180952380952381,49,452,0.1084070796460177,452,5.5026086956521745,64,194,B27BJ
reference_validation,BEAR,1531,0.443768115942029,130,6.5,17.0,28.0,73,26.0,0.9156862745098039,49,452,0.1084070796460177,452,5.5026086956521745,64,194,B27BJ
reference_validation,SIDEWAYS,344,0.09971014492753623,194,1.0,2.0,3.0,18,4.0,0.436046511627907,49,452,0.1084070796460177,452,5.5026086956521745,64,194,B27BJ
POOLED_MAJOR,BULL,6984,0.4846297966830893,475,9.0,21.0,36.0,112,36.0,0.931987399770905,177,1640,0.10792682926829268,1640,4.779350541215654,221,709,B27BJ
POOLED_MAJOR,BEAR,5624,0.3902574422316286,456,8.0,17.0,28.5,73,32.0,0.9190823403876934,177,1640,0.10792682926829268,1640,4.779350541215654,221,709,B27BJ
POOLED_MAJOR,SIDEWAYS,1803,0.12511276108528208,710,2.0,2.0,4.0,42,8.0,0.6062118691070438,177,1640,0.10792682926829268,1640,4.779350541215654,221,709,B27BJ
