partition,entry_tf,higher_tf,entry_type,higher_state,n,fakeout_ma6_rate,hard_reversal_12_rate,median_ret6,median_mfe6,median_mae6,mean_strong_frac6
august,1h,4h,CROSSOVER_INIT,NEUTRAL,3,0.3333333333333333,0.3333333333333333,-0.005900670224707638,0.002891625870266701,-0.008170760918744913,0.7777777777777777
august,1h,4h,PULLBACK_RECLAIM,NEUTRAL,3,0.0,0.3333333333333333,-0.0006411534626888926,0.002482114631109811,-0.004950078003120195,0.7222222222222223
august,1h,4h,PULLBACK_RECLAIM,STRONG_BULL,3,0.3333333333333333,0.3333333333333333,-0.0033560909136945982,0.0021018690466292345,-0.004550790680597716,0.4444444444444445
august,5m,1h,CROSSOVER_INIT,NEUTRAL,37,0.32432432432432434,0.3783783783783784,-0.0001584956759917988,0.000489984591679482,-0.0004526949205782005,0.8513513513513514
august,5m,1h,CROSSOVER_INIT,STRONG_BEAR,15,0.3333333333333333,0.3333333333333333,-1.4276468572771428e-05,0.0007345185477884986,-0.000865464015753048,0.8777777777777778
august,5m,1h,CROSSOVER_INIT,STRONG_BULL,4,0.25,0.5,0.0012312584674344373,0.0030533515946261636,-0.0007915033491814882,0.9166666666666666
august,5m,1h,PULLBACK_RECLAIM,NEUTRAL,36,0.4166666666666667,0.3611111111111111,0.0005881780318192087,0.0010927960186647434,-0.0006794993244383929,0.6851851851851852
august,5m,1h,PULLBACK_RECLAIM,STRONG_BEAR,3,0.0,0.0,0.001063251770524909,0.0013018863166389671,-0.000507657428983066,0.8333333333333334
august,5m,1h,PULLBACK_RECLAIM,STRONG_BULL,24,0.4166666666666667,0.4583333333333333,6.550389660686662e-07,0.0011476696747061421,-0.0017626985519201277,0.6527777777777778
development,1h,4h,CROSSOVER_INIT,NEUTRAL,238,0.3697478991596639,0.47478991596638653,-0.0007896635732337898,0.007444090181461638,-0.007350438230309508,0.8179271708683474
development,1h,4h,CROSSOVER_INIT,STRONG_BEAR,3,0.0,0.0,0.005865447465165374,0.011872689356080546,-3.4584006279869683e-06,1.0
development,1h,4h,CROSSOVER_INIT,STRONG_BULL,8,0.0,0.0,0.005084881514158535,0.01563285769731748,-0.0055227070355476915,1.0
development,1h,4h,PULLBACK_RECLAIM,NEUTRAL,182,0.4340659340659341,0.4340659340659341,-0.0004799247431696019,0.006807803156359538,-0.006178290333199388,0.7032967032967034
development,1h,4h,PULLBACK_RECLAIM,STRONG_BULL,94,0.425531914893617,0.30851063829787234,0.0007292602882070787,0.008069232425572004,-0.005310350903103667,0.677304964539007
development,5m,1h,CROSSOVER_INIT,NEUTRAL,1857,0.3694130317716747,0.49973074851911686,-0.00016819021428016168,0.0013711497144337503,-0.0015092584002691645,0.821127266199964
development,5m,1h,CROSSOVER_INIT,STRONG_BEAR,975,0.3364102564102564,0.4553846153846154,-2.8654731970778613e-05,0.0016401952530307184,-0.0015626907213542873,0.8432478632478633
development,5m,1h,CROSSOVER_INIT,STRONG_BULL,444,0.4391891891891892,0.5923423423423423,-0.00026715778389824196,0.0017534114170520976,-0.0016753191934907319,0.7882882882882883
development,5m,1h,PULLBACK_RECLAIM,NEUTRAL,2371,0.509067903838043,0.5018979333614508,-0.0002578067094196612,0.0013843048863229068,-0.0015128593040846239,0.6715872346407986
development,5m,1h,PULLBACK_RECLAIM,STRONG_BEAR,395,0.4911392405063291,0.5189873417721519,-0.00022135907554909906,0.001434186209948063,-0.0015748623276534701,0.680590717299578
development,5m,1h,PULLBACK_RECLAIM,STRONG_BULL,1239,0.5108958837772397,0.5044390637610977,-0.00034805244185120987,0.001768589156155187,-0.0018824513700063106,0.6560398170567663
external,1h,4h,CROSSOVER_INIT,NEUTRAL,132,0.22727272727272727,0.3181818181818182,0.0009692423677410966,0.01032030467733236,-0.0067157361188321385,0.8863636363636364
external,1h,4h,CROSSOVER_INIT,STRONG_BEAR,3,0.0,0.0,-0.0024427243021279965,0.003853363214313399,-0.009920918915050425,1.0
external,1h,4h,CROSSOVER_INIT,STRONG_BULL,7,0.2857142857142857,0.2857142857142857,0.00561683120658607,0.016379520630245503,-0.007536201980230195,0.8333333333333333
external,1h,4h,PULLBACK_RECLAIM,NEUTRAL,136,0.4117647058823529,0.4264705882352941,-0.001067944444992086,0.007735222278263398,-0.006928484757944331,0.7205882352941176
external,1h,4h,PULLBACK_RECLAIM,STRONG_BULL,80,0.45,0.3875,-0.003531583830976126,0.007584821993222857,-0.01134406473371341,0.6645833333333334
external,5m,1h,CROSSOVER_INIT,NEUTRAL,1204,0.3521594684385382,0.47840531561461797,-0.00012927076298857587,0.002118553257615896,-0.0022404384613931017,0.8333333333333333
external,5m,1h,CROSSOVER_INIT,STRONG_BEAR,589,0.3395585738539898,0.4431239388794567,-0.0002850932459677047,0.0027169176979913168,-0.0025846455157592096,0.8474816072439162
external,5m,1h,CROSSOVER_INIT,STRONG_BULL,300,0.41,0.55,-5.0873702868048376e-05,0.0020991779558716672,-0.002025097323603897,0.805
external,5m,1h,PULLBACK_RECLAIM,NEUTRAL,1652,0.4860774818401937,0.4897094430992736,-0.0002432667303871039,0.0022805958333116383,-0.002188601840160398,0.6823042776432607
external,5m,1h,PULLBACK_RECLAIM,STRONG_BEAR,294,0.4557823129251701,0.5204081632653061,-0.0001488819886339976,0.0025415720707618883,-0.002280958380574072,0.7091836734693877
external,5m,1h,PULLBACK_RECLAIM,STRONG_BULL,1032,0.49709302325581395,0.4748062015503876,-0.0004116710491802178,0.0025395105524544936,-0.002387524274360009,0.6613372093023255
reference_validation,1h,4h,CROSSOVER_INIT,NEUTRAL,117,0.3333333333333333,0.47863247863247865,-0.0012530619722832537,0.005506933410582393,-0.00652495927151675,0.8475783475783475
reference_validation,1h,4h,CROSSOVER_INIT,STRONG_BEAR,2,0.0,0.5,-0.007640396912605596,0.010868612496160002,-0.014003470979975785,1.0
reference_validation,1h,4h,CROSSOVER_INIT,STRONG_BULL,8,0.125,0.25,-0.00024242181865846701,0.00802799625375128,-0.004155203607495217,0.9791666666666667
reference_validation,1h,4h,PULLBACK_RECLAIM,NEUTRAL,90,0.5,0.4444444444444444,-0.00043428293975439347,0.0054964355138880094,-0.005444287322439512,0.7037037037037037
reference_validation,1h,4h,PULLBACK_RECLAIM,STRONG_BULL,61,0.4426229508196721,0.4098360655737705,-0.001981537385189802,0.0070837569406427825,-0.007460468231081374,0.7295081967213115
reference_validation,5m,1h,CROSSOVER_INIT,NEUTRAL,895,0.3575418994413408,0.5027932960893855,-4.141022023496088e-05,0.0012347496336395647,-0.0013017326510458282,0.8307262569832402
reference_validation,5m,1h,CROSSOVER_INIT,STRONG_BEAR,522,0.3448275862068966,0.4578544061302682,-2.558288396919961e-05,0.0014068242283901133,-0.0015333402043252176,0.8461047254150702
reference_validation,5m,1h,CROSSOVER_INIT,STRONG_BULL,224,0.40625,0.5357142857142857,-0.00013548023958565025,0.001310638780673945,-0.0016706418902274756,0.8102678571428571
reference_validation,5m,1h,PULLBACK_RECLAIM,NEUTRAL,1048,0.4484732824427481,0.4532442748091603,-6.21577380598426e-05,0.001243828953689352,-0.0012580040231446876,0.7092875318066159
reference_validation,5m,1h,PULLBACK_RECLAIM,STRONG_BEAR,226,0.48672566371681414,0.5353982300884956,1.8741574342451273e-07,0.0013128157944856111,-0.0013905768094512605,0.6880530973451328
reference_validation,5m,1h,PULLBACK_RECLAIM,STRONG_BULL,608,0.4309210526315789,0.4194078947368421,1.0565196684186873e-05,0.0015254057551311595,-0.0014946218423600999,0.7036732456140351
