zone,distance,distance_r,partition,n,activation_n,activation_rate,wr,pf,expectancy,total_pnl,hard_stop_touch,hard_stop_gap,ceiling_hits,gap_exits,time_exits
F05,D30,0.3,external,8,4,0.5,0.5,0.5797249448449769,-0.6885285474915067,-5.508228379932054,2,0,2,2,2
F05,D30,0.3,development,17,10,0.5882352941176471,0.5882352941176471,0.8761447859516717,-0.14863411268562757,-2.5267799156556685,7,0,6,4,0
F05,D30,0.3,reference_validation,3,1,0.3333333333333333,0.3333333333333333,1.4861330150469385,0.40694524466682713,1.2208357340004814,1,0,0,1,1
F05,D30,0.3,august,0,0,,,,,0.0,0,0,0,0,0
F05,D30,0.3,POOLED_MAJOR,28,15,0.5357142857142857,0.5357142857142857,0.8108154101861439,-0.24336330577097295,-6.814172561587243,10,0,8,7,3
F05,D40,0.4,external,8,4,0.5,0.5,0.7334197849359719,-0.3452117887599744,-2.761694310079795,1,0,2,2,3
F05,D40,0.4,development,17,11,0.6470588235294118,0.5882352941176471,0.7962232353807941,-0.2690914488295623,-4.5745546301025595,5,0,6,5,1
F05,D40,0.4,reference_validation,3,1,0.3333333333333333,0.3333333333333333,1.260539256657712,0.25713153239553094,0.7713945971865929,1,0,0,1,1
F05,D40,0.4,august,0,0,,,,,0.0,0,0,0,0,0
F05,D40,0.4,POOLED_MAJOR,28,16,0.5714285714285714,0.5357142857142857,0.816466929865528,-0.23445908367842017,-6.564854342995765,7,0,8,8,5
F05,D50,0.5,external,8,4,0.5,0.5,0.6948636555983814,-0.4170658857499422,-3.3365270859995375,1,0,2,2,3
F05,D50,0.5,development,17,11,0.6470588235294118,0.5882352941176471,0.6658381054360766,-0.5276772371132598,-8.970513030925416,5,0,6,5,1
F05,D50,0.5,reference_validation,3,1,0.3333333333333333,0.3333333333333333,1.0944088946631716,0.1073178201241608,0.3219534603724824,1,0,0,1,1
F05,D50,0.5,august,0,0,,,,,0.0,0,0,0,0,0
F05,D50,0.5,POOLED_MAJOR,28,16,0.5714285714285714,0.5357142857142857,0.7090260991334576,-0.42803880916258824,-11.98508665655247,7,0,8,8,5
F10,D30,0.3,external,10,4,0.4,0.5,0.8572282115932276,-0.17613007770217415,-1.7613007770217415,3,0,2,2,3
F10,D30,0.3,development,22,13,0.5909090909090909,0.5909090909090909,1.1328813172221044,0.14698228437274904,3.2336102562004787,9,0,8,5,0
F10,D30,0.3,reference_validation,5,1,0.2,0.2,0.974216115569275,-0.024557824424575613,-0.12278912212287807,2,0,0,1,2
F10,D30,0.3,august,0,0,,,,,0.0,0,0,0,0,0
F10,D30,0.3,POOLED_MAJOR,37,18,0.4864864864864865,0.5135135135135135,1.032570917014644,0.036473523163671855,1.3495203570558587,14,0,10,8,5
F10,D40,0.4,external,10,4,0.4,0.5,0.7332474934976573,-0.3847206556388479,-3.8472065563884787,3,0,2,2,3
F10,D40,0.4,development,22,14,0.6363636363636364,0.6363636363636364,1.0324835793647555,0.03970269369655618,0.8734592613242359,7,0,8,6,1
F10,D40,0.4,reference_validation,5,2,0.4,0.4,2.068642973721485,0.6303906499250613,3.151953249625307,1,0,1,1,2
F10,D40,0.4,august,0,0,,,,,0.0,0,0,0,0,0
F10,D40,0.4,POOLED_MAJOR,37,20,0.5405405405405406,0.5675675675675675,1.0040262406173457,0.004816377150299007,0.17820595456106325,11,0,11,9,6
F10,D50,0.5,external,10,4,0.4,0.5,0.6405979587910733,-0.5933112335755105,-5.933112335755105,3,0,2,2,3
F10,D50,0.5,development,22,14,0.6363636363636364,0.6363636363636364,0.9864482031977236,-0.017336516750099982,-0.3814033685021996,6,0,8,6,2
F10,D50,0.5,reference_validation,5,2,0.4,0.4,1.795212778435552,0.5405428038803064,2.702714019401532,1,0,1,1,2
F10,D50,0.5,august,0,0,,,,,0.0,0,0,0,0,0
F10,D50,0.5,POOLED_MAJOR,37,20,0.5405405405405406,0.5675675675675675,0.9248342088830023,-0.09761626175285876,-3.611801684855774,10,0,11,9,7
F15,D30,0.3,external,10,3,0.3,0.4,0.8926013584870596,-0.11827501000417037,-1.1827501000417038,3,0,1,2,4
F15,D30,0.3,development,26,14,0.5384615384615384,0.5384615384615384,1.117567526396245,0.12658199900670672,3.291131974174375,11,0,8,6,1
F15,D30,0.3,reference_validation,6,2,0.3333333333333333,0.6666666666666666,2.2055280350495736,0.7305279047782632,4.383167428669579,2,0,1,1,2
F15,D30,0.3,august,1,0,0.0,0.0,0.0,-1.4034600888062516,-1.4034600888062516,1,0,0,0,0
F15,D30,0.3,POOLED_MAJOR,42,19,0.4523809523809524,0.5238095238095238,1.152233174661953,0.15456069768576786,6.49154930280225,16,0,10,9,7
F15,D40,0.4,external,10,3,0.3,0.4,0.7505449485507637,-0.32671369953330387,-3.267136995333039,3,0,1,2,4
F15,D40,0.4,development,26,16,0.6153846153846154,0.6153846153846154,1.044893098811848,0.0543661128638666,1.4135189344605315,8,0,9,7,2
F15,D40,0.4,reference_validation,6,2,0.3333333333333333,0.6666666666666666,1.7504323442908223,0.572978455664908,3.437870733989448,2,0,1,1,2
F15,D40,0.4,august,1,0,0.0,0.0,0.0,-1.7379467850750392,-1.7379467850750392,1,0,0,0,0
F15,D40,0.4,POOLED_MAJOR,42,21,0.5,0.5714285714285714,1.0322234335868117,0.037720301740879536,1.5842526731169406,13,0,11,10,8
F15,D50,0.5,external,10,3,0.3,0.4,0.6474966516734119,-0.5351523890624486,-5.3515238906244855,3,0,1,2,4
F15,D50,0.5,development,26,16,0.6153846153846154,0.6153846153846154,1.1399974661693628,0.1553949311210666,4.040268209147731,6,0,9,7,4
F15,D50,0.5,reference_validation,6,3,0.5,0.8333333333333334,3.434815779235046,1.0734240540710356,6.440544324426213,1,0,1,2,2
F15,D50,0.5,august,1,0,0.0,0.0,0.0,-2.0724334813438268,-2.0724334813438268,1,0,0,0,0
F15,D50,0.5,POOLED_MAJOR,42,22,0.5238095238095238,0.5952380952380952,1.10986721756642,0.12212592007022531,5.129288642949463,10,0,11,11,10
