anchor,offset,event_class,n,share,direction,positive1h,positive3h,avg_signed1h,avg_signed3h,aug_n,aug_positive3h,recurring_stable,strong_repeatable_direction,candidate80
ASIA_OPEN,-3,INSIDE,886,0.5302214242968283,,,,,,7,,True,False,False
ASIA_OPEN,-3,HIGH_REJECT,229,0.13704368641532017,SHORT,0.537117903930131,0.5502183406113537,-0.0001575567901033018,0.00014126734138898283,5,0.6,True,False,False
ASIA_OPEN,-3,LOW_REJECT,224,0.13405146618791142,LONG,0.5357142857142857,0.5223214285714286,-2.3995217730460018e-05,-0.0004504062712101649,2,0.0,True,False,False
ASIA_OPEN,-3,HIGH_ACCEPT,185,0.11071214841412327,LONG,0.44324324324324327,0.3783783783783784,0.00015133868133596748,-0.00059068091314636,2,0.5,True,False,False
ASIA_OPEN,-3,LOW_ACCEPT,132,0.07899461400359066,SHORT,0.3181818181818182,0.4166666666666667,-0.0017147901991646888,-0.0011662936300298886,2,1.0,True,False,False
ASIA_OPEN,-3,BOTH,15,0.008976660682226212,,,,,,0,,False,False,False
ASIA_OPEN,-2,INSIDE,885,0.5296229802513465,,,,,,8,,True,False,False
ASIA_OPEN,-2,HIGH_REJECT,210,0.12567324955116696,SHORT,0.5142857142857142,0.5333333333333333,-6.95225327314993e-05,0.0002993065916070715,2,1.0,True,False,False
ASIA_OPEN,-2,LOW_REJECT,197,0.11789347695990425,LONG,0.49746192893401014,0.49746192893401014,-0.0005069239434474389,-0.0005911147436370992,3,1.0,True,False,False
ASIA_OPEN,-2,HIGH_ACCEPT,207,0.12387791741472172,LONG,0.3864734299516908,0.40096618357487923,-0.0003448842175728314,-0.0011850538520158565,1,1.0,True,False,False
ASIA_OPEN,-2,LOW_ACCEPT,152,0.09096349491322561,SHORT,0.5,0.4868421052631579,0.0010709041647132807,0.0010756284063582564,3,0.6666666666666666,True,False,False
ASIA_OPEN,-2,BOTH,20,0.011968880909634948,,,,,,1,,False,False,False
ASIA_OPEN,-1,INSIDE,910,0.5445840813883902,,,,,,9,,True,False,False
ASIA_OPEN,-1,HIGH_REJECT,227,0.13584679832435667,SHORT,0.5550660792951542,0.5550660792951542,-0.00044526388635967456,-0.00016098265700852094,1,0.0,True,False,False
ASIA_OPEN,-1,LOW_REJECT,177,0.1059245960502693,LONG,0.536723163841808,0.5932203389830508,5.5058749262299584e-05,0.0001995753986757075,5,0.4,True,False,False
ASIA_OPEN,-1,HIGH_ACCEPT,179,0.10712148414123279,LONG,0.39664804469273746,0.41899441340782123,-0.0004233858238751877,-0.0006463605958329452,2,0.5,True,False,False
ASIA_OPEN,-1,LOW_ACCEPT,167,0.09994015559545183,SHORT,0.4251497005988024,0.437125748502994,-0.00014279236363813893,0.00024753123420102327,1,0.0,True,False,False
ASIA_OPEN,-1,BOTH,11,0.006582884500299222,,,,,,0,,False,False,False
ASIA_OPEN,0,INSIDE,764,0.4572112507480551,,,,,,7,,True,False,False
ASIA_OPEN,0,HIGH_REJECT,235,0.14063435068821065,SHORT,0.5872340425531914,0.5787234042553191,0.00022791750281601453,0.0003005614637188195,2,0.0,True,False,False
ASIA_OPEN,0,LOW_REJECT,225,0.13464991023339318,LONG,0.5288888888888889,0.5555555555555556,-0.0004104436228354105,-0.00012834571383852072,6,0.8333333333333334,True,False,False
ASIA_OPEN,0,HIGH_ACCEPT,210,0.12567324955116696,LONG,0.3904761904761905,0.3904761904761905,-0.0007842187802123091,-0.0007336351428716607,0,,True,False,False
ASIA_OPEN,0,LOW_ACCEPT,201,0.12028725314183124,SHORT,0.4079601990049751,0.4079601990049751,0.0003043910239922775,-0.000174823667614762,3,0.3333333333333333,True,False,False
ASIA_OPEN,0,BOTH,36,0.02154398563734291,,,,,,0,,False,False,False
ASIA_OPEN,1,INSIDE,755,0.45182525433871934,,,,,,5,,True,False,False
ASIA_OPEN,1,HIGH_REJECT,237,0.14183123877917414,SHORT,0.47257383966244726,0.5147679324894515,-0.00016111554398901419,-4.598779044249934e-05,3,0.6666666666666666,True,False,False
ASIA_OPEN,1,LOW_REJECT,230,0.13764213046080193,LONG,0.5217391304347826,0.5173913043478261,9.494912754892912e-05,0.00018676501712115988,4,0.5,True,False,False
ASIA_OPEN,1,HIGH_ACCEPT,192,0.11490125673249552,LONG,0.40625,0.453125,-0.00027896146189328115,0.0003651906215937882,4,0.75,True,False,False
ASIA_OPEN,1,LOW_ACCEPT,220,0.13165769000598443,SHORT,0.4318181818181818,0.4090909090909091,-0.00014319937097230279,-0.0003221421309124203,2,0.5,True,False,False
ASIA_OPEN,1,BOTH,37,0.022142429682824656,,,,,,0,,False,False,False
ASIA_OPEN,2,INSIDE,806,0.4823459006582885,,,,,,2,,True,False,False
ASIA_OPEN,2,HIGH_REJECT,213,0.12746858168761221,SHORT,0.5164319248826291,0.5211267605633803,-0.00023183986901015386,-0.0005343715035378768,7,0.7142857142857143,True,False,False
ASIA_OPEN,2,LOW_REJECT,252,0.15080789946140036,LONG,0.49603174603174605,0.5436507936507936,-4.343221054382289e-05,0.0001792713294702604,3,0.6666666666666666,True,False,False
ASIA_OPEN,2,HIGH_ACCEPT,185,0.11071214841412327,LONG,0.44324324324324327,0.41621621621621624,-8.520313348017233e-05,0.00034962305545751344,4,0.5,True,False,False
ASIA_OPEN,2,LOW_ACCEPT,197,0.11789347695990425,SHORT,0.39593908629441626,0.43147208121827413,-0.0003299446085172509,-0.00025442902129641095,2,0.5,True,False,False
ASIA_OPEN,2,BOTH,18,0.010771992818671455,,,,,,0,,False,False,False
ASIA_OPEN,3,INSIDE,941,0.5631358467983244,,,,,,11,,True,False,False
ASIA_OPEN,3,HIGH_REJECT,188,0.11250748055056853,SHORT,0.5478723404255319,0.5904255319148937,0.00026031153897775256,0.000234165126311987,2,0.0,True,False,False
ASIA_OPEN,3,LOW_REJECT,203,0.12148414123279473,LONG,0.5714285714285714,0.5566502463054187,-0.00018326394173081513,-4.909439974360679e-05,1,1.0,True,False,False
ASIA_OPEN,3,HIGH_ACCEPT,169,0.10113704368641532,LONG,0.39644970414201186,0.41420118343195267,9.541719343401569e-06,-0.0004524621814492891,2,0.0,True,False,False
ASIA_OPEN,3,LOW_ACCEPT,162,0.09694793536804308,SHORT,0.4444444444444444,0.46296296296296297,0.00033567333924259835,0.000538976691996529,2,1.0,True,False,False
ASIA_OPEN,3,BOTH,8,0.0047875523638539795,,,,,,0,,False,False,False
ASIA_CLOSE,-3,INSIDE,842,0.5038898862956314,,,,,,10,,True,False,False
ASIA_CLOSE,-3,HIGH_REJECT,215,0.1286654697785757,SHORT,0.5255813953488372,0.5302325581395348,5.2670784083021386e-05,-0.00022733999022191124,4,0.75,True,False,False
ASIA_CLOSE,-3,LOW_REJECT,229,0.13704368641532017,LONG,0.5458515283842795,0.5327510917030568,7.737602938975937e-05,-8.005525057409886e-06,1,0.0,True,False,False
ASIA_CLOSE,-3,HIGH_ACCEPT,196,0.1172950329144225,LONG,0.45408163265306123,0.5255102040816326,1.2355993454620896e-05,0.00029831250318467715,2,0.5,True,False,False
ASIA_CLOSE,-3,LOW_ACCEPT,180,0.10771992818671454,SHORT,0.4388888888888889,0.45,3.26950512407689e-05,-0.00024025395357716616,1,0.0,True,False,False
ASIA_CLOSE,-3,BOTH,9,0.005385996409335727,,,,,,0,,False,False,False
ASIA_CLOSE,-2,INSIDE,708,0.4236983842010772,,,,,,8,,True,False,False
ASIA_CLOSE,-2,HIGH_REJECT,260,0.15559545182525433,SHORT,0.4269230769230769,0.43846153846153846,-0.0006349374987209811,-0.0015084786590181462,1,0.0,True,False,False
ASIA_CLOSE,-2,LOW_REJECT,242,0.1448234590065829,LONG,0.48760330578512395,0.49173553719008267,-0.00038140539919847725,-0.0007055701642371287,3,0.6666666666666666,True,False,False
ASIA_CLOSE,-2,HIGH_ACCEPT,222,0.13285457809694792,LONG,0.4189189189189189,0.44144144144144143,-0.0002981027533948148,6.901092170183896e-05,4,0.25,True,False,False
ASIA_CLOSE,-2,LOW_ACCEPT,219,0.1310592459605027,SHORT,0.4383561643835616,0.4611872146118721,-0.00026352818222563434,-0.00042087831470217016,2,0.5,True,False,False
ASIA_CLOSE,-2,BOTH,20,0.011968880909634948,,,,,,0,,False,False,False
ASIA_CLOSE,-1,INSIDE,704,0.4213046080191502,,,,,,12,,True,False,False
ASIA_CLOSE,-1,HIGH_REJECT,241,0.14422501496110113,SHORT,0.46887966804979253,0.5269709543568465,-0.0004572478375530469,-3.475365874834711e-06,1,1.0,True,False,False
ASIA_CLOSE,-1,LOW_REJECT,222,0.13285457809694792,LONG,0.4864864864864865,0.527027027027027,-0.000353133748501731,0.00010011496691080217,4,0.75,True,False,False
ASIA_CLOSE,-1,HIGH_ACCEPT,249,0.1490125673249551,LONG,0.42971887550200805,0.4779116465863454,0.0003393993718058192,0.0003135151636373654,0,,True,False,False
ASIA_CLOSE,-1,LOW_ACCEPT,226,0.13524835427887494,SHORT,0.37610619469026546,0.36283185840707965,-0.0002428412743972768,-0.0006796727801158857,1,1.0,True,False,False
