role,partition,dev_block,execution_start,H,L,R,parent_entry_ts,parent_exit_ts,parent_pnl,parent_pnl_5bps,signal_ts,confirm_ts,reentry_ts,reentry_price,reentry_R,exit_ts,exit_price,exit_reason,floor_close_ts,recovery_pnl,recovery_pnl_5bps,combined_episode_pnl,combined_episode_pnl_5bps,rescued,rescued_5bps,ref_width_pct,parent_mfe_R,parent_mae_R,parent_hold_min,exit_to_signal_min,signal_to_confirm_min,confirm_to_e20_min,confirm_close_R,confirm_body_R,running_mfe_R_to_confirm,running_mae_R_to_confirm,preconfirm_30m_return_R,preexit_60m_return_R,preexit_60m_range_R,preentry_30m_return_R,preentry_30m_range_R,preentry_60m_return_R,preentry_60m_range_R,last_completed_close_R_before_e20,lane,scope,day_to_date_net_raw,day_to_date_net_stress,week_to_date_net_raw,week_to_date_net_stress,day_to_date_trades,week_to_date_trades,trailing_24h_net_raw,trailing_24h_net_stress,trailing_72h_net_raw,trailing_72h_net_stress,trailing_168h_net_raw,trailing_168h_net_stress,last3_component_mean_raw,last3_component_mean_stress,last5_component_mean_raw,last5_component_mean_stress,equity_drawdown_at_entry_raw,equity_drawdown_at_entry_stress,stress_outcome,raw_outcome,day_bucket,week_bucket,day_flip_raw,day_flip_stress,final_day_baseline_raw,final_day_overlay_raw,final_day_baseline_stress,final_day_overlay_stress,week_flip_raw,week_flip_stress,final_week_baseline_raw,final_week_overlay_raw,final_week_baseline_stress,final_week_overlay_stress
CENTRAL,development,0.0,2022-01-01 15:00:00+00:00,173.37,170.52,2.8499999999999943,2022-01-01 15:25:00+00:00,2022-01-01 15:50:00+00:00,-0.2018803714598505,-0.4518803714598505,2022-01-01 16:00:00+00:00,2022-01-01 16:10:00+00:00,2022-01-01 16:15:00+00:00,173.94,0.2,2022-01-01 16:25:00+00:00,174.51,TARGET,,1.6384960331148335,1.3884960331148335,1.436615661654983,0.936615661654983,True,True,0.0164388302474476,0.305263157894739,0.1263157894736892,25.0,10.0,10.0,5.0,0.2561403508771899,-0.0631578947368446,0.3964912280701746,0.1263157894736892,0.1754385964912284,0.305263157894739,0.7157894736842191,0.2736842105263167,0.5228070175438638,0.3894736842105219,0.6912280701754395,0.2561403508771899,G_MAE145,DEVELOPMENT_FROZEN,-0.2018803714598505,-0.4518803714598505,-0.2018803714598505,-0.4518803714598505,1,1,-0.2018803714598505,-0.4518803714598505,-0.2018803714598505,-0.4518803714598505,-0.2018803714598505,-0.4518803714598505,-0.2018803714598505,-0.4518803714598505,-0.2018803714598505,-0.4518803714598505,0.2018803714598505,0.4518803714598505,WIN,WIN,2022-01-01 00:00:00+00:00,2021-12-28 00:00:00+00:00,POS_STAYS_POS,POS_STAYS_POS,3.764383590245223,5.4028796233600564,3.264383590245223,4.6528796233600564,POS_STAYS_POS,POS_STAYS_POS,3.142035641164608,4.780531674279441,2.392035641164608,3.7805316742794415
CENTRAL,development,0.0,2022-01-06 15:00:00+00:00,151.09,146.22,4.8700000000000045,2022-01-06 17:05:00+00:00,2022-01-06 17:15:00+00:00,-1.0920643325170731,-1.3420643325170731,2022-01-06 17:25:00+00:00,2022-01-06 17:35:00+00:00,2022-01-06 17:40:00+00:00,152.064,0.2,2022-01-06 18:10:00+00:00,153.038,TARGET,,3.202598905723941,2.952598905723941,2.110534573206868,1.610534573206868,True,True,0.0322324442385333,0.094455852156059,0.1416837782340856,10.0,10.0,10.0,5.0,0.2874743326488715,0.1232032854209491,0.3039014373716608,0.1416837782340856,0.2073921971252604,0.1745379876796701,0.5646817248459953,0.3552361396303935,0.4455852156057465,0.5174537987679687,0.5995893223819271,0.2874743326488715,G_MAE145,DEVELOPMENT_FROZEN,-1.0920643325170731,-1.3420643325170731,0.43061486233364477,-0.5693851376663552,1,4,-1.0920643325170731,-1.3420643325170731,0.43061486233364477,-0.5693851376663552,3.572650503498253,1.8226505034982527,0.22145631767676402,-0.02854368232323597,-0.03834661734939404,-0.28834661734939404,1.0920643325170731,1.4417330867469702,WIN,WIN,2022-01-06 00:00:00+00:00,2022-01-04 00:00:00+00:00,NONPOS_STAYS_NONPOS,NONPOS_STAYS_NONPOS,-3.875299434023261,-0.6727005282993201,-4.375299434023261,-1.4227005282993201,NONPOS_STAYS_NONPOS,NONPOS_STAYS_NONPOS,-6.883134102480316,-3.680535196756375,-10.133134102480316,-7.1805351967563755
CENTRAL,development,0.0,2022-02-20 15:00:00+00:00,90.98,87.37,3.61,2022-02-20 17:40:00+00:00,2022-02-20 18:00:00+00:00,-0.1648714003077422,-0.4148714003077423,2022-02-20 18:05:00+00:00,2022-02-20 18:15:00+00:00,2022-02-20 18:20:00+00:00,91.702,0.2,2022-02-20 18:40:00+00:00,92.424,TARGET,,3.936664412989898,3.686664412989898,3.771793012682157,3.2717930126821564,True,True,0.0396790503407342,0.1440443213296388,0.0831024930747914,20.0,5.0,10.0,5.0,0.2077562326869806,-0.0277008310249291,0.274238227146813,0.0498614958448772,0.0886426592797804,0.193905817174516,0.4099722991689762,0.1772853185595569,0.3379501385041548,0.3102493074792257,0.4792243767313031,0.2077562326869806,G_MAE145,DEVELOPMENT_FROZEN,-0.1648714003077422,-0.4148714003077423,-6.663704535669223,-9.163704535669224,1,10,-0.1648714003077422,-0.4148714003077423,-39.49538187615936,-40.49538187615936,-7.407673076428083,-10.157673076428084,-5.569527501586901,-5.819527501586901,-7.053022299605814,-7.303022299605814,39.49538187615936,40.49538187615936,WIN,WIN,2022-02-20 00:00:00+00:00,2022-02-15 00:00:00+00:00,POS_STAYS_POS,POS_STAYS_POS,8.862451004063798,12.799115417053697,8.362451004063798,12.049115417053697,POS_STAYS_POS,NONPOS_TO_POS,1.681131518429361,5.617795931419259,-1.318868481570639,2.367795931419259
CENTRAL,development,1.0,2022-10-17 15:00:00+00:00,31.19,30.16,1.0300000000000011,2022-10-17 23:35:00+00:00,2022-10-17 23:55:00+00:00,0.0,-0.25,2022-10-18 00:20:00+00:00,2022-10-18 00:30:00+00:00,2022-10-18 00:35:00+00:00,31.396,0.2,2022-10-18 00:50:00+00:00,31.27,E10_FLOOR,2022-10-18 00:45:00+00:00,-2.006625047776822,-2.256625047776822,-2.006625047776822,-2.506625047776822,False,False,0.0330234049374799,0.0873786407766988,0.0582524271844681,20.0,25.0,10.0,5.0,0.2621359223300963,0.0970873786407779,0.2718446601941721,0.0873786407766988,0.3203883495145646,0.1747572815533976,0.2912621359223304,0.2912621359223304,0.3592233009708709,0.2330097087378657,0.3592233009708709,0.2621359223300963,G_MAE145,DEVELOPMENT_FROZEN,3.271327774214239,3.021327774214239,3.271327774214239,3.021327774214239,1,1,3.435208469068307,2.685208469068307,5.934252487753977,4.434252487753977,20.043582338294957,17.29358233829495,1.1450694896894358,0.8950694896894357,1.2202729574438465,0.9702729574438465,0.0,3.0271250680637536,FAIL,FAIL,2022-10-18 00:00:00+00:00,2022-10-18 00:00:00+00:00,POS_STAYS_POS,POS_STAYS_POS,3.271327774214239,1.2647027264374167,3.021327774214239,0.7647027264374167,POS_STAYS_POS,POS_STAYS_POS,16.372900603900398,14.366275556123576,14.1229006039004,11.866275556123577
CENTRAL,development,4.0,2024-02-06 15:00:00+00:00,96.29,93.116,3.1740000000000066,2024-02-06 18:50:00+00:00,2024-02-06 19:05:00+00:00,-0.7425485512514429,-0.9925485512514428,2024-02-06 19:20:00+00:00,2024-02-06 19:30:00+00:00,2024-02-06 19:35:00+00:00,96.9248,0.2,2024-02-06 19:55:00+00:00,97.5596,TARGET,,3.274703687807468,3.024703687807468,2.5321551365560246,2.0321551365560246,True,True,0.0329629244989096,0.0976685570258309,0.1039697542533118,15.0,15.0,10.0,5.0,0.2233774417139217,0.0614366729678616,0.3112791430371763,0.067737870195338,0.2712665406427184,0.0746691871455558,0.4089477000630072,0.2668557025834885,0.3790170132325143,0.4401386263390007,0.6225582860743526,0.2233774417139217,G_MAE145,DEVELOPMENT_FROZEN,3.218885152634854,2.468885152634854,3.218885152634854,2.468885152634854,3,3,3.218885152634854,2.468885152634854,9.154129532919441,8.154129532919441,-12.955360065208753,-15.455360065208753,1.0729617175449513,0.8229617175449513,1.597777187347327,1.347777187347327,13.50450359398576,28.877318906112578,WIN,WIN,2024-02-06 00:00:00+00:00,2024-02-06 00:00:00+00:00,POS_STAYS_POS,POS_STAYS_POS,3.218885152634854,6.493588840442322,2.468885152634854,5.493588840442322,POS_STAYS_POS,POS_STAYS_POS,29.455924639556542,32.73062832736401,25.20592463955654,28.230628327364006
CENTRAL,development,4.0,2024-03-14 15:00:00+00:00,174.599,164.55,10.048999999999978,2024-03-14 23:10:00+00:00,2024-03-14 23:20:00+00:00,-0.7474269612082196,-0.9974269612082196,2024-03-14 23:25:00+00:00,2024-03-14 23:35:00+00:00,2024-03-14 23:40:00+00:00,176.60879999999997,0.2,2024-03-14 23:45:00+00:00,178.6186,TARGET,,5.689976943391351,5.439976943391351,4.942549982183131,4.442549982183131,True,True,0.0575547397178676,0.1025972733605342,0.117225594586526,10.0,5.0,10.0,5.0,0.1621056821574308,0.089362125584635,0.1907652502736596,0.0516469300427881,0.2202209175042319,0.1658871529505428,0.3501840979201924,0.1198129167081312,0.3079908448601856,0.3441138421733511,0.3981490695591614,0.1621056821574308,G_MAE145,DEVELOPMENT_FROZEN,6.618127942266683,5.868127942266683,42.053512796912436,39.053512796912436,3,12,6.618127942266683,5.868127942266683,42.053512796912436,39.053512796912436,9.814742000834489,4.814742000834488,2.2060426474222274,1.9560426474222277,3.488401229879912,3.238401229879911,35.97652965673194,52.47652965673217,WIN,WIN,2024-03-14 00:00:00+00:00,2024-03-12 00:00:00+00:00,POS_STAYS_POS,POS_STAYS_POS,6.618127942266683,12.308104885658034,5.868127942266683,11.308104885658034,POS_STAYS_POS,POS_STAYS_POS,69.52470643104918,75.21468337444054,64.52470643104918,69.96468337444054
CENTRAL,development,4.0,2024-05-30 15:00:00+00:00,169.791,164.708,5.082999999999998,2024-05-30 16:45:00+00:00,2024-05-30 17:10:00+00:00,-0.4770570878315228,-0.7270570878315228,2024-05-30 17:15:00+00:00,2024-05-30 17:25:00+00:00,2024-05-30 17:30:00+00:00,170.8076,0.2,2024-05-30 17:35:00+00:00,171.8242,TARGET,,2.975862900713944,2.725862900713944,2.498805812882421,1.9988058128824209,True,True,0.0299368046598465,0.0485933503836345,0.1373204800314789,25.0,5.0,10.0,5.0,0.2787723785166244,0.0171158764509126,0.3165453472358862,0.0580365925634443,0.2579185520362005,0.3240212472949085,0.3615974818020899,0.2748376942750328,0.4125516427306726,0.415896124336023,0.5183946488294354,0.2787723785166244,G_MAE145,DEVELOPMENT_FROZEN,-0.4770570878315228,-0.7270570878315228,0.0207201839695359,-1.4792798160304645,1,6,-0.4770570878315228,-0.7270570878315228,0.0207201839695359,-1.4792798160304645,-12.607606111070702,-16.857606111070698,0.9683094219316568,0.7183094219316568,0.19743963975429324,-0.05256036024570676,78.74479167124309,109.99479167124338,WIN,WIN,2024-05-30 00:00:00+00:00,2024-05-28 00:00:00+00:00,NONPOS_TO_POS,NONPOS_TO_POS,-0.4770570878315228,2.4988058128824213,-0.7270570878315228,1.9988058128824213,NONPOS_TO_POS,NONPOS_STAYS_NONPOS,-1.9137914179961357,1.0620714827178084,-5.163791417996135,-2.437928517282191
CENTRAL,development,5.0,2024-09-19 15:00:00+00:00,141.922,138.207,3.7150000000000034,2024-09-19 15:15:00+00:00,2024-09-19 15:35:00+00:00,-0.4051521258155999,-0.6551521258155999,2024-09-19 15:40:00+00:00,2024-09-19 15:50:00+00:00,2024-09-19 15:55:00+00:00,142.665,0.2,2024-09-19 16:05:00+00:00,143.408,TARGET,,2.6040023832053505,2.3540023832053505,2.1988502573897506,1.6988502573897506,True,True,0.0261763503896506,0.0721399730820997,0.1133243606998632,20.0,5.0,10.0,5.0,0.243876177658144,0.0209959623149402,0.2834454912516814,0.0358008075370147,0.2379542395693173,0.0839838492597531,0.4131897711978453,0.2320323014804829,0.3418573351278548,0.5458950201884225,0.6244952893674269,0.243876177658144,G_MAE145,DEVELOPMENT_FROZEN,12.53445575160783,12.03445575160783,20.82395567588141,19.07395567588141,2,7,21.43073214013702,20.43073214013702,20.82395567588141,19.07395567588141,33.11483649704078,30.864836497040773,5.741237405131549,5.491237405131549,4.032551986343014,3.7825519863430133,0.4051521258155617,40.33502131521914,WIN,WIN,2024-09-19 00:00:00+00:00,2024-09-17 00:00:00+00:00,POS_STAYS_POS,POS_STAYS_POS,12.53445575160783,15.138458134813181,12.03445575160783,14.388458134813181,POS_STAYS_POS,POS_STAYS_POS,34.524027729255664,37.12803011246101,30.774027729255664,33.12803011246101
CENTRAL,development,5.0,2024-10-04 15:00:00+00:00,142.598,138.042,4.556000000000012,2024-10-04 16:20:00+00:00,2024-10-04 18:05:00+00:00,-0.1157098977545567,-0.3657098977545567,2024-10-04 18:15:00+00:00,2024-10-04 18:25:00+00:00,2024-10-04 18:35:00+00:00,143.50920000000002,0.2,2024-10-04 19:00:00+00:00,144.42040000000003,TARGET,,3.1747093566126816,2.9247093566126816,3.058999458858125,2.558999458858125,True,True,0.0319499572224015,0.3871817383669835,0.0763827919227419,105.0,10.0,10.0,10.0,0.1251097453906917,0.0245829675153631,0.1391571553994698,0.0763827919227419,0.0913081650570666,-0.2333187006145772,0.3819139596136972,0.1409130816505694,0.2732660228270415,0.1501316944688313,0.2732660228270415,0.1751536435469647,G_MAE145,DEVELOPMENT_FROZEN,-1.7073306381097386,-2.707330638109738,-42.207250337611356,-44.207250337611356,4,8,-1.7073306381097386,-2.707330638109738,-23.112285391785942,-24.862285391785942,-47.996378464670634,-51.74637846467063,0.6006746768531893,0.35067467685318937,-0.43205601526240534,-0.6820560152624051,47.99637846467033,51.74637846467044,WIN,WIN,2024-10-04 00:00:00+00:00,2024-10-01 00:00:00+00:00,NONPOS_TO_POS,NONPOS_TO_POS,-1.7073306381097386,1.467378718502943,-2.707330638109738,0.21737871850294344,NONPOS_STAYS_NONPOS,NONPOS_STAYS_NONPOS,-48.17589695604024,-45.00118759942756,-52.17589695604024,-49.25118759942756
CENTRAL,development,5.0,2024-10-23 15:00:00+00:00,169.5,164.1,5.400000000000006,2024-10-23 18:45:00+00:00,2024-10-23 19:15:00+00:00,-1.3274336283185528,-1.5774336283185528,2024-10-23 19:20:00+00:00,2024-10-23 19:30:00+00:00,2024-10-23 19:35:00+00:00,170.58,0.2,2024-10-23 19:40:00+00:00,171.66,TARGET,,3.1656700668307725,2.9156700668307725,1.83823643851222,1.3382364385122196,True,True,0.031858407079646,0.3425925925925911,0.1277777777777772,30.0,5.0,10.0,5.0,0.1740740740740734,-0.0166666666666672,0.2648148148148158,0.1166666666666657,-0.1388888888888887,0.7129629629629611,1.068518518518514,0.1296296296296273,0.4314814814814781,0.4537037037037011,0.7555555555555518,0.1740740740740734,G_MAE145,DEVELOPMENT_FROZEN,-17.256793255071567,-18.256793255071567,-18.08903674573853,-19.33903674573853,4,5,-17.256793255071567,-18.256793255071567,-9.795006547611397,-12.545006547611393,-2.605841575416712,-7.605841575416712,-1.1714705443143791,-1.421470544314379,-3.617807349147706,-3.867807349147706,25.23695698956817,39.736956989568284,WIN,WIN,2024-10-23 00:00:00+00:00,2024-10-22 00:00:00+00:00,NONPOS_STAYS_NONPOS,NONPOS_STAYS_NONPOS,-17.256793255071567,-14.091123188240795,-18.256793255071567,-15.341123188240795,NONPOS_STAYS_NONPOS,NONPOS_STAYS_NONPOS,-24.23593009958752,-21.07026003275675,-28.985930099587524,-26.07026003275675
