period,score,n,auc
2023_24,ContinuationQualityScore,17451,0.5008725401396853
2023_24,RemainingEnergyScore,17451,0.5015845798924716
2023_24,ReversalRiskScore,17451,0.5028706726995466
2023,ContinuationQualityScore,8714,0.501000158202816
2023,RemainingEnergyScore,8714,0.5065757527817328
2023,ReversalRiskScore,8714,0.49809038654221377
2024,ContinuationQualityScore,8737,0.5013834608031494
2024,RemainingEnergyScore,8737,0.4972440332814732
2024,ReversalRiskScore,8737,0.5076351898670748
