partition,freshness,n,losses,loss_rate,wins,wr,pf,expectancy,net,max_ls
external,IMMEDIATE,70,21,0.3,49,0.7,2.1455468124702395,1.8678430230623613,130.7490116143653,2
external,STALE,74,31,0.4189189189189189,43,0.581081081081081,1.3702328117587934,0.9121479147279253,67.49894568986647,5
development,IMMEDIATE,106,35,0.330188679245283,71,0.6698113207547169,1.4092889061543752,0.6650587156610087,70.49622386006692,4
development,STALE,127,55,0.4330708661417323,72,0.5669291338582677,1.0860489825853192,0.18030830576790907,22.899154832524452,6
reference_validation,IMMEDIATE,42,10,0.23809523809523808,32,0.7619047619047619,2.6050455601184344,1.670377848536087,70.15586963851565,3
reference_validation,STALE,59,26,0.4406779661016949,33,0.559322033898305,1.1745614578780212,0.40589634340056197,23.947884260633156,5
POOLED_MAJOR,IMMEDIATE,218,66,0.30275229357798167,152,0.6972477064220184,1.8222106032088312,1.2449591977658159,271.40110511294785,4
POOLED_MAJOR,STALE,260,112,0.4307692307692308,148,0.5692307692307692,1.1952558236086344,0.43979224916547743,114.34598478302414,6
