phase,year,group,n,median_mfe_r,median_terminal_r,median_giveback_r,reached_050r_rate
DISCOVERY_2020_2024,2020,NEGATIVE,1,2.149892933618846,-1.0,3.149892933618846,1.0
DISCOVERY_2020_2024,2020,POSITIVE,7,1.3464837049742708,1.166380789022299,0.1801029159519718,0.8571428571428571
DISCOVERY_2020_2024,2021,NEGATIVE,21,0.5255474452554774,-1.0,1.293529411764708,0.5238095238095238
DISCOVERY_2020_2024,2021,POSITIVE,23,0.9984427141268073,0.7894736842105268,0.1865160214854612,0.6956521739130435
DISCOVERY_2020_2024,2022,NEGATIVE,17,0.5511811023622057,-1.0,1.4553846153846113,0.5294117647058824
DISCOVERY_2020_2024,2022,POSITIVE,23,1.1136363636363609,0.9411764705882398,0.18674698795181044,0.782608695652174
DISCOVERY_2020_2024,2023,NEGATIVE,16,0.2574095530174706,-1.0,1.215325431482634,0.125
DISCOVERY_2020_2024,2023,POSITIVE,24,0.8173971702597681,0.6012531725888359,0.24850528897746108,0.8333333333333334
DISCOVERY_2020_2024,2024,NEGATIVE,16,0.39717186163390295,-1.0,1.397171861633903,0.375
DISCOVERY_2020_2024,2024,POSITIVE,36,0.708594730158489,0.5380905635428908,0.1547060574758772,0.6666666666666666
RETROSPECTIVE_2025,2025,NEGATIVE,20,0.16354484294081006,-1.0,1.116270150083381,0.25
RETROSPECTIVE_2025,2025,POSITIVE,28,0.8101033215449709,0.5960837256531042,0.2142955610697526,0.6428571428571429
