zone,partition,rule,raw_n,filtered_n,accepted_n,blocked_open,accepted_retention,wins,wr,pf,expectancy,total_net,dev_supported
RAW_0530,development,BASE,46,46,40,6,0.8695652173913043,27,0.675,1.4482677968797921,0.5000920636943451,20.003682547773806,
RAW_0530,development,RANGE_COMPLETED_SECOND_HALF,46,36,31,5,0.6739130434782609,23,0.7419354838709677,1.595922958708553,0.5991292837068394,18.57300779491202,False
RAW_2330,development,BASE,31,31,30,1,0.967741935483871,20,0.6666666666666666,1.5039322251721263,0.33494823468734186,10.048447040620255,
RAW_2330,development,RANGE_COMPLETED_SECOND_HALF,31,17,17,0,0.5483870967741935,13,0.7647058823529411,2.519120413116884,0.8069929486189691,13.718880126522475,False
