variant,partition,outcome,n,wins,losses,wr,pf,expectancy_usd,total_net_pnl_usd,tp_n,sl_n,regime_exit_n,time24_n,median_wide_r_pct,median_hold_minutes
S2_T1_0,external,ALL,6,3,3,0.5,1.6482586650187714,0.7021505072450571,4.212903043470343,3,3,0,0,0.006162394379306078,40.0
S2_T1_0,external,TRANSITION,5,3,2,0.6,3.7760752617287623,1.574994680440445,7.874973402202226,3,2,0,0,0.0058006480411484295,35.0
S2_T1_0,external,RESUME,1,0,1,0.0,0.0,-3.6620703587318832,-3.6620703587318832,0,1,0,0,0.006524140717463727,275.0
S2_T1_0,development,ALL,20,9,11,0.45,0.5483700526593441,-0.9717817204489247,-19.435634408978494,9,9,2,0,0.005967074786551226,107.5
S2_T1_0,development,TRANSITION,11,5,6,0.45454545454545453,0.7444348894327691,-0.4798951874955508,-5.278847062451059,5,6,0,0,0.004987293708749362,110.0
S2_T1_0,development,RESUME,9,4,5,0.4444444444444444,0.36740292168854427,-1.5729763718363812,-14.15678734652743,4,3,2,0,0.006578794370040162,105.0
S2_T1_0,reference_validation,ALL,8,6,2,0.75,1.31711991974513,0.39018044591532686,3.121443567322615,5,1,2,0,0.006482025557481463,70.0
S2_T1_0,reference_validation,TRANSITION,6,4,2,0.6666666666666666,1.0417018244295486,0.06841254864292863,0.4104752918575718,3,1,2,0,0.00941691453637075,147.5
S2_T1_0,reference_validation,RESUME,2,2,0,1.0,inf,1.3554841377325215,2.710968275465043,2,0,0,0,0.0035109682754651097,70.0
S2_T1_0,POOLED_OOS,ALL,14,9,5,0.6428571428571429,1.4488062085372952,0.5238819007709254,7.334346610792957,8,4,2,0,0.006162394379306078,57.5
S2_T1_0,POOLED_OOS,TRANSITION,11,7,4,0.6363636363636364,1.653435282668087,0.7532226085508907,8.285448694059799,6,3,2,0,0.006738272813660736,45.0
S2_T1_0,POOLED_OOS,RESUME,3,2,1,0.6666666666666666,0.7402829574262489,-0.31703402775561346,-0.9511020832668403,2,1,0,0,0.004535811475373787,75.0
S2_T1_0,POOLED_MAJOR,ALL,34,18,16,0.5294117647058824,0.7961933832628622,-0.35592022935839807,-12.101287798185535,17,13,4,0,0.006162394379306078,70.0
S2_T1_0,POOLED_MAJOR,TRANSITION,22,12,10,0.5454545454545454,1.0901924127040001,0.13666371052766982,3.0066016316087363,11,9,2,0,0.006269460427404583,57.5
S2_T1_0,POOLED_MAJOR,RESUME,12,6,6,0.5,0.41984014557619675,-1.258990785816189,-15.10788942979427,6,4,2,0,0.005939747960263008,90.0
S2_T1_5,external,ALL,6,2,4,0.3333333333333333,1.2977760453496636,0.4863240382252316,2.9179442293513898,2,4,0,0,0.006162394379306078,50.0
S2_T1_5,external,TRANSITION,5,2,3,0.4,2.072178208069118,1.3160029176166546,6.580014588083273,2,3,0,0,0.0058006480411484295,40.0
S2_T1_5,external,RESUME,1,0,1,0.0,0.0,-3.6620703587318832,-3.6620703587318832,0,1,0,0,0.006524140717463727,275.0
S2_T1_5,development,ALL,20,8,12,0.4,0.7690353627962069,-0.5229441333397198,-10.458882666794395,8,10,2,0,0.005967074786551226,117.5
S2_T1_5,development,TRANSITION,11,5,6,0.45454545454545453,1.1650653886559101,0.3099565721715187,3.409522293886705,5,6,0,0,0.004987293708749362,120.0
S2_T1_5,development,RESUME,9,3,6,0.3333333333333333,0.4368822401390463,-1.5409338845201221,-13.868404960681099,3,4,2,0,0.006578794370040162,115.0
S2_T1_5,reference_validation,ALL,8,4,4,0.5,0.6244691478204187,-0.6898812075285139,-5.519049660228111,2,3,3,0,0.006482025557481463,200.0
S2_T1_5,reference_validation,TRANSITION,6,3,3,0.5,0.6412149382242773,-0.7192896215347684,-4.31573772920861,1,2,3,0,0.00941691453637075,200.0
S2_T1_5,reference_validation,RESUME,2,1,1,0.5,0.5489675988092453,-0.6016559655097504,-1.2033119310195008,1,1,0,0,0.0035109682754651097,310.0
S2_T1_5,POOLED_OOS,ALL,14,6,8,0.42857142857142855,0.893814161072501,-0.18579324506262299,-2.601105430876722,4,7,3,0,0.006162394379306078,97.5
S2_T1_5,POOLED_OOS,TRANSITION,11,5,6,0.45454545454545453,1.1246449816267439,0.20584335080678748,2.2642768588746622,3,5,3,0,0.006738272813660736,60.0
S2_T1_5,POOLED_OOS,RESUME,3,1,2,0.3333333333333333,0.23137430289760144,-1.6217940965837947,-4.865382289751384,1,2,0,0,0.004535811475373787,275.0
S2_T1_5,POOLED_MAJOR,ALL,34,14,20,0.4117647058823529,0.8128385549239201,-0.3841172969903268,-13.059988097671113,12,17,5,0,0.006162394379306078,117.5
S2_T1_5,POOLED_MAJOR,TRANSITION,22,10,12,0.45454545454545453,1.1461513494787763,0.2578999614891531,5.673799152761369,8,11,3,0,0.006269460427404583,97.5
S2_T1_5,POOLED_MAJOR,RESUME,12,4,8,0.3333333333333333,0.39486189791628007,-1.5611489375360401,-18.73378725043248,4,6,2,0,0.005939747960263008,195.0
S2_T2_0,external,ALL,6,2,4,0.3333333333333333,1.757581378879852,1.237272242730137,7.423633456380822,2,4,0,0,0.006162394379306078,77.5
S2_T2_0,external,TRANSITION,5,2,3,0.4,2.8063561854708303,2.217140763022541,11.085703815112705,2,3,0,0,0.0058006480411484295,60.0
S2_T2_0,external,RESUME,1,0,1,0.0,0.0,-3.6620703587318832,-3.6620703587318832,0,1,0,0,0.006524140717463727,275.0
S2_T2_0,development,ALL,20,7,13,0.35,0.5593825210099705,-1.0588769314307658,-21.177538628615316,5,10,5,0,0.005967074786551226,140.0
S2_T2_0,development,TRANSITION,11,5,6,0.45454545454545453,0.8868588317437182,-0.2124542823286926,-2.3369971056156187,3,6,2,0,0.004987293708749362,130.0
S2_T2_0,development,RESUME,9,2,7,0.2222222222222222,0.3125830184770569,-2.093393502555522,-18.840541522999697,2,4,3,0,0.006578794370040162,300.0
S2_T2_0,reference_validation,ALL,8,4,4,0.5,0.7016271120953854,-0.5481356511900399,-4.385085209520319,2,3,3,0,0.006482025557481463,200.0
S2_T2_0,reference_validation,TRANSITION,6,3,3,0.5,0.6838156202700021,-0.6338840912316509,-3.803304547389905,1,2,3,0,0.00941691453637075,200.0
