gap,gap_label,partition,exec_min,execution_utc,execution_start,entry_bar_start,entry_px,exit_ts,exit_reason,pnl_0,pnl_5,armed,scheduled_updates,activations,ratchet_updates,buffer_f20_exit,gap_exit,touch_exit,early_floor_violation
0.05,G05,external,300,05:00,2020-03-09 05:00:00+00:00,2020-03-09 06:35:00+00:00,204.595,2020-03-09 11:00:00+00:00,TIME_EXIT_EXEC_END,-2.856071751509081,-3.3533670321171822,False,0,0,0,0,0,0,0
0.05,G05,external,300,05:00,2020-03-24 05:00:00+00:00,2020-03-24 07:25:00+00:00,135.9425,2020-03-24 08:35:00+00:00,LIVE_FLOOR_TOUCH,16.057325707560203,15.541126481465728,True,2,2,1,0,0,1,0
0.05,G05,external,300,05:00,2020-04-24 05:00:00+00:00,2020-04-24 08:15:00+00:00,188.33749999999998,2020-04-24 11:00:00+00:00,TIME_EXIT_EXEC_END,-0.7384880865466844,-1.237899892557059,False,0,0,0,0,0,0,0
0.05,G05,external,300,05:00,2020-05-06 05:00:00+00:00,2020-05-06 08:40:00+00:00,207.2875,2020-05-06 11:00:00+00:00,TIME_EXIT_EXEC_END,3.9237049990955124,3.4196333299310715,False,0,0,0,0,0,0,0
0.05,G05,external,300,05:00,2020-05-12 05:00:00+00:00,2020-05-12 05:45:00+00:00,188.35500000000002,2020-05-12 09:20:00+00:00,LIVE_FLOOR_TOUCH,4.3065381858724106,3.802083874842111,True,1,1,0,0,0,1,0
0.05,G05,external,300,05:00,2020-05-19 05:00:00+00:00,2020-05-19 10:10:00+00:00,213.57999999999998,2020-05-19 11:00:00+00:00,TIME_EXIT_EXEC_END,0.349133814027636,-0.1513650703442334,False,0,0,0,0,0,0,0
0.05,G05,external,300,05:00,2020-06-10 05:00:00+00:00,2020-06-10 06:00:00+00:00,244.485,2020-06-10 07:25:00+00:00,CLOSE_INVALIDATION_F20,-2.6394011902571175,-3.1369130331453827,False,0,0,0,0,0,0,0
0.05,G05,external,300,05:00,2020-06-19 05:00:00+00:00,2020-06-19 09:25:00+00:00,230.04749999999999,2020-06-19 11:00:00+00:00,TIME_EXIT_EXEC_END,0.21400362968522246,-0.2863601920334743,False,0,0,0,0,0,0,0
0.05,G05,external,300,05:00,2020-07-01 05:00:00+00:00,2020-07-01 06:00:00+00:00,225.5025,2020-07-01 08:55:00+00:00,LIVE_FLOOR_TOUCH,5.556696710679554,5.050992865891346,True,3,3,2,0,0,1,0
0.05,G05,external,300,05:00,2020-07-03 05:00:00+00:00,2020-07-03 08:20:00+00:00,227.43,2020-07-03 09:45:00+00:00,CLOSE_INVALIDATION_F20,-4.159398496240629,-4.655391101441686,False,0,0,0,0,0,0,0
0.05,G05,external,300,05:00,2020-08-28 05:00:00+00:00,2020-08-28 05:20:00+00:00,386.58500000000004,2020-08-28 06:45:00+00:00,LIVE_FLOOR_GAP_OPEN,4.663569460791228,4.158758296912435,True,1,1,0,0,1,0,0
0.05,G05,external,300,05:00,2020-10-15 05:00:00+00:00,2020-10-15 06:00:00+00:00,378.29999999999995,2020-10-15 06:45:00+00:00,LIVE_FLOOR_GAP_OPEN,1.9261961406292332,1.4241209820678562,True,1,1,0,0,1,0,0
0.05,G05,external,300,05:00,2020-12-21 05:00:00+00:00,2020-12-21 08:15:00+00:00,645.04,2020-12-21 09:00:00+00:00,CLOSE_INVALIDATION_F20,-7.329802802926933,-7.8226265882312855,False,0,0,0,0,0,0,0
0.05,G05,external,300,05:00,2020-12-25 05:00:00+00:00,2020-12-25 07:00:00+00:00,613.3425,2020-12-25 08:20:00+00:00,LIVE_FLOOR_TOUCH,3.9250712285549665,3.420998193843739,True,1,1,0,0,0,1,0
0.05,G05,external,300,05:00,2020-12-31 05:00:00+00:00,2020-12-31 07:35:00+00:00,749.6324999999999,2020-12-31 11:00:00+00:00,TIME_EXIT_EXEC_END,1.5793031918974303,1.0775747529249817,False,0,0,0,0,0,0,0
0.05,G05,external,300,05:00,2021-02-01 05:00:00+00:00,2021-02-01 07:10:00+00:00,1316.155,2021-02-01 11:00:00+00:00,TIME_EXIT_EXEC_END,3.7731407015132006,3.2692195214017565,False,0,0,0,0,0,0,0
0.05,G05,external,300,05:00,2021-02-24 05:00:00+00:00,2021-02-24 06:15:00+00:00,1616.365,2021-02-24 09:50:00+00:00,LIVE_FLOOR_TOUCH,25.749724845563996,25.223838064109174,True,2,2,1,0,0,1,0
0.05,G05,external,300,05:00,2021-04-15 05:00:00+00:00,2021-04-15 06:50:00+00:00,2464.6325,2021-04-15 11:00:00+00:00,CLOSE_INVALIDATION_F20,-9.787302163710033,-10.277669677789191,False,0,0,0,0,0,0,0
0.05,G05,external,300,05:00,2021-04-30 05:00:00+00:00,2021-04-30 05:15:00+00:00,2760.3250000000003,2021-04-30 06:40:00+00:00,LIVE_FLOOR_GAP_OPEN,3.5297908760743684,3.026112924174274,True,2,2,1,0,1,0,0
0.05,G05,external,300,05:00,2021-07-07 05:00:00+00:00,2021-07-07 08:00:00+00:00,2374.645,2021-07-07 11:00:00+00:00,TIME_EXIT_EXEC_END,-0.9716643961518608,-1.470843142382538,False,0,0,0,0,0,0,0
0.05,G05,external,300,05:00,2021-08-11 05:00:00+00:00,2021-08-11 06:15:00+00:00,3173.4225,2021-08-11 06:45:00+00:00,LIVE_FLOOR_TOUCH,5.692869764426245,5.187029814636657,True,2,2,1,0,0,1,0
0.05,G05,external,300,05:00,2021-08-23 05:00:00+00:00,2021-08-23 10:20:00+00:00,3332.205,2021-08-23 11:00:00+00:00,TIME_EXIT_EXEC_END,-0.09614714580878891,-0.5962009717499935,False,0,0,0,0,0,0,0
0.05,G05,external,300,05:00,2021-08-25 05:00:00+00:00,2021-08-25 06:20:00+00:00,3204.8675,2021-08-25 08:20:00+00:00,CLOSE_INVALIDATION_F20,-6.140876962932129,-6.634889079910655,False,0,0,0,0,0,0,0
0.05,G05,external,300,05:00,2021-09-06 05:00:00+00:00,2021-09-06 09:20:00+00:00,3950.9475,2021-09-06 11:00:00+00:00,TIME_EXIT_EXEC_END,-0.23769715998505048,-0.7376095066517371,False,0,0,0,0,0,0,0
0.05,G05,external,300,05:00,2021-09-23 05:00:00+00:00,2021-09-23 05:30:00+00:00,3108.7525,2021-09-23 11:00:00+00:00,TIME_EXIT_EXEC_END,-4.059426088117368,-4.555518615765298,False,0,0,0,0,0,0,0
0.05,G05,external,300,05:00,2021-10-05 05:00:00+00:00,2021-10-05 09:10:00+00:00,3405.6725,2021-10-05 10:20:00+00:00,LIVE_FLOOR_TOUCH,6.607059545508287,6.100305862804145,True,4,3,3,0,0,1,0
0.05,G05,external,300,05:00,2021-10-14 05:00:00+00:00,2021-10-14 05:10:00+00:00,3644.2075,2021-10-14 11:00:00+00:00,TIME_EXIT_EXEC_END,-0.5917426491219177,-1.091301127233701,False,0,0,0,0,0,0,0
0.05,G05,external,300,05:00,2021-10-28 05:00:00+00:00,2021-10-28 06:10:00+00:00,3991.4375,2021-10-28 09:15:00+00:00,LIVE_FLOOR_TOUCH,17.784238134757224,17.26631285926024,True,6,6,5,0,0,1,0
0.05,G05,external,300,05:00,2021-11-02 05:00:00+00:00,2021-11-02 06:10:00+00:00,4354.425,2021-11-02 10:40:00+00:00,LIVE_FLOOR_TOUCH,12.566694798968836,12.05398445933976,True,7,7,6,0,0,1,0
0.05,G05,external,540,09:00,2020-01-02 09:00:00+00:00,2020-01-02 10:35:00+00:00,129.83249999999998,2020-01-02 15:00:00+00:00,TIME_EXIT_EXEC_END,-2.4507191958868964,-2.9484196264756175,False,0,0,0,0,0,0,0
0.05,G05,external,540,09:00,2020-01-13 09:00:00+00:00,2020-01-13 11:10:00+00:00,143.6325,2020-01-13 14:30:00+00:00,CLOSE_INVALIDATION_F20,-4.063864376098669,-4.559952467676753,False,0,0,0,0,0,0,0
0.05,G05,external,540,09:00,2020-01-16 09:00:00+00:00,2020-01-16 11:20:00+00:00,161.97250000000003,2020-01-16 11:55:00+00:00,LIVE_FLOOR_TOUCH,5.219781135686508,4.714414038099646,True,2,2,1,0,0,1,0
0.05,G05,external,540,09:00,2020-02-17 09:00:00+00:00,2020-02-17 09:25:00+00:00,251.07999999999998,2020-02-17 11:25:00+00:00,CLOSE_INVALIDATION_F20,-16.092209654293466,-16.57627541176031,False,0,0,0,0,0,0,0
0.05,G05,external,540,09:00,2020-03-13 09:00:00+00:00,2020-03-13 11:00:00+00:00,126.125,2020-03-13 15:00:00+00:00,TIME_EXIT_EXEC_END,3.0291377601585183,2.5259602111729733,False,0,0,0,0,0,0,0
0.05,G05,external,540,09:00,2020-03-20 09:00:00+00:00,2020-03-20 11:10:00+00:00,147.90499999999997,2020-03-20 13:25:00+00:00,CLOSE_INVALIDATION_F20,-36.31832595246941,-36.78217570164226,False,0,0,0,0,0,0,0
0.05,G05,external,540,09:00,2020-04-02 09:00:00+00:00,2020-04-02 10:40:00+00:00,137.28,2020-04-02 12:10:00+00:00,LIVE_FLOOR_GAP_OPEN,-0.14504662004659574,-0.6450515709510604,True,1,1,0,0,1,0,0
0.05,G05,external,540,09:00,2020-04-17 09:00:00+00:00,2020-04-17 09:30:00+00:00,170.6775,2020-04-17 10:00:00+00:00,LIVE_FLOOR_GAP_OPEN,2.302465175550284,1.8000139359946714,True,1,1,0,0,1,0,0
0.05,G05,external,540,09:00,2020-04-24 09:00:00+00:00,2020-04-24 09:40:00+00:00,188.855,2020-04-24 10:35:00+00:00,CLOSE_INVALIDATION_F20,-5.496502607820797,-5.991158777128236,False,0,0,0,0,0,0,0
0.05,G05,external,540,09:00,2020-05-06 09:00:00+00:00,2020-05-06 10:40:00+00:00,208.7,2020-05-06 12:00:00+00:00,LIVE_FLOOR_TOUCH,3.4811691423095152,2.977539787844497,True,2,1,1,0,0,1,0
