region_id,character_rule,cells,lookbacks,holds,strict_temporal_cells,median_expectancy,median_pf,median_max_dd,qualifies
1,EFF_MID__RV_MID,1,60,360,0,1.0372115816870737,1.5044447336160727,84.14541601126695,False
2,EFF_MID__RV_HIGH,1,60,360,0,1.0636645415280765,1.3018555180507878,142.44706776481328,False
3,EFF_HIGH__RV_LOW,1,240,360,0,1.4294153704493449,1.8691401383085475,61.22108411354263,False
4,EFF_LOW__RANGE_MID,2,240,240;360,0,1.3175947348546946,1.6697607082319097,78.16605512484477,False
5,EFF_MID__RANGE_MID,1,60,360,0,1.3662352428253222,1.5889717200339193,60.79254128435029,False
6,EFF_MID__RANGE_HIGH,4,60;120,360;480,0,1.3342327160671332,1.4254018188945723,137.04539517929263,False
7,EFF_HIGH__RANGE_MID,1,180,360,0,1.630578234096876,1.6486574558669698,103.19667081698638,False
8,EFF_MID__EXT_LOW,2,120,360;480,1,1.1773531833270916,1.4533655318186556,105.91490687838635,False
9,EFF_MID__EXT_MID,1,360,480,0,0.996200162448132,1.3451681923100538,100.52527330238871,False
10,EFF_MID__EXT_HIGH,1,60,360,0,0.39270889072818893,1.158470890007886,114.49462047019156,False
11,EFF_HIGH__EXT_MID,3,180;240,240;360,0,0.7400015083373429,1.3409750455274008,95.02787651212232,False
12,RV_LOW__RANGE_MID,3,180;240,360;480,0,2.3795139052975696,2.064992748620435,79.8883374796884,False
13,RV_MID__RANGE_HIGH,1,120,240,0,0.7562564261486798,1.429991332904362,78.95758123054016,False
14,RV_HIGH__RANGE_MID,3,180;240,240;360,1,1.3679398533697709,1.7292219408998848,56.413216665127365,False
15,DRIVE_UP__STR_B80_100,1,360,360,0,1.8243350388245148,1.615196741763733,142.24880229869694,False
16,DRIVE_DOWN__EFF_MID,1,60,360,1,1.2442918247219565,1.4929142209153123,107.44742683818693,False
17,DRIVE_DOWN__STR_B20_40,1,180,360,0,0.15668536433890623,1.0639977033077967,114.7121202417184,False
18,DRIVE_DOWN__STR_B40_60,1,60,360,0,0.2444671880535961,1.0967243653391294,51.38912731782596,False
19,DRIVE_DOWN__STR_B60_80,3,120;180,360;480,2,0.8863791200858605,1.3256313685529444,88.28142674630806,False
