partition,extension,extension_frac,f85_fills,h2_count,high_reach_count,high_reach_rate_given_h2,high_reach_rate_all_fills,close_reach_count,close_reach_rate_given_h2,close_reach_rate_all_fills,median_minutes_h2_to_high_reach
external,E05,0.05,46,41,40,0.975609756097561,0.8695652173913043,36,0.8780487804878049,0.782608695652174,0.0
external,E10,0.1,46,41,38,0.926829268292683,0.8260869565217391,30,0.7317073170731707,0.6521739130434783,5.0
external,E15,0.15,46,41,34,0.8292682926829268,0.7391304347826086,28,0.6829268292682927,0.6086956521739131,10.0
external,E20,0.2,46,41,32,0.7804878048780488,0.6956521739130435,27,0.6585365853658537,0.5869565217391305,15.0
external,E25,0.25,46,41,29,0.7073170731707317,0.6304347826086957,22,0.5365853658536586,0.4782608695652174,25.0
external,E30,0.3,46,41,24,0.5853658536585366,0.5217391304347826,20,0.4878048780487805,0.43478260869565216,35.0
external,E40,0.4,46,41,20,0.4878048780487805,0.43478260869565216,13,0.3170731707317073,0.2826086956521739,60.0
external,E50,0.5,46,41,14,0.34146341463414637,0.30434782608695654,7,0.17073170731707318,0.15217391304347827,45.0
development,E05,0.05,72,53,50,0.9433962264150944,0.6944444444444444,45,0.8490566037735849,0.625,0.0
development,E10,0.1,72,53,48,0.9056603773584906,0.6666666666666666,45,0.8490566037735849,0.625,5.0
development,E15,0.15,72,53,47,0.8867924528301887,0.6527777777777778,43,0.8113207547169812,0.5972222222222222,10.0
development,E20,0.2,72,53,45,0.8490566037735849,0.625,42,0.7924528301886793,0.5833333333333334,10.0
development,E25,0.25,72,53,45,0.8490566037735849,0.625,40,0.7547169811320755,0.5555555555555556,10.0
development,E30,0.3,72,53,44,0.8301886792452831,0.6111111111111112,36,0.6792452830188679,0.5,25.0
development,E40,0.4,72,53,39,0.7358490566037735,0.5416666666666666,32,0.6037735849056604,0.4444444444444444,50.0
development,E50,0.5,72,53,31,0.5849056603773585,0.4305555555555556,28,0.5283018867924528,0.3888888888888889,80.0
reference_validation,E05,0.05,31,27,27,1.0,0.8709677419354839,27,1.0,0.8709677419354839,0.0
reference_validation,E10,0.1,31,27,27,1.0,0.8709677419354839,27,1.0,0.8709677419354839,0.0
reference_validation,E15,0.15,31,27,27,1.0,0.8709677419354839,27,1.0,0.8709677419354839,5.0
reference_validation,E20,0.2,31,27,27,1.0,0.8709677419354839,27,1.0,0.8709677419354839,10.0
reference_validation,E25,0.25,31,27,27,1.0,0.8709677419354839,23,0.8518518518518519,0.7419354838709677,10.0
reference_validation,E30,0.3,31,27,25,0.9259259259259259,0.8064516129032258,19,0.7037037037037037,0.6129032258064516,25.0
reference_validation,E40,0.4,31,27,20,0.7407407407407407,0.6451612903225806,18,0.6666666666666666,0.5806451612903226,32.5
reference_validation,E50,0.5,31,27,18,0.6666666666666666,0.5806451612903226,14,0.5185185185185185,0.45161290322580644,32.5
august,E05,0.05,3,3,3,1.0,1.0,3,1.0,1.0,0.0
august,E10,0.1,3,3,3,1.0,1.0,3,1.0,1.0,0.0
august,E15,0.15,3,3,3,1.0,1.0,2,0.6666666666666666,0.6666666666666666,5.0
august,E20,0.2,3,3,2,0.6666666666666666,0.6666666666666666,2,0.6666666666666666,0.6666666666666666,2.5
august,E25,0.25,3,3,2,0.6666666666666666,0.6666666666666666,2,0.6666666666666666,0.6666666666666666,12.5
august,E30,0.3,3,3,2,0.6666666666666666,0.6666666666666666,2,0.6666666666666666,0.6666666666666666,115.0
august,E40,0.4,3,3,2,0.6666666666666666,0.6666666666666666,2,0.6666666666666666,0.6666666666666666,115.0
august,E50,0.5,3,3,2,0.6666666666666666,0.6666666666666666,2,0.6666666666666666,0.6666666666666666,127.5
