hour_wib,component_rank,character_rule,component_size,component_cells,oos2025_viable_cells,oos2025_strict_cells,oos2025_viable_fraction,oos2025_median_wr,oos2025_median_exp,oos2025_median_pf,oos2025_sum_cell_net,oos2025_max_dd,oos2025_max_ls,risk_warning_cells,verdict
5,1,DRIVE_DOWN__STR_B60_80,8,LB60/H360;LB120/H360;LB60/H480;LB120/H480;LB60/H720;LB120/H720;LB60/H960;LB120/H960,6,2,0.75,0.6196428571428572,0.6930338523038592,1.2588847751403158,419.90153934707394,100.5788505064047,10,0,FINAL_OOS_PLATEAU_PASS
22,3,RV_HIGH__RANGE_MID,7,LB180/H360;LB180/H480;LB180/H720;LB240/H720;LB360/H720;LB180/H960;LB240/H960,6,3,0.8571428571428571,0.6212121212121212,2.1985049013278792,1.8747947410349373,1000.8672797187869,102.87177331388241,11,0,FINAL_OOS_PLATEAU_PASS
