source,side,exit_reason,n
ALT_0330,LONG,CLOSE_INVALIDATION_F35,19
ALT_0330,LONG,TIME_EXIT_EXEC_END,5
ALT_0330,LONG,TP_E20,31
RAW_0530,LONG,CLOSE_INVALIDATION_F35,15
RAW_0530,LONG,LIVE_FLOOR_GAP_OPEN,10
RAW_0530,LONG,LIVE_FLOOR_TOUCH,17
RAW_0530,LONG,LIVE_RUNNER_TIME_EXIT,1
RAW_0530,LONG,TIME_EXIT_EXEC_END,8
SHORT_2000,SHORT,CLOSE_INVALIDATION_F65,14
SHORT_2000,SHORT,TIME_EXIT_SESSION_END,11
SHORT_2000,SHORT,TP_E20_DOWN,39
