candidate,ext_R,n,hit_count,hit_rate,median_minutes_to_target
E0_NEXT_OPEN,0.0,97,77,0.7938144329896907,15.0
E0_NEXT_OPEN,0.05,97,73,0.7525773195876289,20.0
E0_NEXT_OPEN,0.1,97,64,0.6597938144329897,30.0
E0_NEXT_OPEN,0.2,97,53,0.5463917525773195,40.0
E0_NEXT_OPEN,0.3,97,44,0.4536082474226804,60.0
E0_NEXT_OPEN,0.5,97,30,0.30927835051546393,90.0
E1_FIRST_BULL_CLOSE,0.0,66,49,0.7424242424242424,20.0
E1_FIRST_BULL_CLOSE,0.05,66,47,0.7121212121212122,25.0
E1_FIRST_BULL_CLOSE,0.1,66,39,0.5909090909090909,45.0
E1_FIRST_BULL_CLOSE,0.2,66,32,0.48484848484848486,72.5
E1_FIRST_BULL_CLOSE,0.3,66,28,0.42424242424242425,77.5
E1_FIRST_BULL_CLOSE,0.5,66,19,0.2878787878787879,95.0
E2_F95_RECLAIM,0.0,21,20,0.9523809523809523,5.0
E2_F95_RECLAIM,0.05,21,19,0.9047619047619048,10.0
E2_F95_RECLAIM,0.1,21,13,0.6190476190476191,35.0
E2_F95_RECLAIM,0.2,21,10,0.47619047619047616,70.0
E2_F95_RECLAIM,0.3,21,8,0.38095238095238093,47.5
E2_F95_RECLAIM,0.5,21,5,0.23809523809523808,50.0
E3_F90_RECLAIM,0.0,36,33,0.9166666666666666,10.0
E3_F90_RECLAIM,0.05,36,30,0.8333333333333334,15.0
E3_F90_RECLAIM,0.1,36,25,0.6944444444444444,25.0
E3_F90_RECLAIM,0.2,36,20,0.5555555555555556,42.5
E3_F90_RECLAIM,0.3,36,17,0.4722222222222222,60.0
E3_F90_RECLAIM,0.5,36,10,0.2777777777777778,82.5
E4_F85_RECLAIM,0.0,38,31,0.8157894736842105,15.0
E4_F85_RECLAIM,0.05,38,30,0.7894736842105263,20.0
E4_F85_RECLAIM,0.1,38,25,0.6578947368421053,50.0
E4_F85_RECLAIM,0.2,38,20,0.5263157894736842,62.5
E4_F85_RECLAIM,0.3,38,18,0.47368421052631576,65.0
E4_F85_RECLAIM,0.5,38,13,0.34210526315789475,75.0
E5_MICRO_HL_BULL,0.0,50,33,0.66,20.0
E5_MICRO_HL_BULL,0.05,50,32,0.64,32.5
E5_MICRO_HL_BULL,0.1,50,27,0.54,55.0
E5_MICRO_HL_BULL,0.2,50,21,0.42,90.0
E5_MICRO_HL_BULL,0.3,50,19,0.38,90.0
E5_MICRO_HL_BULL,0.5,50,12,0.24,85.0
