phase,score,n,event_n,event_rate,baseline_rate,wilson_lower,wilson_upper
CONSTRUCTION_2020_2024,0,2113,311,0.14718409843823946,0.24807339449541285,0.13271800039878695,0.1629307623617332
CONSTRUCTION_2020_2024,1,1985,492,0.2478589420654912,0.24807339449541285,0.2293635811382144,0.26732836255403347
CONSTRUCTION_2020_2024,2,1034,366,0.3539651837524178,0.24807339449541285,0.3254070270678055,0.383604444432277
CONSTRUCTION_2020_2024,3,271,153,0.5645756457564576,0.24807339449541285,0.5050479192539622,0.6222981593600468
CONSTRUCTION_2020_2024,4,47,30,0.6382978723404256,0.24807339449541285,0.4953563457177046,0.7603397771423157
