episode_id,regime,first_effective_ts,last_effective_ts,first_partition,n_intervals,duration_hours
1,SIDEWAYS,2020-01-01 04:00:00+00:00,2020-01-08 00:00:00+00:00,external,42,168
2,BULL,2020-01-08 04:00:00+00:00,2020-01-09 08:00:00+00:00,external,8,32
3,SIDEWAYS,2020-01-09 12:00:00+00:00,2020-01-09 16:00:00+00:00,external,2,8
4,BULL,2020-01-09 20:00:00+00:00,2020-01-09 20:00:00+00:00,external,1,4
5,SIDEWAYS,2020-01-10 00:00:00+00:00,2020-01-10 12:00:00+00:00,external,4,16
6,BULL,2020-01-10 16:00:00+00:00,2020-01-19 08:00:00+00:00,external,53,212
7,SIDEWAYS,2020-01-19 12:00:00+00:00,2020-01-24 16:00:00+00:00,external,32,128
8,BEAR,2020-01-24 20:00:00+00:00,2020-01-26 08:00:00+00:00,external,10,40
9,SIDEWAYS,2020-01-26 12:00:00+00:00,2020-01-26 16:00:00+00:00,external,2,8
10,BULL,2020-01-26 20:00:00+00:00,2020-02-02 00:00:00+00:00,external,38,152
11,SIDEWAYS,2020-02-02 04:00:00+00:00,2020-02-02 04:00:00+00:00,external,1,4
12,BULL,2020-02-02 08:00:00+00:00,2020-02-02 20:00:00+00:00,external,4,16
13,SIDEWAYS,2020-02-03 00:00:00+00:00,2020-02-03 00:00:00+00:00,external,1,4
14,BULL,2020-02-03 04:00:00+00:00,2020-02-03 08:00:00+00:00,external,2,8
15,SIDEWAYS,2020-02-03 12:00:00+00:00,2020-02-05 12:00:00+00:00,external,13,52
16,BULL,2020-02-05 16:00:00+00:00,2020-02-10 08:00:00+00:00,external,29,116
17,SIDEWAYS,2020-02-10 12:00:00+00:00,2020-02-11 12:00:00+00:00,external,7,28
18,BULL,2020-02-11 16:00:00+00:00,2020-02-13 08:00:00+00:00,external,11,44
19,SIDEWAYS,2020-02-13 12:00:00+00:00,2020-02-13 12:00:00+00:00,external,1,4
20,BULL,2020-02-13 16:00:00+00:00,2020-02-14 04:00:00+00:00,external,4,16
21,SIDEWAYS,2020-02-14 08:00:00+00:00,2020-02-14 08:00:00+00:00,external,1,4
22,BULL,2020-02-14 12:00:00+00:00,2020-02-15 04:00:00+00:00,external,5,20
23,SIDEWAYS,2020-02-15 08:00:00+00:00,2020-02-15 08:00:00+00:00,external,1,4
24,BULL,2020-02-15 12:00:00+00:00,2020-02-15 12:00:00+00:00,external,1,4
