partition,exit_reason,n,share,wr,mean_pnl
external,CLOSE_INVALIDATION,3,0.019867549668874173,0.0,-8.06740503197812
external,EARLY_STRUCTURAL_FAILURE,130,0.8609271523178808,0.23076923076923078,-0.7020362693670257
external,TARGET,13,0.08609271523178808,1.0,6.10421484552196
external,TIME_EXIT,5,0.033112582781456956,1.0,1.770281169246069
development,CLOSE_INVALIDATION,7,0.028688524590163935,0.0,-5.913302167307039
development,EARLY_STRUCTURAL_FAILURE,203,0.8319672131147541,0.18226600985221675,-0.7893751674020602
development,TARGET,28,0.11475409836065574,1.0,3.128462128460261
development,TIME_EXIT,6,0.02459016393442623,0.3333333333333333,-0.5218651837169015
reference_validation,EARLY_STRUCTURAL_FAILURE,84,0.8235294117647058,0.17857142857142858,-0.8087597491692274
reference_validation,TARGET,15,0.14705882352941177,1.0,3.3804533520504245
reference_validation,TIME_EXIT,3,0.029411764705882353,0.6666666666666666,0.5320086233121454
POOLED_MAJOR,CLOSE_INVALIDATION,10,0.02012072434607646,0.0,-6.559533026708364
POOLED_MAJOR,EARLY_STRUCTURAL_FAILURE,417,0.8390342052313883,0.19664268585131894,-0.766052021416179
POOLED_MAJOR,TARGET,56,0.11267605633802817,1.0,3.886759515525521
POOLED_MAJOR,TIME_EXIT,14,0.028169014084507043,0.6428571428571429,0.5225886152760978
