i,period,date,parent_pnl,parent_win,parent_reason,parent_mfe,parent_mae,watch2,cp2_progress,cp2_taker,persistent4,cp4_progress,cp4_taker,candidate6,cp6_progress,cp6_taker,cut6_pnl,cut6_layer,confirm7_pnl,confirm7_layer,cp7_progress,flow67,bearish_price_repair7,seller_flow_repair7
0,D,2023-12-03,-7.699536725601946,False,SL,0.0006726998108824711,0.01663980098239559,True,-0.0036909642453704095,0.30095161254279934,False,5.076979704754514e-06,-0.2391721595044587,False,,,-7.699536725601946,REPAIRED4_HOLD,-7.699536725601946,REPAIRED4_HOLD,,,,
1,D,2023-12-10,11.943680114806734,True,TP,0.033098400217353,0.0068379463786281125,False,0.0016689612029305856,0.12303192958883957,False,,,False,,,11.943680114806734,PARENT,11.943680114806734,PARENT,,,,
2,D,2023-12-17,11.865836000367446,True,TP,0.026432180464042165,0.013297199811062477,False,-0.0011546187134112706,-0.08566550764339875,False,,,False,,,11.865836000367446,PARENT,11.865836000367446,PARENT,,,,
3,D,2023-12-24,11.848751643487457,True,TP,0.025421496613597383,0.005689431263012468,False,0.0010238227755905438,-0.06689991146844165,False,,,False,,,11.848751643487457,PARENT,11.848751643487457,PARENT,,,,
4,D,2023-12-31,-1.6366953095032644,False,TIMEOUT,0.010156439271878814,0.010257580283618228,False,-0.004233809793742882,0.08012027161337909,False,,,False,,,-1.6366953095032644,PARENT,-1.6366953095032644,PARENT,,,,
5,D,2024-01-07,6.7436570097704935,True,TIMEOUT,0.019356964326289527,0.010836173596909804,False,0.0013315155646443921,-0.01824708408120701,False,,,False,,,6.7436570097704935,PARENT,6.7436570097704935,PARENT,,,,
6,D,2024-01-14,11.75000000000001,True,TP,0.026716838259405296,0.00225586116918719,False,0.0024233065343227667,-0.07800752027964042,False,,,False,,,11.75000000000001,PARENT,11.75000000000001,PARENT,,,,
7,D,2024-01-21,3.503422796562018,True,TIMEOUT,0.009727986021270563,0.005222822004017802,False,-0.0030050428074588353,-0.1585869267740313,False,,,False,,,3.503422796562018,PARENT,3.503422796562018,PARENT,,,,
8,D,2024-01-28,2.345059823143878,True,TIMEOUT,0.020604964779447732,0.005009982295551385,True,-0.0025826835423965466,0.044299099060902014,False,0.0016974611067163137,0.03540350955932969,False,,,2.345059823143878,REPAIRED4_HOLD,2.345059823143878,REPAIRED4_HOLD,,,,
9,D,2024-02-04,3.3890422518091947,True,TIMEOUT,0.014139256128803068,0.007725283766853108,False,-0.0034009948202031737,-0.013950116922634037,False,,,False,,,3.3890422518091947,PARENT,3.3890422518091947,PARENT,,,,
10,D,2024-02-11,-7.649805624526015,False,SL,0.004496296373250774,0.014908006690422582,False,-0.00032205449993250035,-0.06984381831865338,False,,,False,,,-7.649805624526015,PARENT,-7.649805624526015,PARENT,,,,
11,D,2024-02-18,-4.115703573975951,False,TIMEOUT,0.004919121081010003,0.012964556854541565,False,-0.0009707014137889658,-0.1505010594925389,False,,,False,,,-4.115703573975951,PARENT,-4.115703573975951,PARENT,,,,
12,D,2024-02-25,1.1471846780681167,True,TIMEOUT,0.00645316228192494,0.008064516129032251,False,0.0004803073967337701,-0.07685428419065665,False,,,False,,,1.1471846780681167,PARENT,1.1471846780681167,PARENT,,,,
13,D,2024-03-03,-7.750000000000006,False,SL,0.0007524857165561727,0.01705580232978665,False,-0.0010006113946445794,-0.11449386347670454,False,,,False,,,-7.750000000000006,PARENT,-7.750000000000006,PARENT,,,,
14,D,2024-03-10,12.19609973468022,True,TP,0.03921577062782222,0.003801550734426451,True,-0.0017595257454323665,0.042219422642932214,False,-0.0015946150194952047,-0.03268528794768155,False,,,12.19609973468022,REPAIRED4_HOLD,12.19609973468022,REPAIRED4_HOLD,,,,
15,D,2024-03-17,-7.750000000000006,False,SL,0.003593793194629713,0.015637207177970902,False,-0.01000763230327295,-0.06850483397046137,False,,,False,,,-7.750000000000006,PARENT,-7.750000000000006,PARENT,,,,
16,D,2024-03-24,-7.670065131609785,False,SL,0.010112519584104862,0.016915459458797244,False,0.0024121184832599507,0.09615847003594902,False,,,False,,,-7.670065131609785,PARENT,-7.670065131609785,PARENT,,,,
17,D,2024-03-31,-7.750000000000006,False,SL,0.00201870859514941,0.01480196753006724,False,0.00024167638110939027,-0.058784807486509494,False,,,False,,,-7.750000000000006,PARENT,-7.750000000000006,PARENT,,,,
18,D,2024-04-07,1.062683115989905,True,TIMEOUT,0.008877914999359748,0.01290247387346155,False,0.002349697762391356,-0.17382528910014383,False,,,False,,,1.062683115989905,PARENT,1.062683115989905,PARENT,,,,
19,D,2024-04-14,11.799729740203384,True,TP,0.02910931299603181,0.005178881448412609,False,0.0010602678571428603,0.09021738095025689,False,,,False,,,11.799729740203384,PARENT,11.799729740203384,PARENT,,,,
20,D,2024-04-21,0.2634379647475298,True,TIMEOUT,0.010530435640146996,0.011669152634303792,True,-0.0004252853726485206,0.1625083658073665,False,-0.0012142205566925135,-0.119630758197808,False,,,0.2634379647475298,REPAIRED4_HOLD,0.2634379647475298,REPAIRED4_HOLD,,,,
21,D,2024-04-28,7.123449824019988,True,TIMEOUT,0.01823244244060318,0.004651549914648445,False,0.0002182867785738285,0.13625423799871017,False,,,False,,,7.123449824019988,PARENT,7.123449824019988,PARENT,,,,
22,D,2024-05-05,-7.750000000000006,False,SL,0.0018620481586936188,0.015787339958139412,True,-0.0003818377236814996,0.006344885493109631,False,-0.0010040917919031944,-0.005958566376490393,False,,,-7.750000000000006,REPAIRED4_HOLD,-7.750000000000006,REPAIRED4_HOLD,,,,
23,D,2024-05-12,-0.5940303459258807,False,TIMEOUT,0.00272297423496215,0.013323240961921057,False,-0.001831699876466697,-0.1341723745090494,False,,,False,,,-0.5940303459258807,PARENT,-0.5940303459258807,PARENT,,,,
24,D,2024-05-19,2.9387547704702888,True,TIMEOUT,0.019194269726864444,0.009323016140229567,True,-0.0018279547465742674,0.054182716881969295,False,0.004844750477473014,-0.049626657471892766,False,,,2.9387547704702888,REPAIRED4_HOLD,2.9387547704702888,REPAIRED4_HOLD,,,,
25,D,2024-05-26,-0.28066817668684374,False,TIMEOUT,0.01484917384938056,0.003511013655226769,True,-0.0007704282742839741,0.2380646978936647,False,0.00260904884630897,0.0009485512485327696,False,,,-0.28066817668684374,REPAIRED4_HOLD,-0.28066817668684374,REPAIRED4_HOLD,,,,
26,D,2024-06-02,-7.6496932433887705,False,SL,0.007281320668713009,0.014708680791681417,False,0.003134685255473113,0.11446072865790136,False,,,False,,,-7.6496932433887705,PARENT,-7.6496932433887705,PARENT,,,,
27,D,2024-06-09,-3.299061684802147,False,TIMEOUT,0.0014441161634358712,0.007119694458456394,False,4.611947827337648e-05,-0.04284528839259083,False,,,False,,,-3.299061684802147,PARENT,-3.299061684802147,PARENT,,,,
28,D,2024-06-16,-1.121749710994776,False,TIMEOUT,0.001946823056421687,0.01054151864271713,True,-0.006554304289952961,0.17783743962833265,True,-0.004756888584372954,0.12456378827875647,False,-0.0036174688885601824,-0.16935235658668746,-1.121749710994776,REPAIRED6_HOLD,-1.121749710994776,REPAIRED6_HOLD,,,,
29,D,2024-06-23,11.773275414335378,True,TP,0.026751212326968532,0.0007675610669410915,False,0.0013160409386618888,-0.4038117498368129,False,,,False,,,11.773275414335378,PARENT,11.773275414335378,PARENT,,,,
30,D,2024-06-30,-7.6998603587942345,False,SL,0.0036652770241070165,0.022713019856833272,False,0.00017059135085606414,-0.0645599099476194,False,,,False,,,-7.6998603587942345,PARENT,-7.6998603587942345,PARENT,,,,
31,D,2024-07-07,11.799289801074897,True,TP,0.02514720250170499,0.0047757298519559566,False,0.0024208368980662698,-0.029832093637314316,False,,,False,,,11.799289801074897,PARENT,11.799289801074897,PARENT,,,,
32,D,2024-07-14,-7.708370066496263,False,SL,0.012145829732353008,0.016349004799829814,False,0.0044557976891679285,-0.28184167134390625,False,,,False,,,-7.708370066496263,PARENT,-7.708370066496263,PARENT,,,,
