signal_ts,friday_wib,entry_ts,archetype,two_color,signal_body,signal_dominance,range_state,prior4_trend,range_location,trend_relation,signal_color,cont_pnl,cont_win,cont_reason,rev_pnl,rev_win,rev_reason,period
2026-04-10 02:30:00+00:00,2026-04-10,2026-04-10 02:45:00+00:00,RR|SMALL|UPPER|NORMAL|UP|INSIDE|AGAINST,RR,SMALL,UPPER,NORMAL,UP,INSIDE,AGAINST,R,2.361416151910351,1,TIME,-3.861416151910351,0,TIME,validation
2026-04-10 02:45:00+00:00,2026-04-10,2026-04-10 03:00:00+00:00,RR|LARGE|BODY_BALANCED|EXPANDED|DOWN|BREAK_LOW|WITH,RR,LARGE,BODY_BALANCED,EXPANDED,DOWN,BREAK_LOW,WITH,R,1.7150266523185693,1,TIME,-3.2150266523185693,0,TIME,validation
2026-04-10 03:00:00+00:00,2026-04-10,2026-04-10 03:15:00+00:00,RR|MEDIUM|BODY_BALANCED|EXPANDED|DOWN|BREAK_LOW|WITH,RR,MEDIUM,BODY_BALANCED,EXPANDED,DOWN,BREAK_LOW,WITH,R,0.3617407339855667,1,TIME,-1.8617407339855667,0,TIME,validation
2026-04-10 03:15:00+00:00,2026-04-10,2026-04-10 03:30:00+00:00,RR|MEDIUM|UPPER|NORMAL|DOWN|BREAK_LOW|WITH,RR,MEDIUM,UPPER,NORMAL,DOWN,BREAK_LOW,WITH,R,-0.4253843838991349,0,TIME,-1.074615616100865,0,TIME,validation
2026-04-10 03:30:00+00:00,2026-04-10,2026-04-10 03:45:00+00:00,RG|MEDIUM|BODY_BALANCED|NORMAL|DOWN|INSIDE|AGAINST,RG,MEDIUM,BODY_BALANCED,NORMAL,DOWN,INSIDE,AGAINST,G,-1.4977563830571854,0,TIME,-0.0022436169428146236,0,TIME,validation
2026-04-10 03:45:00+00:00,2026-04-10,2026-04-10 04:00:00+00:00,GR|MEDIUM|BODY_BALANCED|NORMAL|DOWN|INSIDE|WITH,GR,MEDIUM,BODY_BALANCED,NORMAL,DOWN,INSIDE,WITH,R,-0.11592828516657151,0,TIME,-1.3840717148334285,0,TIME,validation
2026-04-10 04:00:00+00:00,2026-04-10,2026-04-10 04:15:00+00:00,RG|SMALL|UPPER|NORMAL|DOWN|INSIDE|AGAINST,RG,SMALL,UPPER,NORMAL,DOWN,INSIDE,AGAINST,G,-1.1550775284981656,0,TIME,-0.3449224715018344,0,TIME,validation
2026-04-10 04:15:00+00:00,2026-04-10,2026-04-10 04:30:00+00:00,GR|SMALL|UPPER|NORMAL|UP|INSIDE|AGAINST,GR,SMALL,UPPER,NORMAL,UP,INSIDE,AGAINST,R,0.21470408085141954,1,TIME,-1.7147040808514196,0,TIME,validation
2026-04-10 04:30:00+00:00,2026-04-10,2026-04-10 04:45:00+00:00,RG|MEDIUM|LOWER|NORMAL|UP|INSIDE|WITH,RG,MEDIUM,LOWER,NORMAL,UP,INSIDE,WITH,G,-1.4728057384792708,0,TIME,-0.02719426152072925,0,TIME,validation
2026-04-10 04:45:00+00:00,2026-04-10,2026-04-10 05:00:00+00:00,GG|MEDIUM|BODY_BALANCED|EXPANDED|DOWN|BREAK_HIGH|AGAINST,GG,MEDIUM,BODY_BALANCED,EXPANDED,DOWN,BREAK_HIGH,AGAINST,G,-2.250926634928068,0,TIME,0.7509266349280681,1,TIME,validation
2026-04-10 05:00:00+00:00,2026-04-10,2026-04-10 05:15:00+00:00,GR|MEDIUM|BODY_BALANCED|EXPANDED|UP|INSIDE|AGAINST,GR,MEDIUM,BODY_BALANCED,EXPANDED,UP,INSIDE,AGAINST,R,-1.1317853672081206,0,TIME,-0.3682146327918794,0,TIME,validation
2026-04-10 05:15:00+00:00,2026-04-10,2026-04-10 05:30:00+00:00,RG|MEDIUM|BODY_BALANCED|EXPANDED|UP|INSIDE|WITH,RG,MEDIUM,BODY_BALANCED,EXPANDED,UP,INSIDE,WITH,G,-0.8518147968067096,0,TIME,-0.6481852031932904,0,TIME,validation
2026-04-10 05:30:00+00:00,2026-04-10,2026-04-10 05:45:00+00:00,GR|MEDIUM|BODY_BALANCED|NORMAL|UP|INSIDE|AGAINST,GR,MEDIUM,BODY_BALANCED,NORMAL,UP,INSIDE,AGAINST,R,-0.8851793518046263,0,TIME,-0.6148206481953737,0,TIME,validation
2026-04-10 05:45:00+00:00,2026-04-10,2026-04-10 06:00:00+00:00,RR|SMALL|UPPER|NORMAL|UP|INSIDE|AGAINST,RR,SMALL,UPPER,NORMAL,UP,INSIDE,AGAINST,R,-0.7104706900569462,0,TIME,-0.7895293099430538,0,TIME,validation
2026-04-10 06:00:00+00:00,2026-04-10,2026-04-10 06:15:00+00:00,RG|SMALL|LOWER|NORMAL|UP|INSIDE|WITH,RG,SMALL,LOWER,NORMAL,UP,INSIDE,WITH,G,-1.1563287435289165,0,TIME,-0.34367125647108354,0,TIME,validation
2026-04-10 06:15:00+00:00,2026-04-10,2026-04-10 06:30:00+00:00,GR|LARGE|BODY_BALANCED|EXPANDED|UP|BREAK_LOW|AGAINST,GR,LARGE,BODY_BALANCED,EXPANDED,UP,BREAK_LOW,AGAINST,R,-2.158969582383346,0,TIME,0.6589695823833459,1,TIME,validation
2026-04-10 06:30:00+00:00,2026-04-10,2026-04-10 06:45:00+00:00,RR|SMALL|LOWER|EXPANDED|DOWN|INSIDE|WITH,RR,SMALL,LOWER,EXPANDED,DOWN,INSIDE,WITH,R,-3.3192515863998677,0,TIME,1.8192515863998677,1,TIME,validation
2026-04-10 06:45:00+00:00,2026-04-10,2026-04-10 07:00:00+00:00,RR|MEDIUM|BODY_BALANCED|EXPANDED|DOWN|BREAK_LOW|WITH,RR,MEDIUM,BODY_BALANCED,EXPANDED,DOWN,BREAK_LOW,WITH,R,-3.866549476790187,0,TIME,2.366549476790187,1,TIME,validation
2026-04-10 07:00:00+00:00,2026-04-10,2026-04-10 07:15:00+00:00,RR|MEDIUM|BODY_BALANCED|NORMAL|DOWN|BREAK_LOW|WITH,RR,MEDIUM,BODY_BALANCED,NORMAL,DOWN,BREAK_LOW,WITH,R,-4.174017364908605,0,TIME,2.6740173649086048,1,TIME,validation
2026-04-10 07:15:00+00:00,2026-04-10,2026-04-10 07:30:00+00:00,RG|SMALL|UPPER|NORMAL|DOWN|INSIDE|AGAINST,RG,SMALL,UPPER,NORMAL,DOWN,INSIDE,AGAINST,G,3.208578594104867,1,TIME,-4.708578594104867,0,TIME,validation
2026-04-10 07:30:00+00:00,2026-04-10,2026-04-10 07:45:00+00:00,GR|MEDIUM|UPPER|EXPANDED|DOWN|BREAK_LOW|WITH,GR,MEDIUM,UPPER,EXPANDED,DOWN,BREAK_LOW,WITH,R,-3.5447778696030268,0,TIME,2.0447778696030268,1,TIME,validation
2026-04-10 07:45:00+00:00,2026-04-10,2026-04-10 08:00:00+00:00,RR|MEDIUM|BODY_BALANCED|EXPANDED|DOWN|BREAK_LOW|WITH,RR,MEDIUM,BODY_BALANCED,EXPANDED,DOWN,BREAK_LOW,WITH,R,-7.249999999999999,0,SL,5.75,1,TP,validation
2026-04-10 08:00:00+00:00,2026-04-10,2026-04-10 08:15:00+00:00,RG|MEDIUM|BODY_BALANCED|EXPANDED|DOWN|INSIDE|AGAINST,RG,MEDIUM,BODY_BALANCED,EXPANDED,DOWN,INSIDE,AGAINST,G,5.75,1,TP,-7.249999999999999,0,SL,validation
2026-04-10 08:15:00+00:00,2026-04-10,2026-04-10 08:30:00+00:00,GG|SMALL|LOWER|NORMAL|DOWN|INSIDE|AGAINST,GG,SMALL,LOWER,NORMAL,DOWN,INSIDE,AGAINST,G,5.75,1,TP,-7.249999999999999,0,SL,validation
