loss_class,losses,median_time_to_exit_min,median_pre_exit_mfe_R,median_pnl_usd_500,share_of_losses
SL_BEFORE_H,16,40.0,0.1481958041958063,-3.7054543849703014,0.64
CLOSE_LOSS_BEFORE_H,3,95.0,0.02147651006711367,-1.4263611768684785,0.12
SL_AFTER_H_BEFORE_H10,3,105.0,0.10326086956521596,-2.566347124117046,0.12
COST_FLIP_CLOSE,2,325.0,0.37511882882311753,-0.6303059177646668,0.08
SL_AFTER_H10_BEFORE_H20,1,140.0,0.41700404858299117,-4.885198482086433,0.04
