zone,entry_frac,partition,n,e20_n,e20_rate,win_pre_p50,win_pre_p75,win_pre_p90,win_pre_p95,win_pre_max,win_cons_p50,win_cons_p75,win_cons_p90,win_cons_p95,win_cons_max,fail_n,fail_p50,fail_p75,fail_p90,fail_p95,fail_max
F05,0.05,external,8,4,0.5,0.1195253862172935,0.16344632430997738,0.21585352972399224,0.23332259819533047,0.2507916666666688,0.1195253862172935,0.16344632430997738,0.21585352972399224,0.23332259819533047,0.2507916666666688,4,0.2589362416243713,0.4384724807929311,0.6362980832262635,0.7022399507040407,0.7681818181818182
F05,0.05,development,17,12,0.7058823529411765,0.1606368542976651,0.24473126202831924,0.34853598637550615,0.4957739146429567,0.6666983824928684,0.1606368542976651,0.24473126202831924,0.34853598637550615,0.4957739146429567,0.6666983824928684,5,0.5793611236973312,0.9590363201772285,1.0795618555517232,1.1197370340098882,1.1599122124680532
F05,0.05,reference_validation,3,1,0.3333333333333333,0.18848193569771482,0.18848193569771482,0.18848193569771482,0.18848193569771482,0.18848193569771482,0.18848193569771482,0.18848193569771482,0.18848193569771482,0.18848193569771482,0.18848193569771482,2,0.6359196520521513,0.8676571625878154,1.006699668909214,1.0530471710163467,1.0993946731234796
F05,0.05,august,0,0,,,,,,,,,,,,0,,,,,
F05,0.05,POOLED_MAJOR,28,17,0.6071428571428571,0.14644864014385078,0.2323015964166752,0.31158280442425346,0.4180809747111788,0.6666983824928684,0.14644864014385078,0.2323015964166752,0.31158280442425346,0.4180809747111788,0.6666983824928684,11,0.5050478366414433,0.8636090691795233,1.0993946731234796,1.1296534427957665,1.1599122124680532
F10,0.1,external,10,4,0.4,0.08330787595737153,0.11344632430997739,0.16585352972399225,0.18332259819533048,0.20079166666666878,0.08330787595737153,0.11344632430997739,0.16585352972399225,0.18332259819533048,0.20079166666666878,6,0.4983755932558935,0.7642329545454557,0.8648238772317351,0.9074441491809354,0.9500644211301356
F10,0.1,development,22,16,0.7272727272727273,0.19285716152152566,0.2951487307902213,0.46131250262931256,0.6178839444385881,0.6214406302757468,0.19285716152152566,0.2951487307902213,0.46131250262931256,0.6178839444385881,0.6214406302757468,6,0.7126891402800337,0.9057815293486055,1.0094742663226408,1.059693239395347,1.1099122124680532
F10,0.1,reference_validation,5,2,0.4,0.23361294852518594,0.28117845493892146,0.30971775878716284,0.3192308600699099,0.32874396135265704,0.23361294852518594,0.28117845493892146,0.30971775878716284,0.3192308600699099,0.32874396135265704,3,0.2712791373409964,0.660336905232238,0.8937715659669829,0.9715831195452311,1.0493946731234796
F10,0.1,august,0,0,,,,,,,,,,,,0,,,,,
F10,0.1,POOLED_MAJOR,37,22,0.5945945945945946,0.17331356618350735,0.2814232333255725,0.326462227493967,0.6023006614358577,0.6214406302757468,0.17331356618350735,0.2814232333255725,0.326462227493967,0.6023006614358577,0.6214406302757468,15,0.5293611236973312,0.9025267385199824,1.0096625723261419,1.0675499349268516,1.1099122124680532
F15,0.15,external,10,3,0.3,0.032284541723662824,0.039072207167563905,0.04314480643390455,0.044502339522684765,0.045859872611464986,0.032284541723662824,0.039072207167563905,0.04314480643390455,0.044502339522684765,0.045859872611464986,7,0.22856936832996874,0.6988825757575765,0.7977757684520551,0.8489200947910952,0.9000644211301355
F15,0.15,development,26,18,0.6923076923076923,0.2200235495197248,0.2676008886513801,0.4220412710667223,0.5674097196603002,0.5714406302757468,0.2200235495197248,0.2676008886513801,0.4220412710667223,0.5674097196603002,0.5714406302757468,8,0.6626891402800337,0.9091283790699128,1.059556852763992,1.0597345326160226,1.0599122124680533
F15,0.15,reference_validation,6,3,0.5,0.278743961352657,0.3470313172398762,0.3880037307722077,0.4016612019496515,0.41531867312709536,0.278743961352657,0.3470313172398762,0.3880037307722077,0.4016612019496515,0.41531867312709536,3,0.22127913734099638,0.610336905232238,0.843771565966983,0.9215831195452312,0.9993946731234796
F15,0.15,august,1,0,0.0,,,,,,,,,,,1,0.911112437335876,0.911112437335876,0.911112437335876,0.911112437335876,0.911112437335876
F15,0.15,POOLED_MAJOR,42,24,0.5714285714285714,0.20349596244460266,0.27330522329810525,0.3987366810399074,0.5439914260880021,0.5714406302757468,0.20349596244460266,0.27330522329810525,0.3987366810399074,0.5439914260880021,0.5714406302757468,18,0.44220448016938724,0.8557815293486054,1.0173976379108254,1.0594807042559788,1.0599122124680533
