clock_min,reference_start_utc,execution_start_utc,execution_end_utc,partition,days,k1_opp0,clean_windows,f15_touches,h2_after_f15_touch_rate,same_bar_confirmations,trades,wins,wr,pf,expectancy,total_net,tp_rate,time_exit_rate,eligible,distance_from_2000
1200,20:00,01:30+1d,08:00+1d,development,782,114,77,42,0.6904761904761905,19,19,15,0.7894736842105263,3.9934463719694655,2.076875871538039,39.460641559222736,0.7894736842105263,0.10526315789473684,True,0
1210,20:10,01:40+1d,08:10+1d,development,782,120,82,48,0.7291666666666666,26,25,18,0.72,3.0542704604349127,1.6580127345156728,41.45031836289182,0.68,0.24,True,10
1220,20:20,01:50+1d,08:20+1d,development,782,127,87,53,0.6981132075471698,25,25,17,0.68,2.059870761759481,1.0760079863552945,26.90019965888236,0.68,0.24,False,20
1230,20:30,02:00+1d,08:30+1d,development,782,133,93,55,0.6545454545454545,28,28,17,0.6071428571428571,1.467474097290371,0.6504272528752966,18.211963080508305,0.6071428571428571,0.21428571428571427,False,30
1190,19:50,01:20+1d,07:50+1d,development,782,134,92,53,0.660377358490566,24,24,16,0.6666666666666666,1.34725654253022,0.5978653502583412,14.34876840620019,0.6666666666666666,0.125,False,10
1180,19:40,01:10+1d,07:40+1d,development,782,126,87,51,0.6666666666666666,18,18,12,0.6666666666666666,1.1435548059927514,0.16467353329550963,2.9641235993191732,0.6111111111111112,0.16666666666666666,False,20
1170,19:30,01:00+1d,07:30+1d,development,782,123,86,52,0.5769230769230769,19,19,8,0.42105263157894735,0.27976946982130885,-1.4316292414334422,-27.200955587235402,0.42105263157894735,0.2631578947368421,False,30
