partition,exit_reason,n_losses,share_of_losses,median_pnl,median_hold_min,median_mfe_R,median_mae_R,median_mfe_target_fraction,near_target_80pct_rate
external,CLOSE_INVALIDATION,28,0.5384615384615384,-7.271665195273075,122.5,0.15842205563838088,0.6928620433400083,0.31684411127676176,0.07142857142857142
external,TIME_EXIT,24,0.46153846153846156,-2.169927720621067,275.0,0.16921992754035592,0.3282017810486783,0.33843985508071184,0.0
development,CLOSE_INVALIDATION,54,0.6,-5.531150572463633,102.5,0.1321883703739991,0.6959274887087765,0.2643767407479982,0.07407407407407407
development,TIME_EXIT,36,0.4,-1.6087156666182596,227.5,0.16167476444992732,0.37695242039873633,0.32334952889985463,0.1111111111111111
reference_validation,CLOSE_INVALIDATION,20,0.5555555555555556,-6.296446598091299,112.5,0.11740517128232415,0.6903267042477841,0.2348103425646483,0.0
reference_validation,TIME_EXIT,16,0.4444444444444444,-3.2413619501063415,230.0,0.12000869917619866,0.38587754814750286,0.24001739835239733,0.0625
POOLED_MAJOR,CLOSE_INVALIDATION,102,0.5730337078651685,-6.129786695066381,107.5,0.14413759800282117,0.6953986462774965,0.28827519600564233,0.058823529411764705
POOLED_MAJOR,TIME_EXIT,76,0.42696629213483145,-2.0997388117093445,250.0,0.1563168961066093,0.3652916841752902,0.3126337922132186,0.06578947368421052
