partition,k,entry_fraction,ttl,setups,fills,fill_rate,wins,losses,wr,tp_rate,net_pf,net_exp,total_net,time_exit_rate,median_rr
external,1,F50,T15,101,5,0.04950495049504951,2,3,0.4,0.4,0.6130387188663522,-1.0095916251890322,-5.047958125945161,0.0,1.000000000000016
external,1,F50,T30,101,9,0.0891089108910891,4,5,0.4444444444444444,0.4444444444444444,0.774978156411883,-0.4641971018836997,-4.1777739169532975,0.1111111111111111,1.0
external,1,F50,T45,101,11,0.10891089108910891,6,5,0.5454545454545454,0.5454545454545454,0.9211520861827351,-0.13308152767398368,-1.4638968044138205,0.09090909090909091,1.0
external,1,F50,T60,101,13,0.12871287128712872,8,5,0.6153846153846154,0.6153846153846154,1.5231243498003153,0.7471053370675178,9.712369381877732,0.07692307692307693,1.0
external,1,F50,T90,101,14,0.13861386138613863,9,5,0.6428571428571429,0.5714285714285714,1.7832309282308207,1.038680667852739,14.541529349938344,0.14285714285714285,1.0
external,1,F50,FULL,101,17,0.16831683168316833,11,6,0.6470588235294118,0.47058823529411764,1.9609850750860005,1.0888153780943166,18.509861427603383,0.29411764705882354,1.0
external,1,F60,T15,101,8,0.07920792079207921,5,3,0.625,0.625,0.685310513708996,-0.6983379243795759,-5.586703395036607,0.0,0.6666666666666718
external,1,F60,T30,101,13,0.12871287128712872,9,4,0.6923076923076923,0.6923076923076923,1.0820837040692706,0.12681146556254427,1.6485490523130757,0.07692307692307693,0.6666666666666721
external,1,F60,T45,101,16,0.15841584158415842,11,5,0.6875,0.6875,1.4344080715245942,0.5759647054504854,9.215435287207766,0.125,0.6666666666666718
external,1,F60,T60,101,18,0.1782178217821782,13,5,0.7222222222222222,0.6666666666666666,1.621590407283839,0.7325710737793427,13.186279328028169,0.16666666666666666,0.6666666666666718
external,1,F60,T90,101,19,0.18811881188118812,14,5,0.7368421052631579,0.631578947368421,1.9120379334331612,1.018303575294091,19.34776793058773,0.21052631578947367,0.6666666666666716
