period,group,n,mean_terminal_r,median_terminal_r,median_mfe_r,median_mae_r,median_giveback_r,touch_100r_rate,sl_hit_rate
HIST_2020_2024,NEGATIVE,17,-1.0,-1.0,0.47885032537961636,0.9172413793103537,1.4788503253796164,0.11764705882352941,1.0
HIST_2020_2024,POSITIVE,17,1.226313511256433,1.3173697642996554,1.365027322404364,0.38917378917378603,0.300671140939599,0.7058823529411765,0.11764705882352941
RETRO_2025,NEGATIVE,5,-1.0,-1.0,0.6549264378065046,0.9229122055674563,1.6549264378065045,0.0,1.0
RETRO_2025,POSITIVE,7,1.4874730622271546,1.0717515827554982,1.435936086825438,0.2763819095477328,0.3747870528109103,0.8571428571428571,0.0
RETRO_2026_PRE,NEGATIVE,8,-0.7467427309532566,-1.0,0.43120198265179566,0.9041134751773064,1.236300021867506,0.125,0.75
RETRO_2026_PRE,POSITIVE,2,1.1481279782164653,1.1481279782164653,1.8431586113002023,0.0782845473110935,0.6950306330837372,1.0,0.0
