scenario,n,wins,wr,pf,expectancy,net,long_n,short_n,delta_vs_long,displaced_long_n
CORRECTED_LONG_ONLY,228,164,0.7192982456140351,2.223192978224952,1.2569487441252125,286.58431366054845,228,0,0.0,0
CORRECTED_LONG_PLUS_SHORT20,284,207,0.7288732394366197,2.3142286254721056,1.2827839295467203,364.31063599126855,228,56,77.72632233072011,0
