rule,feature,state,n,wr,mean,pf,dd,supp,gate,min_year_mean,wr_imp_pp,mean_imp_pct,pf_imp,y2022_n,y2022_wr,y2022_mean,y2022_pf,y2023_n,y2023_wr,y2023_mean,y2023_pf,y2024_n,y2024_wr,y2024_mean,y2024_pf
efficiency_60m__HIGH,efficiency_60m,HIGH,483,0.6024844720496895,0.0014700548395269605,1.642149747855618,0.15175831391475444,3,True,0.0006915450592160389,2.92800521601867,112.89252940065295,0.3508827314389318,172,0.5697674418604651,0.0008659174731749229,1.2959598822993335,172,0.5872093023255814,0.0006915450592160389,1.3465651855553256,139,0.6618705035971223,0.0031809563447501906,2.7053878918233116
lower_wick_pressure_15m__HIGH,lower_wick_pressure_15m,HIGH,471,0.5923566878980892,0.0008189529467253067,1.3452656509425434,0.11104708510701466,3,True,0.0006646561868056482,1.9152268008586382,18.600313131564118,0.05399863452585718,144,0.6180555555555556,0.0009018465469192203,1.3317550650592478,169,0.591715976331361,0.0006646561868056482,1.3680344719279278,158,0.569620253164557,0.0009084432884879566,1.341317105302452
drive_15m__HIGH,drive_15m,HIGH,534,0.5861423220973783,0.0011097601707557923,1.4925519714785105,0.21637337084483327,4,True,0.0004377796249125392,1.2937902207875496,60.714854594353525,0.2012849550618243,194,0.5567010309278351,0.0004377796249125392,1.139646228533568,173,0.6011560693641619,0.0013008878284387943,1.9165240660852039,167,0.6047904191616766,0.0016923897582673598,1.8088509497415148
range_location_240m__HIGH,range_location_240m,HIGH,467,0.5460385438972163,0.001490731446648505,1.8167673306240193,0.13623580001763586,3,False,0.0009714697136892988,-2.716587599228648,115.8869042165922,0.5255003142073331,164,0.573170731707317,0.0022955165878550577,2.158683938209317,174,0.5344827586206896,0.0011171682305212798,1.756221352603995,129,0.5271317829457365,0.0009714697136892988,1.463473726628659
lower_wick_pressure_15m__LOW,lower_wick_pressure_15m,LOW,509,0.5756385068762279,0.0008791863485182873,1.4164259594976134,0.1454207478937499,3,False,0.0007608424985351235,0.24340869867250925,27.32328108984774,0.12515894308092723,160,0.5625,0.0009514609937124191,1.3859871100861543,169,0.591715976331361,0.00093680735305029,1.5301266074408562,180,0.5722222222222222,0.0007608424985351235,1.3588999769599932
drive_60m__HIGH,drive_60m,HIGH,503,0.5745526838966203,0.0009620665635981625,1.408058128640581,0.24285579410592903,4,False,0.0006619016115408024,0.13482640071175167,39.32594803205684,0.11679111222389493,182,0.5714285714285714,0.001373170561396886,1.4911560503393098,175,0.5828571428571429,0.0006619016115408024,1.3531709162070737,146,0.5684931506849316,0.0008093812143561785,1.3385033328050546
ema20_reclaim__FALSE,ema20_reclaim,FALSE,1344,0.5729166666666666,0.0006921507293528389,1.2863462898708797,0.28617004809616176,4,False,0.0006575147388331874,-0.028775322283614013,0.23688609184719933,-0.004920726545806442,429,0.585081585081585,0.0006575147388331874,1.218617260145766,462,0.5930735930735931,0.0006831941978780267,1.3805122285895022,453,0.5408388520971302,0.0007340861763159595,1.2945642192502573
range_ratio_60_240__LOW,range_ratio_60_240,LOW,128,0.5390625,0.0013646204945160193,1.8418758365340135,0.0455622668271901,0,False,0.0004692824404205656,-3.414191988950277,97.62358582688586,0.5506088201173274,40,0.6,0.0022913435593346076,1.969895158348392,46,0.5869565217391305,0.0013762569223261393,2.2304853037131904,42,0.42857142857142855,0.0004692824404205656,1.3203253430387332
range_ratio_60_240__MID,range_ratio_60_240,MID,395,0.6151898734177215,0.0015893607173383653,1.8129142233021351,0.10551187287671984,3,False,0.0003691733255462495,4.19854535282187,130.1703406881613,0.521647206885449,126,0.6666666666666666,0.0022571109403484915,1.9068139210430253,131,0.5572519083969466,0.0003691733255462495,1.2089237675661655,138,0.6231884057971014,0.002137969559552069,2.2987115327123866
drive_60m__MID,drive_60m,MID,383,0.5300261096605744,0.00047844164994102816,1.2833175753860335,0.10881853241909972,1,False,0.0003415229043456535,-4.317831022892838,-30.712344677329828,-0.007949441030652649,108,0.6018518518518519,0.0006094446034103218,1.278198018791197,133,0.5338345864661654,0.0005182472356542573,1.3886708391537286,142,0.47183098591549294,0.0003415229043456535,1.2082793083171364
