component,n,maker_entry_n,taker_entry_n,taker_exit_n,maker_legs,taker_legs
ALL,302,28,274,302,28,576
BUY_SIDE,131,0,131,131,0,262
SELL_SIDE,171,28,143,171,28,314
SCORE3_ALL,274,0,274,274,0,548
SCORE3_BUY_SIDE_SHORT,131,0,131,131,0,262
SCORE3_SELL_SIDE_LONG,143,0,143,143,0,286
SCORE4_SELL_SIDE_LONG,28,28,0,28,28,28
