replay,component,hour_wib,anchor_utc_min,lookback_min,hold_min,character_rule,entry_ts,exit_ts,gross,net
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-01-19 18:45:00+00:00,2022-01-20 00:45:00+00:00,-3.368642106909327,-4.118642106909327
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-01-26 18:00:00+00:00,2022-01-27 00:00:00+00:00,-25.573273818471975,-26.323273818471975
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-01-27 18:00:00+00:00,2022-01-28 00:00:00+00:00,-5.123197790569869,-5.873197790569869
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-02-01 18:15:00+00:00,2022-02-02 00:15:00+00:00,2.5209267509735023,1.7709267509735023
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-02-02 18:45:00+00:00,2022-02-03 00:45:00+00:00,2.114660779371572,1.364660779371572
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-02-22 18:00:00+00:00,2022-02-23 00:00:00+00:00,8.181201169238895,7.431201169238895
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-02-25 18:00:00+00:00,2022-02-26 00:00:00+00:00,13.9904575046821,13.2404575046821
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-03-01 18:30:00+00:00,2022-03-02 00:30:00+00:00,2.2833465874378582,1.5333465874378582
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-03-02 18:00:00+00:00,2022-03-03 00:00:00+00:00,0.5196269553935826,-0.2303730446064174
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-03-08 18:00:00+00:00,2022-03-09 00:00:00+00:00,-3.140698670411879,-3.890698670411879
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-03-16 18:45:00+00:00,2022-03-17 00:45:00+00:00,15.247285075479965,14.497285075479965
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-04-06 18:15:00+00:00,2022-04-07 00:15:00+00:00,-2.061932968433723,-2.811932968433723
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-04-26 18:45:00+00:00,2022-04-27 00:45:00+00:00,-7.8171143299114485,-8.567114329911448
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-04-27 18:00:00+00:00,2022-04-28 00:00:00+00:00,2.8069442267844376,2.0569442267844376
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-05-06 18:00:00+00:00,2022-05-07 00:00:00+00:00,1.4774543814999304,0.7274543814999304
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-05-16 18:15:00+00:00,2022-05-17 00:15:00+00:00,-1.5343683762743394,-2.2843683762743394
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-05-17 18:15:00+00:00,2022-05-18 00:15:00+00:00,14.463902682690371,13.713902682690371
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-05-18 18:00:00+00:00,2022-05-19 00:00:00+00:00,-11.4544145946801,-12.2044145946801
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-05-24 18:45:00+00:00,2022-05-25 00:45:00+00:00,6.74273593171185,5.99273593171185
