partition,N,wins,losses,WR,PF,net,expectancy,max_loss_streak,target,f35,session_end,WR_5bps,PF_5bps,net_5bps,max_loss_streak_5bps
external,40,32,8,0.8,1.2825416866383381,11.331149156165196,0.2832787289041299,2,33,0,7,0.7,0.8086657412107487,-8.686173331744524,2
development,43,29,14,0.6744186046511628,0.41985413167771735,-45.1284494181501,-1.0494988236779093,4,32,7,4,0.4418604651162791,0.23469671106097942,-66.58979029828888,6
reference_validation,22,19,3,0.8636363636363636,3.5595419124491943,22.51422643321491,1.023373928782496,1,19,1,2,0.7272727272727273,2.051015513826179,11.488425107446053,2
POOLED_MAJOR,105,80,25,0.7619047619047619,0.9109385555218511,-11.283073828769986,-0.10745784598828557,4,84,8,13,0.6,0.5549903220657119,-63.787538522587354,6
