year,slippage_bps_per_side,trade_n,wins,losses,breakeven,wr,profit_factor,expectancy_usd,net_pnl_usd,avg_win_usd,avg_loss_usd,max_loss_streak
2022,0,8,5,3,0,0.625,4.202821630240797,0.28752876697061874,2.30023013576495,0.6036837567128477,-0.23939621593309612,2
2023,0,11,3,8,0,0.2727272727272727,0.3590340333124097,-0.3245624312235585,-3.5701867434591437,0.666607699837204,-0.6962512303713444,6
2024,0,9,4,5,0,0.4444444444444444,1.66514605912085,0.06988747683429641,0.6289872915086677,0.3936562862136953,-0.1891275706692227,2
