pair,f1,f2,partition,b1,b2,n,long_rate,short_rate,D,none_rate,ambiguous_rate,median_fwd_ret_4h,median_max_up_4h,median_max_down_4h
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,development,HIGH,HIGH,9365,0.4833956219967966,0.40790176187933797,0.07549386011745862,0.10784837159636947,0.0008542445274959958,0.0,0.012481066343532188,-0.010725853554930276
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,development,HIGH,LOW,6976,0.4349197247706422,0.4258887614678899,0.009030963302752326,0.13847477064220184,0.0007167431192660551,0.001185462300095752,0.010669263129165496,-0.010577917636789724
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,development,HIGH,MID,7025,0.43843416370106764,0.4129537366548043,0.025480427046263354,0.14818505338078292,0.00042704626334519574,0.00016578936461231208,0.010608927975064075,-0.01024287222808884
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,development,LOW,HIGH,7086,0.42224103866779567,0.44750211685012703,-0.025261078182331365,0.12955122777307368,0.0007056167090036692,-0.00028291627260690344,0.010741037417866695,-0.011066457356493808
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,development,LOW,LOW,8405,0.3848899464604402,0.4956573468173706,-0.11076740035693039,0.11719214753123142,0.002260559190957763,0.0012362320763812384,0.010408388435809712,-0.012302512302512336
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,development,LOW,MID,7875,0.3878095238095238,0.45206349206349206,-0.06425396825396823,0.16,0.00012698412698412698,-0.00011076650420904777,0.009782739166966703,-0.01077638097461675
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,development,MID,HIGH,6925,0.4228158844765343,0.3755956678700361,0.04722021660649817,0.20129963898916967,0.0002888086642599278,-0.0001911513317786051,0.009412850227574765,-0.008777479044757341
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,development,MID,LOW,7964,0.36903566047212455,0.42780010045203415,-0.0587644399799096,0.20303867403314918,0.00012556504269211453,0.0006578975495223904,0.008463515397355126,-0.009510718163549203
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,development,MID,MID,8477,0.36133065943140263,0.38327238409814796,-0.02194172466674532,0.25539695647044947,0.0,-0.00021866287651006733,0.007960199004975133,-0.008522874911220057
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,validation_2025,HIGH,HIGH,3966,0.4848714069591528,0.3656076651538074,0.11926374180534544,0.14775592536560767,0.0017650025214321734,0.00017251186450095712,0.011133838943580332,-0.009119602472947796
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,validation_2025,HIGH,LOW,3739,0.4664348756351966,0.3827226531158064,0.0837122225193902,0.15057502005883927,0.0002674511901577962,0.0019971076372149454,0.010822629133643069,-0.009097744360902271
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,validation_2025,HIGH,MID,2744,0.510932944606414,0.3323615160349854,0.1785714285714286,0.15597667638483964,0.0007288629737609329,0.0021871699901910846,0.011854629096619607,-0.008141509317721618
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,validation_2025,LOW,HIGH,3469,0.3343903142115884,0.4969731911213606,-0.16258287690977224,0.16805995964254827,0.0005765350245027386,-0.00218800648298223,0.0077109247481286225,-0.011271194746643176
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,validation_2025,LOW,LOW,4527,0.3364258891097857,0.5244091009498564,-0.18798321184007066,0.13761873205213165,0.0015462778882261983,0.00014536996656477896,0.008686737887126261,-0.012379485424154235
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,validation_2025,LOW,MID,3355,0.35767511177347244,0.47421758569299555,-0.1165424739195231,0.1678092399403875,0.00029806259314456036,-0.0007467144563918504,0.008606868618681984,-0.010757385463878166
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,validation_2025,MID,HIGH,4400,0.395,0.37113636363636365,0.023863636363636365,0.23204545454545455,0.0018181818181818182,-0.00023836579214425724,0.008679689281426817,-0.00835535300283019
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,validation_2025,MID,LOW,4903,0.35631246175810727,0.392004894962268,-0.03569243320416071,0.25147868651845806,0.00020395676116663266,0.0005540445250327153,0.008255563531945231,-0.00845029381768736
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,validation_2025,MID,MID,3925,0.3594904458598726,0.35745222929936304,0.002038216560509565,0.28254777070063697,0.0005095541401273885,-7.133176403451014e-05,0.007580426476026192,-0.007954475922413384
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,validation_2026,HIGH,HIGH,2276,0.4345342706502636,0.29393673110720564,0.14059753954305798,0.27152899824253074,0.0,0.0004905932866430263,0.009050327190939567,-0.00685012410641761
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,validation_2026,HIGH,LOW,2098,0.3665395614871306,0.323164918970448,0.043374642516682604,0.30934223069590083,0.0009532888465204957,0.0007073760717551947,0.007971558938014378,-0.007029906331419589
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,validation_2026,HIGH,MID,1573,0.42085187539732993,0.29434202161474887,0.12650985378258106,0.2848061029879212,0.0,0.0011679762157570384,0.009085977759696329,-0.006633906633906728
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,validation_2026,LOW,HIGH,2179,0.2840752638825149,0.3841211564938045,-0.1000458926112896,0.33180357962368057,0.0,-0.0006551362683437922,0.006447156343541316,-0.00842620277249262
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,validation_2026,LOW,LOW,2602,0.25518831667947733,0.4404304381245196,-0.18524212144504226,0.30207532667179093,0.0023059185242121443,-0.0008299740201178074,0.006188046562975114,-0.009518751968726091
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,validation_2026,LOW,MID,2109,0.27833096254148887,0.40208629682313896,-0.12375533428165009,0.31958274063537223,0.0,-0.0008151066431191234,0.006511237135055747,-0.008533267375711029
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,validation_2026,MID,HIGH,3963,0.27731516527882916,0.25510976532929597,0.02220539994953319,0.4675750693918748,0.0,-0.00024096385542160537,0.00586868810368002,-0.005979073243647215
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,validation_2026,MID,LOW,4831,0.23494100600289794,0.3098737321465535,-0.07493272614365556,0.45435727592630926,0.0008279859242392879,-7.873395795610083e-05,0.005318363126015635,-0.006453278265358797
oi_chg_15m__X__loc_24h,oi_chg_15m,loc_24h,validation_2026,MID,MID,3986,0.27621675865529355,0.24611138986452585,0.030105368790767695,0.47767185148018065,0.0,0.00021571456956992474,0.006028810764173387,-0.005597416824227874
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,development,HIGH,HIGH,8675,0.4529106628242075,0.38985590778097984,0.06305475504322766,0.15654178674351585,0.00069164265129683,-0.00012974749695449095,0.010891818851854973,-0.009676023247186749
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,development,HIGH,LOW,7784,0.47571942446043164,0.44694244604316546,0.028776978417266175,0.0763103802672148,0.0010277492291880781,0.0012760247533867286,0.012830265020429277,-0.012574653036530103
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,development,HIGH,MID,6907,0.43564499782829014,0.4098740408281454,0.025770957000144756,0.15419140002895612,0.0002895613146083683,0.0003954132068011429,0.010184226066584756,-0.009891043968781377
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,development,LOW,HIGH,6362,0.37723986167871737,0.41763596353348004,-0.04039610185476267,0.20496699151210312,0.00015718327569946557,-0.0008400828264664706,0.008474514501234043,-0.00968307266900248
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,development,LOW,LOW,9048,0.4240716180371353,0.5092838196286472,-0.08521220159151194,0.0643236074270557,0.0023209549071618036,0.0015576439304454404,0.012853979447102981,-0.013970314114248428
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,development,LOW,MID,7956,0.38260432378079434,0.4565108094519859,-0.07390648567119157,0.16050779286073405,0.0003770739064856712,-4.760581390428342e-05,0.00919610625542111,-0.010618368362182329
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,development,MID,HIGH,8337,0.3703970253088641,0.3402902722801967,0.030106753028667388,0.2891927551877174,0.00011994722322178242,-0.0002715030408340091,0.007653673667329386,-0.007712449416805489
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,development,MID,LOW,6509,0.4258718697188508,0.4549085881087725,-0.029036718389921667,0.11906590874174221,0.00015363343063450608,0.0007793297763922791,0.01062005277044853,-0.011075417974738988
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,development,MID,MID,8520,0.36032863849765256,0.40598591549295776,-0.045657276995305196,0.2335680751173709,0.00011737089201877934,-1.99313549625324e-05,0.007954785798336417,-0.008969940453020353
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,validation_2025,HIGH,HIGH,4140,0.4707729468599034,0.35144927536231885,0.11932367149758455,0.17608695652173914,0.0016908212560386474,0.000492692776225101,0.010565675388906626,-0.008290099366085768
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,validation_2025,HIGH,LOW,3578,0.5075461151481274,0.388205701509223,0.11934041363890441,0.1034097261039687,0.0008384572386808273,0.002235965580416055,0.01233174500798051,-0.010267874959150602
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,validation_2025,HIGH,MID,2731,0.4774807762724277,0.34749176125961184,0.12998901501281585,0.17502746246796044,0.0,0.0016749015995309868,0.010641867599827437,-0.00813492908556579
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,validation_2025,LOW,HIGH,3690,0.32330623306233064,0.4682926829268293,-0.14498644986449866,0.208130081300813,0.00027100271002710027,-0.0016282377011780924,0.007146443298473915,-0.01015181679812488
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,validation_2025,LOW,LOW,4318,0.35780453913849003,0.548170449282075,-0.190365910143585,0.09240389069013433,0.001621120889300602,0.00012959612478513627,0.009995811913132702,-0.013920155931275713
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,validation_2025,LOW,MID,3343,0.34250673048160335,0.4768172300329046,-0.13431049955130125,0.18007777445408316,0.0005982650314089142,-0.0009948928831996495,0.007844235887379147,-0.010601045714011659
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,validation_2025,MID,HIGH,5380,0.35855018587360593,0.34275092936802976,0.015799256505576176,0.2972118959107807,0.001486988847583643,-8.615526731547973e-05,0.00761081891046278,-0.007586189681290989
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,validation_2025,MID,LOW,3781,0.39010843692144936,0.4274001586881777,-0.03729172176672835,0.18196244379793705,0.0005289605924358636,0.0003603603603603567,0.009297416825811755,-0.009806090098060771
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,validation_2025,MID,MID,4067,0.3668551758052619,0.3683304647160069,-0.0014752889107449985,0.26456847799360705,0.00024588148512417015,0.0002445984508765431,0.00797772258598628,-0.007806080525883274
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,validation_2026,HIGH,HIGH,2807,0.41289633060206626,0.273957962237264,0.13893836836480228,0.31314570716066975,0.0,0.0007620499142693138,0.008629782337712166,-0.006367173682348848
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,validation_2026,HIGH,LOW,1500,0.43666666666666665,0.342,0.09466666666666662,0.22133333333333333,0.0,0.0009728903479505613,0.009780721696248107,-0.008481553431725297
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,validation_2026,HIGH,MID,1640,0.3695121951219512,0.32195121951219513,0.047560975609756084,0.3073170731707317,0.0012195121951219512,0.0006537030960119816,0.007806764385711817,-0.006770349272182841
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,validation_2026,LOW,HIGH,2953,0.26515408059600404,0.351506942092787,-0.08635286149678295,0.3833389773112089,0.0,-0.0004009087264466027,0.00595382746051043,-0.0076254021208149725
