clock_block,wib,candidate,target_name,source_n,trades_n,fill_rate,wr,pf,expectancy,total_net,avg_win,avg_loss,max_dd,max_loss_streak,median_hold_min,tp_n,pre_t5_sl_n,high_sl_n,l_lock_n,t5_lock_n,t10_lock_n,time_n,target_reach_n,extension_used_n,median_nominal_rr,qualifies,selected,reused_confirmed,is_selected
00-04,07-11,BASE_H,T5,47,42,0.8936170212765957,0.6428571428571429,0.4946327241185578,-0.569393895375853,-23.91454360578583,0.8669100975567419,-3.1547410826545237,34.331391885809474,3,32.5,30,0,7,0,0,0,5,30,12,,False,BASE_H,False,True
00-04,07-11,R50,T5,47,42,0.8936170212765957,0.38095238095238093,0.4718656120893595,-0.37421837490769577,-15.717171746123222,0.8776640278573453,-1.1446075458400289,22.60569731721551,6,10.0,17,25,0,0,0,0,0,17,1,2.0,False,BASE_H,False,False
00-04,07-11,R75,T5,47,42,0.8936170212765957,0.38095238095238093,0.43975183672492535,-0.4259628952302389,-17.890441599670034,0.8776640278573453,-1.2281948478995213,24.77896717076232,6,10.0,17,25,0,0,0,0,0,17,1,1.3333333333333333,False,BASE_H,False,False
00-04,07-11,R100,T5,47,42,0.8936170212765957,0.42857142857142855,0.5561843967544152,-0.340592774224454,-14.304896517427068,0.9959291629222192,-1.342984227084459,21.193422088519355,6,10.0,19,23,0,0,0,0,0,19,2,1.0,False,BASE_H,False,False
04-08,11-15,BASE_H,T15,43,38,0.8837209302325582,0.6578947368421053,0.6962778617421392,-0.21307548402907162,-8.096868393104721,0.742477350369774,-2.050677088642236,14.417095623249413,3,60.0,10,0,1,4,4,14,5,10,14,,False,BASE_H,False,True
04-08,11-15,R50,T15,43,38,0.8837209302325582,0.39473684210526316,0.4156611183243382,-0.4364972807127121,-16.58689666708306,0.786590137375889,-1.2341629881617997,17.337670209464402,6,20.0,5,21,0,1,3,8,0,5,2,2.0,False,BASE_H,False,False
04-08,11-15,R75,T15,43,38,0.8837209302325582,0.47368421052631576,0.39307000660936603,-0.49946352851126885,-18.979614083428217,0.6828828067723304,-1.5635752302665078,19.730387625809556,5,30.0,6,17,0,1,3,11,0,6,4,1.3333333333333333,False,BASE_H,False,False
04-08,11-15,R100,T15,43,38,0.8837209302325582,0.5,0.36390000337531275,-0.5996932358208058,-22.788342961190622,0.6861448567750991,-1.885531328416711,23.539116503571965,4,35.0,6,15,0,1,3,13,0,6,5,1.0,False,BASE_H,False,False
08-12,15-19,BASE_H,T15,58,50,0.8620689655172413,0.62,0.47062857317107604,-0.5640668993112592,-28.20334496556296,0.8088290112297263,-2.8040549638781305,37.15690018942047,3,27.5,26,0,8,2,6,6,2,26,15,,False,BASE_H,False,True
08-12,15-19,R50,T15,58,50,0.8620689655172413,0.34,0.34547593416241723,-0.4965288888055224,-24.82644444027612,0.7708285376489542,-1.1494099872820709,27.084082878796607,8,15.0,16,26,1,2,3,2,0,16,0,2.0,False,BASE_H,False,False
08-12,15-19,R75,T15,58,50,0.8620689655172413,0.4,0.36761455980516916,-0.5225598437015606,-26.12799218507803,0.7594284857942932,-1.37721873003213,28.385630623598516,8,15.0,17,21,1,2,4,5,0,17,0,1.3333333333333333,False,BASE_H,False,False
08-12,15-19,R100,T15,58,50,0.8620689655172413,0.46,0.41242994865128163,-0.48756159107098207,-24.378079553549103,0.7439816029194359,-1.5366539415072642,28.165783869596684,7,20.0,20,18,1,2,4,5,0,20,1,1.0,False,BASE_H,False,False
12-16,19-23,BASE_H,T10,82,76,0.926829268292683,0.6447368421052632,0.45068407149192047,-0.8797523306481644,-66.8611771292605,1.1195099424990824,-4.508043122656131,74.11905603695561,4,32.5,49,0,18,5,3,0,1,49,11,,False,BASE_H,False,True
12-16,19-23,R50,T10,82,76,0.926829268292683,0.3026315789473684,0.3363751753716067,-0.6877644244083817,-52.27009625503701,1.1519318264047071,-1.4861231747612313,52.27009625503698,7,10.0,23,48,1,3,1,0,0,23,1,2.0,False,BASE_H,False,False
12-16,19-23,R75,T10,82,76,0.926829268292683,0.3684210526315789,0.35216604259246215,-0.758994205199823,-57.683559595186544,1.119896247719278,-1.8550136360692988,57.683559595186544,5,12.5,28,42,2,3,1,0,0,28,1,1.3333333333333333,False,BASE_H,False,False
12-16,19-23,R100,T10,82,76,0.926829268292683,0.40789473684210525,0.4102672755840443,-0.7025846906303985,-53.396436487910286,1.1982908154180059,-2.0120767059081883,54.44172881378689,5,15.0,31,38,2,3,2,0,0,31,2,1.0,False,BASE_H,False,False
16-20,23-03,BASE_H,T10,60,54,0.9,0.7222222222222222,0.7856165776649717,-0.19793327084369106,-10.688396625559317,1.0043090906744443,-3.3237634107908423,24.80355366206298,2,52.5,29,0,2,10,6,0,7,29,17,,False,BASE_H,False,True
