i,entry_t,parent_reason,parent_pnl,parent_win,sat_day_ret,sun_pre16_ret,state,arm4,confirm6,action6,allrule_action6,p4_progress,p4_ema_spread,p6_progress,p6_ema_spread,cut6_px,cut6_pnl,adaptive_pnl
0,2023-12-03 09:00:00+00:00,SL,-7.699536725601946,False,-0.0016009280742459442,0.01718657608597418,WATCH,False,False,False,False,5.076979704754514e-06,-0.0006878197342568004,-0.00338888395293635,0.00013027709938118193,,,-7.699536725601946
1,2023-12-10 09:00:00+00:00,TP,11.943680114806734,True,0.00477845748199246,-0.0057273092542692305,WATCH,True,True,True,True,-0.002566227622563755,0.0009654689120672799,-0.001415534809599217,0.0002768137807562798,43861.8,-1.458908965129984,-1.458908965129984
2,2023-12-17 09:00:00+00:00,TP,11.865836000367446,True,0.01908246350299514,-0.016373939671254112,WATCH,True,False,False,False,-0.0013216090232022193,7.582381040860398e-05,0.006491151899156944,-0.0020432474147044077,,,11.865836000367446
3,2023-12-24 09:00:00+00:00,TP,11.848751643487457,True,0.005295144664361873,-0.003608114492022585,WATCH,True,True,True,True,-0.00040540633395846903,0.00032977979546378045,-0.0023362398906090487,0.00015199854683212166,43762.0,-1.919265160937183,-1.919265160937183
4,2023-12-31 09:00:00+00:00,TIMEOUT,-1.6366953095032644,False,0.010408805106314034,0.0017648403278973657,WATCH,False,False,False,False,0.0011266638284460617,-0.0011265749652091817,-0.001178410392591811,0.0003230606838604544,,,-1.6366953095032644
5,2024-01-07 09:00:00+00:00,TIMEOUT,6.7436570097704935,True,0.014914115425906038,0.003294168068682879,WATCH,True,True,True,True,-0.0016109975005680344,0.0006049620440609083,-0.008975232901613284,0.0008950171075909896,44405.0,-5.237616450806642,-5.237616450806642
6,2024-01-14 09:00:00+00:00,TP,11.75000000000001,True,-0.01745485694392268,0.0023287201829409465,WATCH,False,False,False,False,0.005553604610328944,-0.0006771657799401476,0.004097760185678201,9.20473387533427e-05,,,11.75000000000001
7,2024-01-21 09:00:00+00:00,TIMEOUT,3.503422796562018,True,0.028662215468984398,0.002321564325375114,WATCH,False,False,False,False,-0.0017521415730390455,-3.046063274614319e-05,-0.0027554226381489855,-3.866071487557132e-05,,,3.503422796562018
8,2024-01-28 09:00:00+00:00,TIMEOUT,2.345059823143878,True,-0.003697761078382711,0.01641333167421255,WATCH,False,False,False,False,0.0016974611067163137,-0.0006649320344013221,0.004800448261573664,-0.0004369970881642482,,,2.345059823143878
9,2024-02-04 09:00:00+00:00,TIMEOUT,3.3890422518091947,True,-0.0027573593248984007,-0.0067975409988300095,RUNNER,True,False,False,False,-0.004504272864970016,3.6704853156876993e-06,-0.001722703218206112,-0.0009185419019137608,,,3.3890422518091947
10,2024-02-11 09:00:00+00:00,SL,-7.649805624526015,False,-0.00031743075777068697,0.018821153528622236,WATCH,True,True,True,True,-0.003095878741286251,8.939792347839592e-05,-0.002044526631829413,0.00028532744604459204,48226.9,-1.7722633159147065,-1.7722633159147065
11,2024-02-18 09:00:00+00:00,TIMEOUT,-4.115703573975951,False,-0.02084841826670991,0.016427753193358985,WATCH,False,False,False,False,0.004353682682918358,-0.0013685441606100524,-0.0019510519469994048,0.0016097764714508855,,,-4.115703573975951
