check,actual,expected,pass
external_n,27.0,27.0,True
external_wr,0.7407407407407407,0.7407407407407407,True
external_pf,2.2216619995796045,2.2216619995796045,True
external_net,31.351454448932472,31.351454448932472,True
development_n,19.0,19.0,True
development_wr,0.7894736842105263,0.7894736842105263,True
development_pf,3.9934463719694655,3.9934463719694655,True
development_net,39.460641559222736,39.460641559222736,True
reference_validation_n,10.0,10.0,True
reference_validation_wr,0.8,0.8,True
reference_validation_pf,2.6998163449196113,2.6998163449196113,True
reference_validation_net,6.914226322564891,6.914226322564891,True
august_n,1.0,1.0,True
august_wr,1.0,1.0,True
august_pf,inf,inf,True
august_net,1.2403565717180713,1.2403565717180713,True
