episode_id,partition,origin_state,exit_state,outcome,resume,first_sideways_ts,source_bar_start,feature_available_ts,structure_high_ok,structure_low_ok,ema_order_ok,close_side_ok,directional_evidence_score,failed_clause_mask,aligned_structure_strength,opposite_structure_strength,hh,hl,lh,ll,ema7,ema20,atr14,dir_ema_spread_atr,dir_close_ema20_atr,dir_ema7_slope_atr,dir_ema20_slope_atr,dir_body_atr,bar_range_atr,prior_directional_age
3,external,BULL,BULL,RESUME,True,2020-01-09 12:00:00+00:00,2020-01-09 08:00:00+00:00,2020-01-09 12:00:00+00:00,True,True,True,False,3,---C,3,0,5,3,0,0,8003.761279415945,7915.356115513214,166.0476292984439,0.5324084678368824,-0.2037133300615636,-0.24537393263281354,-0.021443508427532725,-0.4363808161919906,0.6509578032320218,8
5,external,BULL,BULL,RESUME,True,2020-01-10 00:00:00+00:00,2020-01-09 20:00:00+00:00,2020-01-10 00:00:00+00:00,True,True,True,False,3,---C,3,0,5,3,0,0,7928.743508503602,7906.190786773041,168.24456325389255,0.1340472541542281,-0.5206752900588227,-0.21824084807101515,-0.05480792526935147,-0.6122634693672157,1.5264683448489256,1
7,external,BULL,BEAR,TRANSITION,False,2020-01-19 12:00:00+00:00,2020-01-19 08:00:00+00:00,2020-01-19 12:00:00+00:00,True,True,True,False,3,---C,6,0,8,6,1,0,8924.5571012935,8852.761773513505,178.6801408640074,0.4018092186005063,-0.8278579410013278,-0.409889053200608,-0.08714294115803504,-2.1658814355566456,3.5258534997433766,53
9,external,BEAR,BULL,TRANSITION,False,2020-01-26 12:00:00+00:00,2020-01-26 08:00:00+00:00,2020-01-26 12:00:00+00:00,True,True,True,False,3,---C,2,4,6,4,4,2,8396.602212632308,8429.357549032678,104.41368799639922,0.31370730245157363,-0.5020649301184539,-0.27192407752333086,-0.05284894001247066,-0.9135775378731075,0.9731482715513763,10
11,external,BULL,BULL,RESUME,True,2020-02-02 04:00:00+00:00,2020-02-02 00:00:00+00:00,2020-02-02 04:00:00+00:00,True,True,True,False,3,---C,7,0,8,7,5,0,9354.126483431592,9328.391802680599,126.08613453235638,0.20410397103885303,-0.42845157305329784,-0.21085184803071214,-0.04510016558456678,-0.9407854435378742,1.1210590325752825,38
13,external,BULL,BULL,RESUME,True,2020-02-03 00:00:00+00:00,2020-02-02 20:00:00+00:00,2020-02-03 00:00:00+00:00,True,True,True,False,3,---C,6,1,8,6,5,1,9394.049497533084,9361.214123295587,126.53324118842251,0.2594999853722307,-0.18188203415508772,-0.1471273398424299,-0.01914547727947838,-0.8835622872689735,1.114331686090573,4
15,external,BULL,BULL,RESUME,True,2020-02-03 12:00:00+00:00,2020-02-03 08:00:00+00:00,2020-02-03 12:00:00+00:00,True,True,True,False,3,---C,7,0,9,7,5,0,9381.05119427177,9364.51744430239,135.93930790487042,0.12162596841341777,-0.057359746953008175,-0.05966190512214198,-0.006037868100314537,-0.11975932679746545,0.7576910724900765,2
17,external,BULL,BULL,RESUME,True,2020-02-10 12:00:00+00:00,2020-02-10 08:00:00+00:00,2020-02-10 12:00:00+00:00,True,True,True,False,3,---C,7,0,12,7,5,0,10000.267775962766,9923.792182716808,142.7233304226968,0.5358310587306464,-0.6756581592596618,-0.40382973933011124,-0.07112191150102373,-1.1093491129381694,1.5813111937031272,29
19,external,BULL,BULL,RESUME,True,2020-02-13 12:00:00+00:00,2020-02-13 08:00:00+00:00,2020-02-13 12:00:00+00:00,True,True,True,False,3,---C,7,0,13,7,5,0,10284.241178614204,10175.845141333484,156.409280215443,0.6930281702684875,-0.06914641713449765,-0.2540581958009912,-0.007278570224675394,-1.1675138441176,1.7837816248223681,11
21,external,BULL,BULL,RESUME,True,2020-02-14 08:00:00+00:00,2020-02-14 04:00:00+00:00,2020-02-14 08:00:00+00:00,True,True,True,False,3,---C,8,0,14,8,5,0,10233.938814846926,10196.733825370795,162.69294337744785,0.22868225691765626,-0.37373363655809966,-0.20080529782524825,-0.03934038279559944,-0.8055051268939373,1.0733716925561876,4
