clock_min,reference_start_utc,execution_start_utc,execution_end_utc,partition,days,k1_opp0,clean_windows,f15_touches,h2_after_f15_touch_rate,same_bar_confirmations,trades,wins,wr,pf,expectancy,total_net,tp_rate,time_exit_rate
0,00:00,05:30,12:00,external,523,119,85,56,0.7857142857142857,22,22,14,0.6363636363636364,1.812535807012132,1.0650493752199546,23.431086254839002,0.6363636363636364,0.09090909090909091
0,00:00,05:30,12:00,development,782,171,124,78,0.7692307692307693,32,32,20,0.625,1.172523407204389,0.169437190104818,5.421990083354176,0.59375,0.28125
0,00:00,05:30,12:00,reference_validation,411,83,43,25,0.68,11,11,9,0.8181818181818182,3.175668734803085,0.9461028812009512,10.407131693210463,0.5454545454545454,0.45454545454545453
0,00:00,05:30,12:00,august,14,1,1,1,0.0,0,0,0,,,,0.0,,
30,00:30,06:00,12:30,external,523,131,101,68,0.8088235294117647,25,25,17,0.68,1.4950895394110135,0.7783162380131262,19.457905950328154,0.68,0.12
30,00:30,06:00,12:30,development,782,170,123,77,0.7272727272727273,33,33,20,0.6060606060606061,0.7090558875295934,-0.4095445926306914,-13.514971556812815,0.6060606060606061,0.24242424242424243
30,00:30,06:00,12:30,reference_validation,411,75,44,24,0.7916666666666666,9,9,7,0.7777777777777778,1.8377321454508442,0.4934199086420692,4.440779177778623,0.6666666666666666,0.3333333333333333
30,00:30,06:00,12:30,august,14,1,1,1,0.0,0,0,0,,,,0.0,,
60,01:00,06:30,13:00,external,523,137,96,67,0.7761194029850746,22,22,12,0.5454545454545454,1.439040775260002,0.8187386727238458,18.012250799924608,0.5454545454545454,0.18181818181818182
60,01:00,06:30,13:00,development,782,169,122,80,0.75,32,32,18,0.5625,0.8040219482644146,-0.2381964626726712,-7.622286805525478,0.53125,0.25
60,01:00,06:30,13:00,reference_validation,411,78,56,36,0.75,16,16,11,0.6875,1.7110259892693518,0.5180150616184963,8.288240985895941,0.5625,0.3125
60,01:00,06:30,13:00,august,14,4,2,2,0.0,0,0,0,,,,0.0,,
90,01:30,07:00,13:30,external,523,128,83,67,0.8208955223880597,24,24,17,0.7083333333333334,0.6207869803587749,-1.1480039802696662,-27.552095526471987,0.7083333333333334,0.125
90,01:30,07:00,13:30,development,782,167,123,82,0.7926829268292683,29,29,19,0.6551724137931034,0.7911405797271532,-0.31738825593426506,-9.204259422093687,0.6551724137931034,0.13793103448275862
90,01:30,07:00,13:30,reference_validation,411,72,50,34,0.7352941176470589,13,13,8,0.6153846153846154,0.5736630114800437,-0.7887869281393131,-10.25423006581107,0.46153846153846156,0.46153846153846156
90,01:30,07:00,13:30,august,14,4,3,2,0.5,0,0,0,,,,0.0,,
120,02:00,07:30,14:00,external,523,121,84,63,0.873015873015873,15,15,9,0.6,0.49616315867835414,-1.7168833367537344,-25.753250051306015,0.4666666666666667,0.2
120,02:00,07:30,14:00,development,782,178,133,86,0.7441860465116279,26,26,18,0.6923076923076923,1.4020345607965536,0.378954146576984,9.852807811001584,0.6923076923076923,0.15384615384615385
120,02:00,07:30,14:00,reference_validation,411,76,52,32,0.71875,13,12,7,0.5833333333333334,1.3777036624958074,0.23281189573361863,2.7937427488034237,0.5833333333333334,0.3333333333333333
120,02:00,07:30,14:00,august,14,4,2,1,0.0,0,0,0,,,,0.0,,
150,02:30,08:00,14:30,external,523,130,93,65,0.8153846153846154,18,18,12,0.6666666666666666,0.9164359475922824,-0.17528669906114588,-3.155160583100626,0.6666666666666666,0.1111111111111111
150,02:30,08:00,14:30,development,782,184,140,99,0.7777777777777778,36,35,25,0.7142857142857143,1.1328756800625879,0.15260454583002664,5.3411591040509325,0.6857142857142857,0.11428571428571428
150,02:30,08:00,14:30,reference_validation,411,84,57,35,0.7428571428571429,14,14,9,0.6428571428571429,1.3002581110187015,0.2544871900926651,3.5628206612973115,0.6428571428571429,0.21428571428571427
150,02:30,08:00,14:30,august,14,5,2,1,0.0,0,0,0,,,,0.0,,
180,03:00,08:30,15:00,external,523,117,74,49,0.8775510204081632,19,19,14,0.7368421052631579,1.3334310651630576,0.7110429193153728,13.509815466992084,0.6842105263157895,0.10526315789473684
180,03:00,08:30,15:00,development,782,179,128,88,0.7840909090909091,37,37,31,0.8378378378378378,1.6704717258360096,0.48442182456879324,17.92360750904535,0.8108108108108109,0.05405405405405406
