partition,snapshot_min,outcome,kind,feature,n,value
development,5,RECOVER_E40,STATE,ALIVE_ABOVE_H10,31,0.5161290322580645
development,5,RECOVER_E40,STATE,ALIVE_H10,31,0.1935483870967742
development,5,RECOVER_E40,STATE,ALIVE_H05,31,0.16129032258064516
development,5,RECOVER_E40,STATE,TARGET_BY_T,31,0.12903225806451613
development,5,RECOVER_E40,MEDIAN,latest_close_R,31,0.13138686131386865
development,5,RECOVER_E40,MEDIAN,running_high_extension_R,31,0.19047619047619369
development,5,RECOVER_E40,MEDIAN,running_low_depth_R,31,0.005281225244259361
development,5,RECOVER_E40,MEDIAN,closes_H05,31,0.0
development,5,RECOVER_E40,MEDIAN,closes_H10,31,0.0
development,5,RECOVER_E40,MEDIAN,closes_above_H10,31,1.0
development,5,FAILED_BREAK,STATE,TERMINAL_FAIL_BY_T,184,0.5380434782608695
development,5,FAILED_BREAK,STATE,ALIVE_H05,184,0.1793478260869565
development,5,FAILED_BREAK,STATE,ALIVE_H10,184,0.16304347826086957
development,5,FAILED_BREAK,STATE,ALIVE_ABOVE_H10,184,0.11956521739130435
development,5,FAILED_BREAK,MEDIAN,latest_close_R,184,-0.008055280659979255
development,5,FAILED_BREAK,MEDIAN,running_high_extension_R,184,0.07507849260308519
development,5,FAILED_BREAK,MEDIAN,running_low_depth_R,184,0.05451832441678521
development,5,FAILED_BREAK,MEDIAN,closes_H05,184,0.0
development,5,FAILED_BREAK,MEDIAN,closes_H10,184,0.0
development,5,FAILED_BREAK,MEDIAN,closes_above_H10,184,0.0
development,10,RECOVER_E40,STATE,ALIVE_ABOVE_H10,31,0.3548387096774194
development,10,RECOVER_E40,STATE,TARGET_BY_T,31,0.3225806451612903
development,10,RECOVER_E40,STATE,ALIVE_H10,31,0.2903225806451613
development,10,RECOVER_E40,STATE,ALIVE_H05,31,0.03225806451612903
development,10,RECOVER_E40,MEDIAN,latest_close_R,31,0.21192052980132497
development,10,RECOVER_E40,MEDIAN,running_high_extension_R,31,0.31736126587920843
development,10,RECOVER_E40,MEDIAN,running_low_depth_R,31,0.005641748942170948
development,10,RECOVER_E40,MEDIAN,closes_H05,31,0.0
development,10,RECOVER_E40,MEDIAN,closes_H10,31,0.0
development,10,RECOVER_E40,MEDIAN,closes_above_H10,31,1.0
development,10,FAILED_BREAK,STATE,TERMINAL_FAIL_BY_T,184,0.7228260869565217
development,10,FAILED_BREAK,STATE,ALIVE_ABOVE_H10,184,0.10869565217391304
development,10,FAILED_BREAK,STATE,ALIVE_H05,184,0.10326086956521739
development,10,FAILED_BREAK,STATE,ALIVE_H10,184,0.06521739130434782
development,10,FAILED_BREAK,MEDIAN,latest_close_R,184,-0.030477117818889773
development,10,FAILED_BREAK,MEDIAN,running_high_extension_R,184,0.07967116590889592
development,10,FAILED_BREAK,MEDIAN,running_low_depth_R,184,0.06408251817867049
development,10,FAILED_BREAK,MEDIAN,closes_H05,184,0.0
development,10,FAILED_BREAK,MEDIAN,closes_H10,184,0.0
development,10,FAILED_BREAK,MEDIAN,closes_above_H10,184,0.0
development,15,RECOVER_E40,STATE,TARGET_BY_T,31,0.4838709677419355
development,15,RECOVER_E40,STATE,ALIVE_ABOVE_H10,31,0.45161290322580644
development,15,RECOVER_E40,STATE,ALIVE_H10,31,0.03225806451612903
development,15,RECOVER_E40,STATE,ALIVE_H05,31,0.03225806451612903
development,15,RECOVER_E40,MEDIAN,latest_close_R,31,0.28909952606635725
development,15,RECOVER_E40,MEDIAN,running_high_extension_R,31,0.3701030927835074
development,15,RECOVER_E40,MEDIAN,running_low_depth_R,31,0.013245033112580164
development,15,RECOVER_E40,MEDIAN,closes_H05,31,0.0
development,15,RECOVER_E40,MEDIAN,closes_H10,31,0.0
development,15,RECOVER_E40,MEDIAN,closes_above_H10,31,2.0
development,15,FAILED_BREAK,STATE,TERMINAL_FAIL_BY_T,184,0.8043478260869565
development,15,FAILED_BREAK,STATE,ALIVE_ABOVE_H10,184,0.08695652173913043
development,15,FAILED_BREAK,STATE,ALIVE_H10,184,0.059782608695652176
development,15,FAILED_BREAK,STATE,ALIVE_H05,184,0.04891304347826087
development,15,FAILED_BREAK,MEDIAN,latest_close_R,184,-0.034702151573538204
development,15,FAILED_BREAK,MEDIAN,running_high_extension_R,184,0.07967116590889592
development,15,FAILED_BREAK,MEDIAN,running_low_depth_R,184,0.07185265494720985
development,15,FAILED_BREAK,MEDIAN,closes_H05,184,0.0
development,15,FAILED_BREAK,MEDIAN,closes_H10,184,0.0
development,15,FAILED_BREAK,MEDIAN,closes_above_H10,184,0.0
development,30,RECOVER_E40,STATE,TARGET_BY_T,31,0.6451612903225806
development,30,RECOVER_E40,STATE,ALIVE_ABOVE_H10,31,0.3548387096774194
development,30,RECOVER_E40,MEDIAN,latest_close_R,31,0.3387573964497048
development,30,RECOVER_E40,MEDIAN,running_high_extension_R,31,0.43824701195219057
development,30,RECOVER_E40,MEDIAN,running_low_depth_R,31,0.014432989690717329
development,30,RECOVER_E40,MEDIAN,closes_H05,31,0.0
development,30,RECOVER_E40,MEDIAN,closes_H10,31,0.0
development,30,RECOVER_E40,MEDIAN,closes_above_H10,31,3.0
development,30,FAILED_BREAK,STATE,TERMINAL_FAIL_BY_T,184,0.907608695652174
development,30,FAILED_BREAK,STATE,ALIVE_ABOVE_H10,184,0.04891304347826087
development,30,FAILED_BREAK,STATE,ALIVE_H10,184,0.021739130434782608
development,30,FAILED_BREAK,STATE,ALIVE_H05,184,0.021739130434782608
