partition,dev_block,ref_min,hour,execution_start,family,target_R,H,L,R,h1_ts,h1_break_ts,entry_ts,entry_price,entry_F,exit_ts,exit_price,exit_reason,return,pnl,return_5bps,pnl_5bps,won,won_5bps,h1_break_confirmed,invalidation_close_ts,role,candidate_scope,loss_class,mfe_R,mae_R,mfe_band,exec_to_entry_min,entry_to_break_min,break_to_fail_min,hold_min
development,0.0,240,18,2022-01-01 18:00:00+00:00,E0_RESTING_H,0.4,175.48,172.0,3.4799999999999898,2022-01-01 18:55:00+00:00,2022-01-01 19:00:00+00:00,2022-01-01 18:55:00+00:00,175.48,1.0,2022-01-01 19:35:00+00:00,176.872,TARGET,0.0079325279234101,3.9662639617050734,0.0074325279234101,3.7162639617050734,True,True,True,,CENTRAL,FROZEN_WINNER,WIN,0.40517241379310365,0.09770114942528862,WIN,55.0,5.0,,40.0
development,0.0,240,18,2022-01-06 18:00:00+00:00,E0_RESTING_H,0.4,152.7,147.25,5.449999999999989,2022-01-06 18:05:00+00:00,2022-01-06 18:05:00+00:00,2022-01-06 18:05:00+00:00,152.7,1.0,2022-01-06 20:20:00+00:00,151.85,FAILED_BREAK,-0.0055664702030123,-2.783235101506188,-0.0060664702030123,-3.033235101506188,False,False,True,2022-01-06 20:15:00+00:00,CENTRAL,FROZEN_WINNER,L5_BREAK_FAIL_LATE,0.2972477064220198,0.20550458715595935,M3_0.20-<0.40R,5.0,0.0,130.0,135.0
development,0.0,240,18,2022-01-07 18:00:00+00:00,E0_RESTING_H,0.4,140.65,132.98,7.670000000000016,2022-01-07 20:00:00+00:00,2022-01-07 20:00:00+00:00,2022-01-07 20:00:00+00:00,140.65,1.0,2022-01-07 20:10:00+00:00,140.41,FAILED_BREAK,-0.0017063633131888,-0.8531816565944261,-0.0022063633131888,-1.103181656594426,False,False,True,2022-01-07 20:05:00+00:00,CENTRAL,FROZEN_WINNER,L2_BREAK_FAST_FAIL_5M,0.041720990873532274,0.17340286831812382,M0_<0.05R,120.0,0.0,5.0,10.0
development,0.0,240,18,2022-01-08 18:00:00+00:00,E0_RESTING_H,0.4,146.15,135.0,11.150000000000006,2022-01-08 22:00:00+00:00,2022-01-08 22:15:00+00:00,2022-01-08 22:00:00+00:00,146.15,1.0,2022-01-08 22:35:00+00:00,145.19,FAILED_BREAK,-0.0065685939103661,-3.284296955183064,-0.0070685939103661,-3.534296955183064,False,False,True,2022-01-08 22:30:00+00:00,CENTRAL,FROZEN_WINNER,L4_BREAK_FAIL_30M,0.06547085201793627,0.1721973094170417,M1_0.05-<0.10R,240.0,15.0,15.0,35.0
development,0.0,240,18,2022-01-09 18:00:00+00:00,E0_RESTING_H,0.4,144.71,137.83,6.879999999999996,2022-01-09 18:00:00+00:00,2022-01-09 18:15:00+00:00,2022-01-09 18:00:00+00:00,144.71,1.0,2022-01-09 18:25:00+00:00,144.69,FAILED_BREAK,-0.0001382074493816,-0.0691037246908221,-0.0006382074493816,-0.3191037246908221,False,False,True,2022-01-09 18:20:00+00:00,CENTRAL,FROZEN_WINNER,L2_BREAK_FAST_FAIL_5M,0.037790697674417305,0.0843023255813972,M0_<0.05R,0.0,15.0,5.0,25.0
development,0.0,240,18,2022-01-10 18:00:00+00:00,E0_RESTING_H,0.4,137.5,129.45,8.050000000000011,2022-01-11 04:00:00+00:00,2022-01-11 04:00:00+00:00,2022-01-11 04:00:00+00:00,137.5,1.0,2022-01-11 04:10:00+00:00,137.06,FAILED_BREAK,-0.0031999999999999,-1.5999999999999903,-0.0036999999999999,-1.8499999999999903,False,False,True,2022-01-11 04:05:00+00:00,CENTRAL,FROZEN_WINNER,L2_BREAK_FAST_FAIL_5M,0.04596273291925516,0.11180124223602539,M0_<0.05R,600.0,0.0,5.0,10.0
development,0.0,240,18,2022-01-11 18:00:00+00:00,E0_RESTING_H,0.4,143.02,135.01,8.01000000000002,2022-01-11 18:35:00+00:00,,2022-01-11 18:35:00+00:00,143.02,1.0,2022-01-12 05:55:00+00:00,140.25,TIME,-0.0193679205705495,-9.683960285274797,-0.0198679205705495,-9.933960285274797,False,False,False,,CENTRAL,FROZEN_WINNER,L1_NEVER_BREAK_TIME,0.0474406991260917,0.49063670411984983,M0_<0.05R,35.0,,,680.0
development,0.0,240,18,2022-01-12 18:00:00+00:00,E0_RESTING_H,0.4,152.13,145.52,6.609999999999985,2022-01-12 19:50:00+00:00,2022-01-12 19:55:00+00:00,2022-01-12 19:50:00+00:00,152.13,1.0,2022-01-12 20:05:00+00:00,152.01,FAILED_BREAK,-0.0007887990534412,-0.3943995267206013,-0.0012887990534412,-0.6443995267206013,False,False,True,2022-01-12 20:00:00+00:00,CENTRAL,FROZEN_WINNER,L2_BREAK_FAST_FAIL_5M,0.16641452344931873,0.19667170953101148,M2_0.10-<0.20R,110.0,5.0,5.0,15.0
development,0.0,240,18,2022-01-14 18:00:00+00:00,E0_RESTING_H,0.4,148.55,142.89,5.660000000000025,2022-01-14 19:35:00+00:00,2022-01-14 19:35:00+00:00,2022-01-14 19:35:00+00:00,148.55,1.0,2022-01-14 20:00:00+00:00,148.23,FAILED_BREAK,-0.0021541568495457,-1.0770784247728926,-0.0026541568495457,-1.3270784247728926,False,False,True,2022-01-14 19:55:00+00:00,CENTRAL,FROZEN_WINNER,L4_BREAK_FAIL_30M,0.2067137809187248,0.11484098939929378,M3_0.20-<0.40R,95.0,0.0,20.0,25.0
development,0.0,240,18,2022-01-15 18:00:00+00:00,E0_RESTING_H,0.4,148.83,145.0,3.830000000000013,2022-01-15 20:10:00+00:00,2022-01-15 20:15:00+00:00,2022-01-15 20:10:00+00:00,148.83,1.0,2022-01-15 20:25:00+00:00,148.7,FAILED_BREAK,-0.0008734798091784,-0.4367399045892006,-0.0013734798091784,-0.6867399045892006,False,False,True,2022-01-15 20:20:00+00:00,CENTRAL,FROZEN_WINNER,L2_BREAK_FAST_FAIL_5M,0.07310704960835514,0.0783289817232403,M1_0.05-<0.10R,130.0,5.0,5.0,15.0
development,0.0,240,18,2022-01-18 18:00:00+00:00,E0_RESTING_H,0.4,137.82,134.24,3.579999999999984,2022-01-18 21:10:00+00:00,2022-01-18 21:10:00+00:00,2022-01-18 21:10:00+00:00,137.82,1.0,2022-01-18 21:15:00+00:00,139.25199999999998,TARGET,0.0103903642432157,5.195182121607855,0.0098903642432157,4.945182121607855,True,True,True,,CENTRAL,FROZEN_WINNER,WIN,0.5810055865921848,0.05586592178770657,WIN,190.0,0.0,,5.0
development,0.0,240,18,2022-01-24 18:00:00+00:00,E0_RESTING_H,0.4,90.14,80.83,9.310000000000002,2022-01-24 18:05:00+00:00,2022-01-24 18:10:00+00:00,2022-01-24 18:05:00+00:00,90.14,1.0,2022-01-24 18:25:00+00:00,89.29,FAILED_BREAK,-0.009429775904149,-4.714887952074531,-0.009929775904149,-4.964887952074531,False,False,True,2022-01-24 18:20:00+00:00,CENTRAL,FROZEN_WINNER,L3_BREAK_FAST_FAIL_10M,0.146079484425349,0.23308270676691742,M2_0.10-<0.20R,5.0,5.0,10.0,20.0
