partition,confirmed_breakouts,E05_hits,E05_rate,E05_samebar_overshoot_rate,E05_median_minutes,E10_hits,E10_rate,E10_samebar_overshoot_rate,E10_median_minutes,E10_given_E05,E15_hits,E15_rate,E15_samebar_overshoot_rate,E15_median_minutes,E15_given_E10,E20_hits,E20_rate,E20_samebar_overshoot_rate,E20_median_minutes,E20_given_E15,E25_hits,E25_rate,E25_samebar_overshoot_rate,E25_median_minutes,E25_given_E20,E30_hits,E30_rate,E30_samebar_overshoot_rate,E30_median_minutes,E30_given_E25,median_max_causal_extension_R,p25_max_causal_extension_R,p75_max_causal_extension_R
external,32,30,0.9375,0.6875,0.0,30,0.9375,0.5,0.0,1.0,30,0.9375,0.3125,0.0,1.0,26,0.8125,0.1875,0.0,0.8666666666666667,23,0.71875,0.09375,10.0,0.8846153846153846,22,0.6875,0.0625,17.5,0.9565217391304348,0.49374574485239975,0.24168992311468668,0.7679219778363
development,32,30,0.9375,0.78125,0.0,29,0.90625,0.5625,0.0,0.9666666666666667,27,0.84375,0.3125,0.0,0.9310344827586207,25,0.78125,0.21875,0.0,0.9259259259259259,24,0.75,0.09375,5.0,0.96,24,0.75,0.0625,10.0,1.0,0.540569323916075,0.29989275220904854,0.8873272906069944
reference_validation,13,12,0.9230769230769231,0.7692307692307693,0.0,12,0.9230769230769231,0.6153846153846154,2.5,1.0,12,0.9230769230769231,0.3076923076923077,10.0,1.0,12,0.9230769230769231,0.15384615384615385,22.5,1.0,9,0.6923076923076923,0.15384615384615385,25.0,0.75,7,0.5384615384615384,0.15384615384615385,25.0,0.7777777777777778,0.36387230729301606,0.2366127023661265,0.6429489927132468
august,0,0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,
POOLED_MAJOR,77,72,0.935064935064935,0.7402597402597403,0.0,71,0.922077922077922,0.5454545454545454,0.0,0.9861111111111112,69,0.8961038961038961,0.3116883116883117,0.0,0.971830985915493,63,0.8181818181818182,0.19480519480519481,0.0,0.9130434782608695,56,0.7272727272727273,0.1038961038961039,10.0,0.8888888888888888,53,0.6883116883116883,0.07792207792207792,15.0,0.9464285714285714,0.47359735973597417,0.2366127023661265,0.8010984540276637
