tf,signal_ts,entry_idx,hold,selector,side,score,week,net_ret,reason,exit_ts,entry,rr,threshold_q
1h,2023-01-08 23:00:00+00:00,172,6,MOMENTUM,LONG,7.792362717279732,2023-W01,0.0012958942940897735,TP,2023-01-09 00:00:00+00:00,17124.6,R100,0.9
1h,2023-01-12 00:00:00+00:00,245,6,MOMENTUM,LONG,9.490127576886087,2023-W02,-0.008212695536002622,SL,2023-01-12 01:00:00+00:00,18263.9,R100,0.9
1h,2023-01-20 20:00:00+00:00,457,6,MOMENTUM,LONG,10.532845778408785,2023-W03,0.007045584140544405,TP,2023-01-20 22:00:00+00:00,22287.2,R100,0.9
1h,2023-01-25 21:00:00+00:00,578,6,MOMENTUM,LONG,8.91249123218526,2023-W04,-0.010538885736931345,SL,2023-01-25 22:00:00+00:00,23593.3,R100,0.9
1h,2023-02-01 19:00:00+00:00,744,6,MOMENTUM,LONG,5.863150395331969,2023-W05,0.0054693862711768255,TP,2023-02-01 20:00:00+00:00,23379.8,R100,0.9
1h,2023-02-09 19:00:00+00:00,936,6,MOMENTUM,SHORT,5.593258035524718,2023-W06,0.0060954448732773465,TP,2023-02-09 20:00:00+00:00,22027.3,R100,0.9
1h,2023-02-15 20:00:00+00:00,1081,6,MOMENTUM,LONG,9.61193772084252,2023-W07,0.009537869141891532,TP,2023-02-15 22:00:00+00:00,24144.8,R100,0.9
1h,2023-02-24 15:00:00+00:00,1292,6,MOMENTUM,SHORT,5.882016840394025,2023-W08,0.005780865476613885,TP,2023-02-24 16:00:00+00:00,23337.1,R100,0.9
1h,2023-03-03 01:00:00+00:00,1446,6,MOMENTUM,SHORT,12.987073813957435,2023-W09,-0.011813280037996808,SL,2023-03-03 02:00:00+00:00,22137.2,R100,0.9
1h,2023-03-09 20:00:00+00:00,1609,6,MOMENTUM,SHORT,9.693934285255864,2023-W10,-0.012831617929289272,SL,2023-03-09 21:00:00+00:00,20098.0,R100,0.9
1h,2023-03-14 12:00:00+00:00,1721,6,MOMENTUM,LONG,9.245724520814568,2023-W11,0.013053536915346,TP,2023-03-14 13:00:00+00:00,25870.0,R100,0.9
1h,2023-03-22 19:00:00+00:00,1920,6,MOMENTUM,SHORT,9.694012438892429,2023-W12,-0.015298612983329405,SL,2023-03-22 20:00:00+00:00,26653.3,R100,0.9
1h,2023-03-27 14:00:00+00:00,2035,6,MOMENTUM,SHORT,9.009553722494683,2023-W13,0.006001949281550458,TP,2023-03-27 15:00:00+00:00,26933.0,R100,0.9
1h,2023-04-09 21:00:00+00:00,2354,6,MOMENTUM,LONG,5.501412297883092,2023-W14,-0.005892287185920551,SL,2023-04-09 23:00:00+00:00,28423.2,R100,0.9
1h,2023-04-10 16:00:00+00:00,2373,6,MOMENTUM,LONG,10.79301127531673,2023-W15,0.003915739768943606,TP,2023-04-10 17:00:00+00:00,29033.1,R100,0.9
1h,2023-04-19 08:00:00+00:00,2581,6,MOMENTUM,SHORT,9.184400847422232,2023-W16,-0.009678430645074952,SL,2023-04-19 14:00:00+00:00,29148.1,R100,0.9
1h,2023-04-26 12:00:00+00:00,2753,6,MOMENTUM,LONG,7.6938059254359,2023-W17,-0.010275991877366995,SL,2023-04-26 13:00:00+00:00,29955.1,R100,0.9
1h,2023-05-01 01:00:00+00:00,2862,6,MOMENTUM,SHORT,6.766060255144858,2023-W18,0.007904144272265103,TP,2023-05-01 05:00:00+00:00,28488.2,R100,0.9
1h,2023-05-10 12:00:00+00:00,3089,6,MOMENTUM,LONG,8.122853708492702,2023-W19,-0.00628106385202226,SL,2023-05-10 13:00:00+00:00,28160.2,R100,0.9
1h,2023-05-20 17:00:00+00:00,3334,6,MOMENTUM,LONG,8.061650388948177,2023-W20,-0.0036789348915508544,SL,2023-05-20 18:00:00+00:00,27129.9,R100,0.9
1h,2023-05-24 03:00:00+00:00,3416,6,MOMENTUM,SHORT,6.940430772613004,2023-W21,0.003005843428144418,TP,2023-05-24 06:00:00+00:00,26770.0,R100,0.9
1h,2023-05-31 04:00:00+00:00,3585,6,MOMENTUM,SHORT,5.53302202380241,2023-W22,0.0041440930909609226,TP,2023-05-31 05:00:00+00:00,27243.4,R100,0.9
1h,2023-06-10 04:00:00+00:00,3825,6,MOMENTUM,SHORT,8.396884362692242,2023-W23,0.004091130518325716,TP,2023-06-10 05:00:00+00:00,25753.8,R100,0.9
1h,2023-06-14 20:00:00+00:00,3937,6,MOMENTUM,SHORT,12.559524349316774,2023-W24,-0.008736269975986031,SL,2023-06-14 21:00:00+00:00,24920.1,R100,0.9
1h,2023-06-23 15:00:00+00:00,4148,6,MOMENTUM,LONG,9.927206482040997,2023-W25,-0.009580764651560268,SL,2023-06-23 16:00:00+00:00,31232.9,R100,0.9
1h,2023-06-29 10:00:00+00:00,4287,6,MOMENTUM,LONG,4.260818198137786,2023-W26,-0.00624953787084964,SL,2023-06-29 13:00:00+00:00,30688.7,R100,0.9
1h,2023-07-06 08:00:00+00:00,4453,6,MOMENTUM,LONG,8.22511117040735,2023-W27,-0.006708200321781597,SL,2023-07-06 09:00:00+00:00,31325.6,R100,0.9
1h,2023-07-14 18:00:00+00:00,4655,6,MOMENTUM,SHORT,8.041475710208072,2023-W28,-0.009209638223427184,SL,2023-07-15 00:00:00+00:00,30074.6,R100,0.9
1h,2023-07-23 18:00:00+00:00,4871,6,MOMENTUM,LONG,6.7218391144154745,2023-W29,-0.00405159407308303,SL,2023-07-23 19:00:00+00:00,30238.8,R100,0.9
1h,2023-07-24 09:00:00+00:00,4886,6,MOMENTUM,SHORT,6.727359458956121,2023-W30,-0.007293008514015429,SL,2023-07-24 10:00:00+00:00,29162.0,R100,0.9
1h,2023-08-01 23:00:00+00:00,5092,6,MOMENTUM,LONG,5.312327937900836,2023-W31,0.004403080395019967,TP,2023-08-02 01:00:00+00:00,29701.2,R100,0.9
1h,2023-08-08 12:00:00+00:00,5249,6,MOMENTUM,LONG,6.30025732387344,2023-W32,-0.004507824015232474,SL,2023-08-08 13:00:00+00:00,29561.0,R100,0.9
1h,2023-08-17 21:00:00+00:00,5474,6,MOMENTUM,SHORT,10.766340516337955,2023-W33,-0.017336462585034018,SL,2023-08-17 22:00:00+00:00,26250.0,R100,0.9
1h,2023-08-27 14:00:00+00:00,5707,6,MOMENTUM,LONG,4.8703046936834955,2023-W34,-0.002722545343231074,SL,2023-08-27 17:00:00+00:00,26134.0,R100,0.9
1h,2023-08-29 14:00:00+00:00,5755,6,MOMENTUM,LONG,26.399563135404716,2023-W35,-0.008078441278711988,SL,2023-08-29 15:00:00+00:00,27484.8,R100,0.9
4h,2023-09-07 20:00:00+00:00,1480,3,MOMENTUM,LONG,4.454715781459723,2023-W36,-0.009594296264962497,SL,2023-09-08 08:00:00+00:00,26240.7,R100,0.9
1h,2023-09-11 14:00:00+00:00,6067,6,MOMENTUM,SHORT,6.19871677614724,2023-W37,0.004404077703447697,TP,2023-09-11 15:00:00+00:00,25138.8,R100,0.9
4h,2023-09-18 08:00:00+00:00,1543,3,MOMENTUM,LONG,6.392425902483896,2023-W38,0.005037314719152976,TP,2023-09-18 12:00:00+00:00,27184.6,R100,0.9
1h,2023-10-01 22:00:00+00:00,6555,6,MOMENTUM,LONG,13.719741356226626,2023-W39,-0.0075361705776431625,SL,2023-10-02 01:00:00+00:00,27989.6,R100,0.9
4h,2023-10-02 04:00:00+00:00,1626,3,MOMENTUM,LONG,6.384793669457036,2023-W40,-0.010723885177975788,SL,2023-10-02 12:00:00+00:00,28299.2,R100,0.9
1h,2023-10-09 09:00:00+00:00,6734,6,MOMENTUM,SHORT,5.920213681927914,2023-W41,0.0024864153136464075,TP,2023-10-09 11:00:00+00:00,27531.0,R100,0.9
1h,2023-10-16 05:00:00+00:00,6898,6,MOMENTUM,LONG,7.931311028482205,2023-W42,-0.008528329368976016,SL,2023-10-16 09:00:00+00:00,27903.4,R100,0.9
1h,2023-10-23 22:00:00+00:00,7083,6,MOMENTUM,LONG,8.936638720848666,2023-W43,-0.020957063375010077,SL,2023-10-23 23:00:00+00:00,33358.8,R100,0.9
1h,2023-11-04 22:00:00+00:00,7371,6,MOMENTUM,LONG,5.810631517849263,2023-W44,-0.004816577485371841,SL,2023-11-04 23:00:00+00:00,35171.8,R100,0.9
1h,2023-11-07 18:00:00+00:00,7439,6,MOMENTUM,LONG,5.906377124115891,2023-W45,0.004272996340473347,TP,2023-11-07 19:00:00+00:00,35398.8,R100,0.9
1h,2023-11-15 18:00:00+00:00,7631,6,MOMENTUM,LONG,7.101176164007354,2023-W46,0.0061833758055658845,TP,2023-11-15 19:00:00+00:00,37413.8,R100,0.9
1h,2023-11-21 14:00:00+00:00,7771,6,MOMENTUM,SHORT,5.425274232973047,2023-W47,-0.006461481517287591,SL,2023-11-21 15:00:00+00:00,36646.6,R100,0.9
1h,2023-12-02 19:00:00+00:00,8040,6,MOMENTUM,LONG,10.097642161453685,2023-W48,0.002754030592052427,TP,2023-12-02 20:00:00+00:00,39416.4,R100,0.9
1h,2023-12-05 17:00:00+00:00,8110,6,MOMENTUM,LONG,6.163497001901376,2023-W49,0.0071219612253739534,TP,2023-12-05 18:00:00+00:00,43389.2,R100,0.9
1h,2023-12-11 02:00:00+00:00,8239,6,MOMENTUM,SHORT,11.681276580982088,2023-W50,-0.011105220468304587,SL,2023-12-11 03:00:00+00:00,41962.3,R100,0.9
1h,2023-12-24 22:00:00+00:00,8571,6,MOMENTUM,SHORT,6.7858789425103065,2023-W51,-0.00653222852464491,SL,2023-12-24 23:00:00+00:00,42994.3,R100,0.9
1h,2023-12-27 10:00:00+00:00,8631,6,MOMENTUM,LONG,5.319261413755638,2023-W52,-0.0067410787179428815,SL,2023-12-27 11:00:00+00:00,43238.1,R100,0.9
1h,2024-01-03 12:00:00+00:00,8801,6,MOMENTUM,SHORT,8.004866551656399,2024-W01,0.012397558705694202,TP,2024-01-03 14:00:00+00:00,42795.8,R100,0.9
4h,2024-01-08 16:00:00+00:00,2217,3,MOMENTUM,LONG,7.834435611065757,2024-W02,-0.017439081543000945,SL,2024-01-09 00:00:00+00:00,47007.1,R100,0.9
4h,2024-01-18 16:00:00+00:00,2277,3,MOMENTUM,SHORT,5.95351836413637,2024-W03,-0.008029445899225328,TIME,2024-01-19 04:00:00+00:00,41014.2,R100,0.9
1h,2024-01-26 11:00:00+00:00,9352,6,MOMENTUM,LONG,7.5354013047914945,2024-W04,-0.0074872974798141905,SL,2024-01-26 13:00:00+00:00,41271.9,R100,0.9
1h,2024-01-29 16:00:00+00:00,9429,6,MOMENTUM,LONG,6.547308827235879,2024-W05,-0.008802230566284317,SL,2024-01-29 18:00:00+00:00,43182.5,R100,0.9
1h,2024-02-09 02:00:00+00:00,9679,6,MOMENTUM,LONG,5.434304893105482,2024-W06,-0.009346325024019051,SL,2024-02-09 04:00:00+00:00,46272.8,R100,0.9
1h,2024-02-12 15:00:00+00:00,9764,6,MOMENTUM,LONG,9.187514007856578,2024-W07,-0.009166995251496167,SL,2024-02-12 16:00:00+00:00,49925.5,R100,0.9
1h,2024-02-24 17:00:00+00:00,10054,6,MOMENTUM,LONG,4.995077059306783,2024-W08,0.0015132004634968456,TP,2024-02-24 18:00:00+00:00,51570.7,R100,0.9
4h,2024-02-26 16:00:00+00:00,2511,3,MOMENTUM,LONG,9.535225640225123,2024-W09,0.00931857725485591,TP,2024-02-27 00:00:00+00:00,54531.2,R100,0.9
1h,2024-03-10 01:00:00+00:00,10398,6,MOMENTUM,LONG,5.106075370575086,2024-W10,0.002575775969218931,TP,2024-03-10 04:00:00+00:00,69029.8,R100,0.9
1h,2024-03-11 07:00:00+00:00,10428,6,MOMENTUM,LONG,6.5321464088171695,2024-W11,0.008630327440247334,TP,2024-03-11 09:00:00+00:00,71223.9,R100,0.9
1h,2024-03-20 20:00:00+00:00,10657,6,MOMENTUM,LONG,4.2124764013932285,2024-W12,0.005673453601332814,TIME,2024-03-21 02:00:00+00:00,67094.6,R100,0.9
1h,2024-03-25 14:00:00+00:00,10771,6,MOMENTUM,LONG,6.699543764408371,2024-W13,0.007700538554059668,TP,2024-03-25 15:00:00+00:00,69434.6,R100,0.9
1h,2024-04-01 05:00:00+00:00,10930,6,MOMENTUM,SHORT,6.946991296430676,2024-W14,-0.00833601611111495,SL,2024-04-01 06:00:00+00:00,69212.2,R100,0.9
1h,2024-04-13 20:00:00+00:00,11233,6,MOMENTUM,SHORT,8.211842628247737,2024-W15,-0.018686480113770887,SL,2024-04-13 21:00:00+00:00,61828.5,R100,0.9
1h,2024-04-19 06:00:00+00:00,11363,6,MOMENTUM,LONG,4.541352847311655,2024-W16,0.0035792697369337336,TIME,2024-04-19 12:00:00+00:00,64595.9,R100,0.9
1h,2024-04-24 14:00:00+00:00,11491,6,MOMENTUM,SHORT,5.796413422825219,2024-W17,0.0049290621297834476,TP,2024-04-24 15:00:00+00:00,65212.8,R100,0.9
1h,2024-05-03 13:00:00+00:00,11706,6,MOMENTUM,LONG,7.256610589880392,2024-W18,0.004629367113244966,TIME,2024-05-03 19:00:00+00:00,61654.0,R100,0.9
1h,2024-05-10 14:00:00+00:00,11875,6,MOMENTUM,SHORT,8.227955899999563,2024-W19,0.0066443132232272845,TP,2024-05-10 16:00:00+00:00,61034.7,R100,0.9
1h,2024-05-13 08:00:00+00:00,11941,6,MOMENTUM,LONG,6.293644750639655,2024-W20,0.0054857241662867335,TP,2024-05-13 09:00:00+00:00,62749.4,R100,0.9
4h,2024-05-20 16:00:00+00:00,3015,3,MOMENTUM,LONG,8.247835344280974,2024-W21,-0.012940163844926965,SL,2024-05-20 20:00:00+00:00,69996.5,R100,0.9
1h,2024-05-27 15:00:00+00:00,12284,6,MOMENTUM,LONG,7.132681568802589,2024-W22,-0.007240543966140099,SL,2024-05-27 18:00:00+00:00,70421.4,R100,0.9
1h,2024-06-07 17:00:00+00:00,12550,6,MOMENTUM,SHORT,5.952478927383637,2024-W23,0.005306344842258505,TP,2024-06-07 18:00:00+00:00,69834.0,R100,0.9
1h,2024-06-12 12:00:00+00:00,12665,6,MOMENTUM,LONG,7.97367250088884,2024-W24,0.004165861868838107,TP,2024-06-12 14:00:00+00:00,69340.1,R100,0.9
1h,2024-06-23 16:00:00+00:00,12933,6,MOMENTUM,SHORT,5.2466825560875545,2024-W25,-0.0032223313086700554,SL,2024-06-23 17:00:00+00:00,63900.1,R100,0.9
1h,2024-06-30 07:00:00+00:00,13092,6,MOMENTUM,LONG,7.114674911850434,2024-W26,-0.004770106552703433,SL,2024-06-30 12:00:00+00:00,61533.6,R100,0.9
1h,2024-07-04 01:00:00+00:00,13182,6,MOMENTUM,SHORT,5.483976449966732,2024-W27,0.008455921947035651,TP,2024-07-04 02:00:00+00:00,58561.7,R100,0.9
1h,2024-07-14 21:00:00+00:00,13442,6,MOMENTUM,LONG,6.448948600327832,2024-W28,-0.008132492321382743,SL,2024-07-14 22:00:00+00:00,61260.1,R100,0.9
4h,2024-07-19 16:00:00+00:00,3375,3,MOMENTUM,LONG,5.238533358183009,2024-W29,-0.01016516261895045,TIME,2024-07-20 04:00:00+00:00,67107.8,R100,0.9
1h,2024-07-27 13:00:00+00:00,13746,6,MOMENTUM,LONG,6.94254285768365,2024-W30,-0.005792367310549272,SL,2024-07-27 14:00:00+00:00,69205.9,R100,0.9
1h,2024-08-04 16:00:00+00:00,13941,6,MOMENTUM,SHORT,5.970417676860832,2024-W31,0.00637869664441987,TP,2024-08-04 17:00:00+00:00,58647.3,R100,0.9
1h,2024-08-05 01:00:00+00:00,13950,6,MOMENTUM,SHORT,5.662449768911663,2024-W32,0.02097921871618319,TP,2024-08-05 05:00:00+00:00,54389.6,R100,0.9
1h,2024-08-18 23:00:00+00:00,14284,6,MOMENTUM,SHORT,6.743993742991153,2024-W33,-0.00247448026292124,TIME,2024-08-19 05:00:00+00:00,58390.1,R100,0.9
1h,2024-08-23 17:00:00+00:00,14398,6,MOMENTUM,LONG,6.135070189699414,2024-W34,0.00733447302625906,TP,2024-08-23 19:00:00+00:00,62966.0,R100,0.9
1h,2024-08-27 21:00:00+00:00,14498,6,MOMENTUM,SHORT,6.581685723907123,2024-W35,0.007202679145179526,TP,2024-08-27 22:00:00+00:00,60379.6,R100,0.9
1h,2024-09-04 16:00:00+00:00,14685,6,MOMENTUM,LONG,5.650879457988678,2024-W36,-0.00910947398354761,SL,2024-09-04 17:00:00+00:00,58374.6,R100,0.9
1h,2024-09-13 15:00:00+00:00,14900,6,MOMENTUM,LONG,8.431122564638475,2024-W37,0.005270569276020045,TP,2024-09-13 21:00:00+00:00,59623.6,R100,0.9
4h,2024-09-17 12:00:00+00:00,3734,3,MOMENTUM,LONG,5.84674860417554,2024-W38,-0.016410806331336125,SL,2024-09-17 16:00:00+00:00,61111.0,R100,0.9
1h,2024-09-24 19:00:00+00:00,15168,6,MOMENTUM,LONG,4.259242456891507,2024-W39,0.004882449043099481,TP,2024-09-25 01:00:00+00:00,64270.0,R100,0.9
1h,2024-10-06 14:00:00+00:00,15451,6,MOMENTUM,LONG,5.9563918026483105,2024-W40,-0.004463935236265813,SL,2024-10-06 15:00:00+00:00,62679.7,R100,0.9
1h,2024-10-07 00:00:00+00:00,15461,6,MOMENTUM,LONG,7.274090990394761,2024-W41,-0.006935264403013007,SL,2024-10-07 03:00:00+00:00,63653.1,R100,0.9
1h,2024-10-15 13:00:00+00:00,15666,6,MOMENTUM,LONG,8.396455564436714,2024-W42,-0.008376790286352907,SL,2024-10-15 14:00:00+00:00,67646.8,R100,0.9
1h,2024-10-27 13:00:00+00:00,15954,6,MOMENTUM,LONG,4.730226730932266,2024-W43,0.0011530527702286477,TP,2024-10-27 15:00:00+00:00,67590.6,R100,0.9
1h,2024-11-03 02:00:00+00:00,16110,6,MOMENTUM,SHORT,7.345590858277408,2024-W44,-0.00616034771679924,SL,2024-11-03 04:00:00+00:00,68200.0,R100,0.9
1h,2024-11-10 04:00:00+00:00,16280,6,MOMENTUM,LONG,9.689804629828078,2024-W45,0.005660544507735401,TP,2024-11-10 05:00:00+00:00,79273.7,R100,0.9
1h,2024-11-13 14:00:00+00:00,16362,6,MOMENTUM,LONG,6.071941410542306,2024-W46,0.010784984109301789,TP,2024-11-13 15:00:00+00:00,91563.0,R100,0.9
1h,2024-11-21 04:00:00+00:00,16544,6,MOMENTUM,LONG,5.427201382986265,2024-W47,0.00018355343514581254,TIME,2024-11-21 10:00:00+00:00,97591.2,R100,0.9
1h,2024-11-25 14:00:00+00:00,16650,6,MOMENTUM,SHORT,6.160996480220703,2024-W48,-0.008774474671165709,SL,2024-11-25 15:00:00+00:00,95444.3,R100,0.9
4h,2024-12-05 00:00:00+00:00,4205,3,MOMENTUM,LONG,7.614922296255093,2024-W49,-0.01870734779956945,SL,2024-12-05 12:00:00+00:00,103084.7,R100,0.9
1h,2024-12-15 23:00:00+00:00,17139,6,MOMENTUM,LONG,4.625075196392886,2024-W50,0.004572151674556548,TP,2024-12-16 00:00:00+00:00,104460.5,R100,0.9
1h,2024-12-18 20:00:00+00:00,17208,6,MOMENTUM,SHORT,6.154114478850305,2024-W51,0.00854164901127691,TP,2024-12-19 01:00:00+00:00,100839.3,R100,0.9
1h,2024-12-24 15:00:00+00:00,17347,6,MOMENTUM,LONG,7.180449376702523,2024-W52,0.005971377604770569,TP,2024-12-24 17:00:00+00:00,98243.5,R100,0.9
1h,2024-12-30 14:00:00+00:00,17490,6,MOMENTUM,SHORT,5.41743599653219,2025-W01,-0.008370403664795965,SL,2024-12-30 17:00:00+00:00,91845.3,R100,0.9
1h,2025-01-07 15:00:00+00:00,17683,6,MOMENTUM,SHORT,8.4474092285091,2025-W02,0.004842939196198328,TP,2025-01-07 17:00:00+00:00,97915.4,R100,0.9
1h,2025-01-15 13:00:00+00:00,17873,6,MOMENTUM,LONG,5.916083546122761,2025-W03,0.005419211620468602,TP,2025-01-15 15:00:00+00:00,98916.1,R100,0.9
1h,2025-01-26 23:00:00+00:00,18147,6,MOMENTUM,SHORT,10.980727169033381,2025-W04,-0.00513181134388224,SL,2025-01-27 00:00:00+00:00,102560.0,R100,0.9
1h,2025-01-27 00:00:00+00:00,18148,6,MOMENTUM,SHORT,8.902320871980098,2025-W05,0.003205035823637349,TP,2025-01-27 01:00:00+00:00,101670.7,R100,0.9
1h,2025-02-03 01:00:00+00:00,18317,6,MOMENTUM,SHORT,5.059281303919912,2025-W06,0.01567090907088814,TP,2025-02-03 02:00:00+00:00,93408.4,R100,0.9
1h,2025-02-14 17:00:00+00:00,18597,6,MOMENTUM,LONG,4.321383775918989,2025-W07,-0.007786565442623293,SL,2025-02-14 19:00:00+00:00,98487.8,R100,0.9
1h,2025-02-21 19:00:00+00:00,18767,6,MOMENTUM,SHORT,5.725968671039737,2025-W08,-0.010195475452048295,SL,2025-02-21 23:00:00+00:00,95247.4,R100,0.9
1h,2025-03-02 17:00:00+00:00,18981,6,MOMENTUM,LONG,11.73181450675661,2025-W09,-0.014876479198928814,SL,2025-03-02 18:00:00+00:00,94039.8,R100,0.9
1h,2025-03-03 14:00:00+00:00,19002,6,MOMENTUM,SHORT,5.5200843322484126,2025-W10,-0.01485517280627041,SL,2025-03-03 15:00:00+00:00,89239.9,R100,0.9
1h,2025-03-16 11:00:00+00:00,19311,6,MOMENTUM,SHORT,9.255565060794929,2025-W11,-0.005953624704353398,SL,2025-03-16 12:00:00+00:00,82367.9,R100,0.9
1h,2025-03-18 13:00:00+00:00,19361,6,MOMENTUM,SHORT,4.510448022849291,2025-W12,-0.008523388401546482,SL,2025-03-18 14:00:00+00:00,81330.3,R100,0.9
1h,2025-03-29 11:00:00+00:00,19623,6,MOMENTUM,SHORT,5.261586340634162,2025-W13,-0.007367373920540153,SL,2025-03-29 13:00:00+00:00,82255.1,R100,0.9
1h,2025-04-06 18:00:00+00:00,19822,6,MOMENTUM,SHORT,9.093668367467421,2025-W14,-0.008942911599660373,SL,2025-04-06 19:00:00+00:00,79066.6,R100,0.9
1h,2025-04-09 17:00:00+00:00,19893,6,MOMENTUM,LONG,8.612578284377399,2025-W15,0.014140808835099663,TP,2025-04-09 21:00:00+00:00,82161.9,R100,0.9
1h,2025-04-20 10:00:00+00:00,20150,6,MOMENTUM,SHORT,4.562415264590117,2025-W16,0.0010344291154484333,TP,2025-04-20 11:00:00+00:00,84135.6,R100,0.9
4h,2025-04-21 00:00:00+00:00,5027,3,MOMENTUM,LONG,8.698603913600428,2025-W17,0.006072526960687221,TP,2025-04-21 12:00:00+00:00,87166.6,R100,0.9
1h,2025-04-30 13:00:00+00:00,20393,6,MOMENTUM,SHORT,6.505515098283554,2025-W18,-0.00668070748995858,SL,2025-04-30 14:00:00+00:00,92978.2,R100,0.9
1h,2025-05-10 23:00:00+00:00,20643,6,MOMENTUM,LONG,6.687535299368731,2025-W19,-0.005697967721741302,SL,2025-05-11 00:00:00+00:00,104788.8,R100,0.9
1h,2025-05-18 14:00:00+00:00,20826,6,MOMENTUM,LONG,6.24449913957938,2025-W20,0.001919011689706375,TP,2025-05-18 15:00:00+00:00,105233.0,R100,0.9
1h,2025-05-23 11:00:00+00:00,20943,6,MOMENTUM,SHORT,6.65291639335347,2025-W21,0.003913292203003906,TP,2025-05-23 12:00:00+00:00,109033.2,R100,0.9
1h,2025-05-28 15:00:00+00:00,21067,6,MOMENTUM,SHORT,4.6571583604524385,2025-W22,-0.006270510975591113,SL,2025-05-28 17:00:00+00:00,107065.5,R100,0.9
1h,2025-06-05 20:00:00+00:00,21264,6,MOMENTUM,SHORT,5.204001629982857,2025-W23,-0.009818678331493245,SL,2025-06-05 21:00:00+00:00,100428.9,R100,0.9
1h,2025-06-09 10:00:00+00:00,21350,6,MOMENTUM,LONG,5.416922837460097,2025-W24,0.00271812087875173,TP,2025-06-09 11:00:00+00:00,107136.4,R100,0.9
1h,2025-06-20 07:00:00+00:00,21611,6,MOMENTUM,LONG,6.965148416849493,2025-W25,0.0022145509959408684,TP,2025-06-20 08:00:00+00:00,105763.6,R100,0.9
1h,2025-06-29 10:00:00+00:00,21830,6,MOMENTUM,LONG,6.042110050991966,2025-W26,0.0002632280087018781,TP,2025-06-29 11:00:00+00:00,108121.5,R100,0.9
1h,2025-07-06 13:00:00+00:00,22001,6,MOMENTUM,LONG,7.689609264033325,2025-W27,0.0006096794133554919,TP,2025-07-06 14:00:00+00:00,108713.2,R100,0.9
1h,2025-07-09 19:00:00+00:00,22079,6,MOMENTUM,LONG,8.950508355595638,2025-W28,-0.006495578183797255,SL,2025-07-09 20:00:00+00:00,111718.8,R100,0.9
4h,2025-07-14 04:00:00+00:00,5532,3,MOMENTUM,LONG,5.328732084373943,2025-W29,-0.010358805028884253,SL,2025-07-14 08:00:00+00:00,122731.0,R100,0.9
1h,2025-07-27 16:00:00+00:00,22508,6,MOMENTUM,LONG,5.9801806863811375,2025-W30,0.0009080766841600986,TP,2025-07-27 18:00:00+00:00,119081.4,R100,0.9
1h,2025-07-31 19:00:00+00:00,22607,6,MOMENTUM,SHORT,5.495066210226165,2025-W31,0.0030512888535741424,TP,2025-07-31 21:00:00+00:00,116718.9,R100,0.9
1h,2025-08-10 03:00:00+00:00,22831,6,MOMENTUM,LONG,7.289011758181169,2025-W32,-0.004872901996720356,SL,2025-08-10 05:00:00+00:00,118480.0,R100,0.9
1h,2025-08-11 02:00:00+00:00,22854,6,MOMENTUM,LONG,7.609825059409779,2025-W33,0.0034176743027159464,TP,2025-08-11 04:00:00+00:00,121837.5,R100,0.9
1h,2025-08-22 14:00:00+00:00,23130,6,MOMENTUM,LONG,9.456636416558622,2025-W34,0.0053403743960681056,TP,2025-08-22 15:00:00+00:00,115744.5,R100,0.9
1h,2025-08-31 00:00:00+00:00,23332,6,MOMENTUM,LONG,5.072155150555643,2025-W35,-0.00424347633911709,SL,2025-08-31 04:00:00+00:00,109339.9,R100,0.9
1h,2025-09-01 07:00:00+00:00,23363,6,MOMENTUM,LONG,5.470200038341996,2025-W36,-0.0067570000394394075,SL,2025-09-01 10:00:00+00:00,109390.2,R100,0.9
1h,2025-09-10 13:00:00+00:00,23585,6,MOMENTUM,LONG,4.84132482442798,2025-W37,-0.006152742967554579,SL,2025-09-10 17:00:00+00:00,113911.3,R100,0.9
1h,2025-09-15 08:00:00+00:00,23700,6,MOMENTUM,SHORT,4.770345937062896,2025-W38,-0.000813844302815224,TIME,2025-09-15 14:00:00+00:00,114697.0,R100,0.9
4h,2025-09-22 04:00:00+00:00,5952,3,MOMENTUM,SHORT,8.32246598461736,2025-W39,-0.007168959445820354,SL,2025-09-22 12:00:00+00:00,112454.5,R100,0.9
1h,2025-10-05 02:00:00+00:00,24174,6,MOMENTUM,LONG,8.019233245444756,2025-W40,-0.005320534246976259,SL,2025-10-05 03:00:00+00:00,124012.2,R100,0.9
1h,2025-10-10 15:00:00+00:00,24307,6,MOMENTUM,SHORT,6.384313399060588,2025-W41,0.004831863675860139,TP,2025-10-10 16:00:00+00:00,118965.2,R100,0.9
1h,2025-10-17 08:00:00+00:00,24468,6,MOMENTUM,SHORT,4.992868817746712,2025-W42,0.007150235912428195,TP,2025-10-17 10:00:00+00:00,104845.2,R100,0.9
1h,2025-10-26 11:00:00+00:00,24687,6,MOMENTUM,LONG,6.603531103529731,2025-W43,0.0017846957978829305,TP,2025-10-26 12:00:00+00:00,113235.1,R100,0.9
1h,2025-10-28 20:00:00+00:00,24744,6,MOMENTUM,SHORT,4.861855905476551,2025-W44,-0.00037622112278540157,TIME,2025-10-29 02:00:00+00:00,112744.6,R100,0.9
1h,2025-11-03 03:00:00+00:00,24871,6,MOMENTUM,SHORT,4.9035461673784555,2025-W45,0.0038549911149599616,TP,2025-11-03 06:00:00+00:00,107886.0,R100,0.9
