ref_start_min_wib,ref_start_wib,reference_end_wib,execution_duration_h,execution_end_wib,sessions,k1_qualified,causal_leave,h2,opposite_break_before_h2,ambiguous_h2_vs_opposite,no_h2_by_end,h2_rate,resolved_h2_share,median_minutes_leave_to_h2
60,01:00,05:00,3,08:00,1095,249,146,107,6,0,33,0.7328767123287672,0.9469026548672567,20.0
90,01:30,05:00,3,08:00,1095,271,158,113,12,0,33,0.7151898734177216,0.904,20.0
120,02:00,05:00,3,08:00,1095,281,160,116,14,0,30,0.725,0.8923076923076924,20.0
60,01:00,05:00,4,09:00,1095,269,162,132,9,0,21,0.8148148148148148,0.9361702127659575,25.0
90,01:30,05:00,4,09:00,1095,282,167,137,15,0,15,0.8203592814371258,0.9013157894736842,25.0
120,02:00,05:00,4,09:00,1095,292,167,135,18,0,14,0.8083832335329342,0.8823529411764706,20.0
60,01:00,05:00,5,10:00,1095,278,167,142,11,0,14,0.8502994011976048,0.9281045751633987,25.0
90,01:30,05:00,5,10:00,1095,291,173,144,16,0,13,0.8323699421965318,0.9,25.0
120,02:00,05:00,5,10:00,1095,299,172,143,19,0,10,0.8313953488372093,0.8827160493827161,20.0
