role,partition,loss_class,episode_class,n,gross_loss,gross_loss_5bps,median_loss,q90_loss,h2_eligible_rate,latent_target_rate
CENTRAL,development,L5_BREAK_FAIL_LATE,RESIDUAL_TRUE_FAILURE_PROXY,14,38.44585405047662,44.69585405047662,1.5830428664915241,3.0877687486279672,0.7857142857142857,0.0
CENTRAL,development,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,53,84.57998867960242,109.32998867960242,1.380034209298664,3.0082719687811967,0.8679245283018868,1.0
CENTRAL,development,L4_BREAK_FAIL_30M,RESIDUAL_TRUE_FAILURE_PROXY,19,56.762209057438895,64.0122090574389,1.2674730209313867,7.849813319834387,0.5263157894736842,0.0
CENTRAL,development,L2_BREAK_FAST_FAIL_5M,RESIDUAL_TRUE_FAILURE_PROXY,39,122.03848644945228,138.28848644945225,1.450186107217144,5.003097200326461,0.6666666666666666,0.0
CENTRAL,development,L1_NEVER_BREAK_TIME,RESIDUAL_LATENT_RECOVERABLE,21,103.47249326825586,109.72249326825586,3.4906270200387723,9.82318271119842,0.19047619047619047,1.0
CENTRAL,development,L3_BREAK_FAST_FAIL_10M,RESIDUAL_LATENT_RECOVERABLE,14,23.473592931568092,29.723592931568092,1.0812214371964943,3.1164207984652808,0.7857142857142857,1.0
CENTRAL,development,L3_BREAK_FAST_FAIL_10M,RESIDUAL_TRUE_FAILURE_PROXY,19,36.97119528351883,45.22119528351883,1.445529808576762,3.2940327475220665,0.7368421052631579,0.0
CENTRAL,development,L1_NEVER_BREAK_TIME,RESIDUAL_TRUE_FAILURE_PROXY,36,304.2194688657753,314.4694688657753,8.374751480024866,15.86166138498482,0.1388888888888889,0.0
CENTRAL,development,L5_BREAK_FAIL_LATE,RESIDUAL_LATENT_RECOVERABLE,10,11.328225663178204,15.828225663178204,0.7125935615525936,1.936535433319507,0.8,1.0
CENTRAL,development,L0_NEVER_BREAK_REFERENCE_INVALIDATION,RESIDUAL_TRUE_FAILURE_PROXY,30,455.65005167211206,463.40005167211206,13.972409738097102,21.692876727403906,0.03333333333333333,0.0
CENTRAL,development,L4_BREAK_FAIL_30M,RESIDUAL_LATENT_RECOVERABLE,25,36.37111598219656,47.87111598219656,1.390029696088979,2.5935607734399624,0.84,1.0
CENTRAL,development,L0_NEVER_BREAK_REFERENCE_INVALIDATION,RESIDUAL_LATENT_RECOVERABLE,7,106.92226157272029,109.92226157272029,10.842105986949235,26.66974113534407,0.7142857142857143,1.0
CENTRAL,external,L4_BREAK_FAIL_30M,RESIDUAL_TRUE_FAILURE_PROXY,12,72.8306980502638,78.5806980502638,3.9095044902507645,18.009434251955994,0.9166666666666666,0.0
CENTRAL,external,L4_BREAK_FAIL_30M,RESIDUAL_LATENT_RECOVERABLE,17,38.47052998759643,46.47052998759643,1.6875116380113409,4.805207706689131,0.8823529411764706,1.0
CENTRAL,external,L2_BREAK_FAST_FAIL_5M,RESIDUAL_TRUE_FAILURE_PROXY,26,87.31409338531186,98.06409338531188,2.0239448081980917,5.941207784626423,0.6538461538461539,0.0
