signal_ts,entry_ts,friday_wib,period,direction,ret5,flow5,qv5,vol_rel,flow_strength_rel,close_pos,pnl,win,reason
2023-12-15 03:30:00+00:00,2023-12-15 03:45:00+00:00,2023-12-15,discovery,LONG,0.0004512034038972601,-0.18488434859332326,38706924.1926,1.4374393106590049,1.293866894404491,0.7741935483871148,-7.249999999999999,0,SL
2024-01-05 11:15:00+00:00,2024-01-05 11:30:00+00:00,2024-01-05,discovery,LONG,0.00036497349380004707,-0.19748000578121327,37243410.917500004,1.0124981521029648,1.2620249718955134,0.7354731599336115,-7.249999999999999,0,SL
2024-01-26 08:45:00+00:00,2024-01-26 09:00:00+00:00,2024-01-26,discovery,LONG,0.00042143167071473364,-0.29915333790314946,23784377.4924,1.214967714631343,1.6783772875997285,0.5035161744023016,5.75,1,TP
2024-01-26 11:00:00+00:00,2024-01-26 11:15:00+00:00,2024-01-26,discovery,LONG,0.0003555612227381655,-0.24472313603604035,78870257.65540001,3.576920620434354,1.3606415931674236,0.5850585058505736,5.75,1,TP
2024-02-22 20:45:00+00:00,2024-02-22 21:00:00+00:00,2024-02-23,discovery,LONG,0.0003941981720743115,-0.20706490280769052,100637805.45573,3.046597959973986,1.3395382877429431,0.8510217534607881,-7.249999999999999,0,SL
2024-02-23 12:15:00+00:00,2024-02-23 12:30:00+00:00,2024-02-23,discovery,SHORT,-0.0006800787872254244,0.17625932221091856,67095851.1173,2.4022332604776295,1.0867132929283025,0.17613340281397943,-7.249999999999999,0,SL
2024-03-22 11:00:00+00:00,2024-03-22 11:15:00+00:00,2024-03-22,discovery,LONG,0.00043331899217102787,-0.24184696725576893,53034773.6713,1.0284381890798393,1.6869858980684145,0.8510697415948921,-7.249999999999999,0,SL
2024-03-29 07:45:00+00:00,2024-03-29 08:00:00+00:00,2024-03-29,discovery,SHORT,-0.0006509196564861153,0.16767898951979499,84581589.7258,2.537046907018986,1.1875459277664446,0.1896186440678299,-7.249999999999999,0,SL
2024-04-04 23:45:00+00:00,2024-04-05 00:00:00+00:00,2024-04-05,discovery,LONG,0.0005697514568836493,-0.27325111536914626,50080047.3155,1.0869215731682298,1.6414607095164508,0.5115281501340171,-7.249999999999999,0,SL
2024-04-26 00:15:00+00:00,2024-04-26 00:30:00+00:00,2024-04-26,discovery,LONG,0.0008972975326650978,-0.2668496379106463,100129938.462,2.434685855678988,1.6142486303327486,0.6608724171859595,-7.249999999999999,0,SL
2024-04-26 15:00:00+00:00,2024-04-26 15:15:00+00:00,2024-04-26,discovery,SHORT,-0.0003406074742150489,0.2138961032497686,92890983.1223,2.7188025863234317,1.3461209990607923,0.4069412662090024,-7.249999999999999,0,SL
2024-05-31 12:00:00+00:00,2024-05-31 12:15:00+00:00,2024-05-31,discovery,SHORT,-0.000255698421975481,0.19846474783019685,30705925.4025,1.135464812819442,1.0654699465969897,0.46454131424850703,5.75,1,TP
2024-06-06 17:15:00+00:00,2024-06-06 17:30:00+00:00,2024-06-07,discovery,LONG,0.00014325862817243795,-0.29873526537663464,42736502.1495,1.7701160408914216,1.6093777769813735,0.8033457249070849,-7.249999999999999,0,SL
2024-06-07 08:15:00+00:00,2024-06-07 08:30:00+00:00,2024-06-07,discovery,LONG,0.00041022240516785935,-0.20399664491459046,37175515.247200005,1.371317422081305,1.0894216578759615,0.7589082638363172,5.75,1,TP
2024-06-28 12:15:00+00:00,2024-06-28 12:30:00+00:00,2024-06-28,discovery,LONG,0.0014544688026980612,-0.2605864550060417,96497037.7352,3.845417877924892,1.2819425396584077,0.8324988620846454,-7.249999999999999,0,SL
2024-06-28 12:45:00+00:00,2024-06-28 13:00:00+00:00,2024-06-28,discovery,SHORT,-0.000488623222632989,0.3129651474080517,85254730.8682,3.397410676562796,1.5163518225447303,0.2307692307692364,-7.249999999999999,0,SL
2024-07-12 12:00:00+00:00,2024-07-12 12:15:00+00:00,2024-07-12,discovery,SHORT,-0.000394519323591358,0.3454380318135737,138868468.1581,4.09128586675328,1.8704883148086957,0.3233867959716704,-7.249999999999999,0,SL
2024-07-26 07:30:00+00:00,2024-07-26 07:45:00+00:00,2024-07-26,discovery,SHORT,-6.722367707534538e-05,0.16715254149511383,52326504.1971,1.1439771705541808,1.069877534071536,0.06379668049793945,-7.249999999999999,0,SL
2024-08-15 20:45:00+00:00,2024-08-15 21:00:00+00:00,2024-08-16,discovery,LONG,0.0006448945553230168,-0.1691380330454204,636253814.35198,17.048583171587282,1.1493416768459115,0.7308747667654512,5.75,1,TP
2024-08-30 09:15:00+00:00,2024-08-30 09:30:00+00:00,2024-08-30,discovery,SHORT,-0.0006483134612380592,0.43030845504227955,57807005.5922,1.6477018199485112,2.596155412253956,0.2363775901765328,5.75,1,TP
2024-09-05 19:00:00+00:00,2024-09-05 19:15:00+00:00,2024-09-06,discovery,SHORT,-0.0005230264615929681,0.17689630061873096,66705186.84369,2.2558741861134606,1.0598231551565018,0.09672304439747616,5.75,1,TP
2024-09-12 17:00:00+00:00,2024-09-12 17:15:00+00:00,2024-09-13,discovery,LONG,6.023764611939875e-05,-0.18408253959321386,68578799.8753,2.170505788006361,1.1094220933384071,0.617187499999984,-7.249999999999999,0,SL
2024-09-12 17:45:00+00:00,2024-09-12 18:00:00+00:00,2024-09-13,discovery,LONG,0.00017995413740279353,-0.3033116864753116,50098253.2697,1.5856000526200045,1.7866499767221535,0.8875064800414505,-7.249999999999999,0,SL
2024-09-27 03:30:00+00:00,2024-09-27 03:45:00+00:00,2024-09-27,discovery,LONG,0.00024063404772523,-0.16717169993265923,59010653.6344,1.5474811774165944,1.0104370382242687,0.784842463809247,-7.249999999999999,0,SL
