arm,partition,execution_utc,candidates,accepted,blocked,n,wins,wr,pf,expectancy,net,max_ls
E10,external,05:00,29,28,1,28,19,0.6785714285714286,3.60034445824902,2.127194964482756,59.56145900551717,3
E10,external,09:00,51,34,17,34,22,0.6470588235294118,1.605918742844647,1.5544675514865336,52.85189675054214,2
E10,external,10:00,38,36,2,36,27,0.75,1.6576117725781874,1.2835865482974254,46.20911573870731,2
E10,external,16:00,49,49,0,49,32,0.6530612244897959,1.7968628626301686,1.2162368201778517,59.59560418871474,4
E10,development,05:00,52,49,3,49,31,0.6326530612244898,1.0946720094176927,0.1259924428828438,6.173629701259347,3
E10,development,09:00,89,45,44,45,27,0.6,1.0859412514354478,0.12088063783985264,5.439628702793369,6
E10,development,10:00,97,94,3,94,65,0.6914893617021277,1.8455655869397116,1.0231508023867897,96.17617542435823,5
E10,development,16:00,50,50,0,50,29,0.58,0.7048936085543006,-0.8930380403999204,-44.65190201999602,3
E10,reference_validation,05:00,24,24,0,24,15,0.625,0.9184414242851974,-0.13399651832270632,-3.2159164397449516,2
E10,reference_validation,09:00,31,14,17,14,10,0.7142857142857143,1.3518591320348,0.5251429776003118,7.352001686404366,1
E10,reference_validation,10:00,41,40,1,40,29,0.725,1.5178052892441771,0.6302523180753516,25.210092723014068,2
E10,reference_validation,16:00,24,24,0,24,15,0.625,0.9838067549948726,-0.03399698265950857,-0.8159275838282056,5
E10,POOLED_MAJOR,05:00,105,101,4,101,65,0.6435643564356436,1.490166934485366,0.6190017056141739,62.519172267031564,3
E10,POOLED_MAJOR,09:00,171,93,78,93,59,0.6344086021505376,1.3829497481117263,0.7058443778466652,65.64352713973986,6
E10,POOLED_MAJOR,10:00,176,170,6,170,121,0.711764705882353,1.7202321445498534,0.98585519932988,167.5953838860796,5
E10,POOLED_MAJOR,16:00,123,123,0,123,76,0.6178861788617886,1.0510982595612373,0.11485995597471965,14.127774584890517,5
E15,external,05:00,29,28,1,28,16,0.5714285714285714,2.3061077826118925,1.84758363322814,51.732341730387915,5
E15,external,09:00,51,34,17,34,22,0.6470588235294118,1.8988020090963003,2.305851361837347,78.3989463024698,2
E15,external,10:00,38,35,3,35,26,0.7428571428571429,1.6008343312514204,1.206270686501854,42.21947402756489,2
E15,external,16:00,49,49,0,49,30,0.6122448979591837,1.4248497020196442,0.7977693021243213,39.090695804091744,7
