feature,block,fav_n,baseline_hit,fav_hit,lift,positive
SIDE:acceptance_beyond_prior24_atr,2023-H1,824,0.5177700348432056,0.5266990291262136,0.008928994283007974,True
SIDE:acceptance_beyond_prior24_atr,2023-H2,914,0.5163055872291904,0.5098468271334792,-0.0064587600957112246,False
SIDE:acceptance_beyond_prior24_atr,2024-H1,1198,0.5088444750746611,0.496661101836394,-0.012183373238267126,False
SIDE:acceptance_beyond_prior24_atr,2024-H2,1233,0.5082116788321168,0.5198702351987023,0.011658556366585526,True
SIDE:accepted_beyond_prior24,2023-H1,4065,0.5165165165165165,0.5173431734317343,0.0008266569152177716,True
SIDE:accepted_beyond_prior24,2023-H2,4119,0.5163055872291904,0.517115804806992,0.0008102175778016418,True
SIDE:accepted_beyond_prior24,2024-H1,3996,0.5088444750746611,0.511011011011011,0.002166535936349856,True
SIDE:accepted_beyond_prior24,2024-H2,4010,0.5082116788321168,0.5082294264339152,1.774760179840129e-05,True
SIDE:adverse_wick_3h,2023-H1,903,0.5167552576843079,0.521594684385382,0.004839426701074179,True
SIDE:adverse_wick_3h,2023-H2,840,0.5163055872291904,0.5,-0.0163055872291904,False
SIDE:adverse_wick_3h,2024-H1,693,0.5088444750746611,0.5108225108225108,0.0019780357478497157,True
SIDE:adverse_wick_3h,2024-H2,731,0.5078749144031043,0.5170998632010944,0.009224948797990074,True
SIDE:adverse_wick_6h,2023-H1,939,0.5168825161887142,0.5378061767838126,0.020923660595098426,True
SIDE:adverse_wick_6h,2023-H2,803,0.5163055872291904,0.47820672478206727,-0.03809886244712313,False
SIDE:adverse_wick_6h,2024-H1,647,0.5088444750746611,0.5255023183925811,0.016657843317919974,True
SIDE:adverse_wick_6h,2024-H2,682,0.507537688442211,0.4941348973607038,-0.013402791081507215,False
SIDE:adverse_wick_frac,2023-H1,931,0.5165165165165165,0.5424274973147154,0.025910980798198868,True
SIDE:adverse_wick_frac,2023-H2,812,0.5163055872291904,0.5172413793103449,0.0009357920811544629,True
SIDE:adverse_wick_frac,2024-H1,819,0.5088444750746611,0.518925518925519,0.01008104385085784,True
