fraction,n,good,precision,recall
0.05,57,5,0.08771929824561403,0.034482758620689655
0.1,114,22,0.19298245614035087,0.15172413793103448
0.2,228,44,0.19298245614035087,0.30344827586206896
0.3,342,53,0.15497076023391812,0.36551724137931035
