date_wib,decision_t_utc,p_buy,p_neutral,p_sell,predicted,trade,actual_g0_label,actual_g0_reason,first_hit_min,a511_pnl,g2_trade,g2_realized_pnl
2026-08-04,2026-08-03 23:00:00+00:00,0.4237964032745825,0.1914954815145044,0.3847081152109131,BUY_COMPATIBLE,False,BUY_COMPATIBLE,up_first,165.0,-4.750000000000004,False,0.0
2026-08-11,2026-08-10 23:00:00+00:00,0.3054354936075317,0.3623083735924263,0.332256132800042,NEUTRAL,False,NEUTRAL,no_50bp_hit_6h,,-0.8242332486813879,True,-0.8242332486813879
2026-08-18,2026-08-17 23:00:00+00:00,0.3269208764417489,0.3625161574812747,0.3105629660769762,NEUTRAL,False,NEUTRAL,no_50bp_hit_6h,,-0.103484492963795,True,-0.103484492963795
