gate,pass
core_n_ge_250,True
core_mean_r_ge_0_08,True
core_pf_ge_1_20,True
core_cum_r_gt_0,True
core_max_dd_le_15r,True
core_max_loss_streak_le_8,True
core_positive_years_ge_5,True
core_no_two_consecutive_negative_years,True
component_score3_n_ge_200,True
component_score3_mean_gt_0,True
component_score3_pf_ge_1_10,True
component_score4_long_n_ge_20,True
component_score4_long_mean_gt_0,True
component_score4_long_pf_ge_1_20,True
component_buy_mean_gt_0,True
component_sell_mean_gt_0,True
loyo_all_mean_gt_0,True
loyo_all_pf_ge_1_10,True
bootstrap_prob_mean_gt_0_ge_99pct,False
bootstrap_p05_mean_gt_0,True
bootstrap_median_pf_gt_1_20,True
rolling_positive_mean_share_ge_70pct,True
rolling_worst_mean_gt_neg_0_35r,True
friction_20bps_mean_gt_0,False
friction_20bps_pf_ge_1_10,False
friction_30bps_mean_gt_0,False
