strategy,bps,n,wins,wr,pf,expectancy,net,max_loss_streak
ENTRY1_SAME_SIGNAL,0,45,39,0.8666666666666667,1.1687034130699434,0.12981501996379494,5.841675898370772,2
ENTRY1_SAME_SIGNAL,2,45,37,0.8222222222222222,0.9120718865596122,-0.0703568716658452,-3.166059224963034,2
ENTRY1_SAME_SIGNAL,5,45,22,0.4888888888888889,0.592808364560951,-0.37046465521851746,-16.670909484833285,5
ENTRY1_SAME_SIGNAL,10,45,16,0.35555555555555557,0.2738056379863133,-0.8702445505055967,-39.16100477275185,10
ENTRY2,0,45,37,0.8222222222222222,1.0048868689782677,0.0038884517133559917,0.17498032710101963,2
ENTRY2,2,45,32,0.7111111111111111,0.7669941097448727,-0.19623307936108275,-8.830488571248724,2
ENTRY2,5,45,22,0.4888888888888889,0.481824689962813,-0.4962653598325123,-22.331941192463052,6
ENTRY2,10,45,13,0.28888888888888886,0.2059076012857155,-0.9959195172210737,-44.81637827494832,11
