mode,archetype,n,wins,wr,pnl,exp,pf
cont,GREEN|LARGE|BODY_BALANCED|HIGH|EXPANDED|OPPOSITE,1402,341,0.24322396576319544,-5731.499999999999,-4.0880884450784585,0.2548994117455881
cont,GREEN|LARGE|BODY_BALANCED|HIGH|EXPANDED|PRIOR_DOJI,3,1,0.3333333333333333,-8.749999999999998,-2.916666666666666,0.3965517241379311
cont,GREEN|LARGE|BODY_BALANCED|HIGH|EXPANDED|SAME,1333,352,0.26406601650412603,-5088.249999999999,-3.8171417854463607,0.2845794228268129
cont,GREEN|LARGE|BODY_BALANCED|HIGH|NORMAL|OPPOSITE,886,198,0.2234762979683973,-3849.4999999999995,-4.344808126410835,0.22824779470729756
cont,GREEN|LARGE|BODY_BALANCED|HIGH|NORMAL|PRIOR_DOJI,3,0,0.0,-21.749999999999996,-7.249999999999999,0.0
cont,GREEN|LARGE|BODY_BALANCED|HIGH|NORMAL|SAME,882,225,0.25510204081632654,-3469.4999999999995,-3.9336734693877546,0.27161076995748706
cont,GREEN|MEDIUM|BODY_BALANCED|HIGH|EXPANDED|OPPOSITE,902,235,0.26053215077605324,-3484.4999999999995,-3.8630820399113075,0.27942925089179554
cont,GREEN|MEDIUM|BODY_BALANCED|HIGH|EXPANDED|PRIOR_DOJI,1,1,1.0,5.75,5.75,999.0
cont,GREEN|MEDIUM|BODY_BALANCED|HIGH|EXPANDED|SAME,919,251,0.2731229597388466,-3399.7499999999995,-3.699401523394994,0.29800743340904406
cont,GREEN|MEDIUM|BODY_BALANCED|HIGH|NORMAL|OPPOSITE,925,214,0.23135135135135135,-3924.2499999999995,-4.242432432432432,0.2387118676948446
cont,GREEN|MEDIUM|BODY_BALANCED|HIGH|NORMAL|PRIOR_DOJI,2,0,0.0,-14.499999999999998,-7.249999999999999,0.0
cont,GREEN|MEDIUM|BODY_BALANCED|HIGH|NORMAL|SAME,828,213,0.2572463768115942,-3233.9999999999995,-3.905797101449275,0.27468460891505475
cont,GREEN|MEDIUM|LOWER|HIGH|EXPANDED|OPPOSITE,181,45,0.24861878453038674,-727.2499999999999,-4.017955801104971,0.2624239350912779
cont,GREEN|MEDIUM|LOWER|HIGH|EXPANDED|PRIOR_DOJI,1,0,0.0,-7.249999999999999,-7.249999999999999,0.0
cont,GREEN|MEDIUM|LOWER|HIGH|EXPANDED|SAME,151,34,0.2251655629139073,-652.7499999999999,-4.322847682119204,0.23047450633657535
cont,GREEN|MEDIUM|LOWER|HIGH|NORMAL|OPPOSITE,191,55,0.2879581151832461,-669.7499999999999,-3.5065445026178006,0.3207403651115619
cont,GREEN|MEDIUM|LOWER|HIGH|NORMAL|SAME,227,62,0.27312775330396477,-839.7499999999999,-3.6993392070484576,0.29801462904911186
cont,GREEN|MEDIUM|UPPER|HIGH|EXPANDED|OPPOSITE,63,18,0.2857142857142857,-222.74999999999997,-3.535714285714285,0.3172413793103449
cont,GREEN|MEDIUM|UPPER|HIGH|EXPANDED|SAME,69,23,0.3333333333333333,-201.24999999999997,-2.916666666666666,0.3965517241379311
cont,GREEN|MEDIUM|UPPER|HIGH|NORMAL|OPPOSITE,84,22,0.2619047619047619,-322.99999999999994,-3.8452380952380945,0.2814238042269188
cont,GREEN|MEDIUM|UPPER|HIGH|NORMAL|SAME,78,17,0.21794871794871795,-344.49999999999994,-4.416666666666666,0.22102882984737143
cont,GREEN|MEDIUM|UPPER|LOW|EXPANDED|OPPOSITE,103,27,0.2621359223300971,-395.74999999999994,-3.842233009708737,0.2817604355716879
cont,GREEN|MEDIUM|UPPER|LOW|EXPANDED|SAME,139,41,0.2949640287769784,-474.74999999999994,-3.41546762589928,0.33180858550316683
cont,GREEN|MEDIUM|UPPER|LOW|NORMAL|OPPOSITE,149,36,0.24161073825503357,-612.2499999999999,-4.109060402684563,0.252670125114434
cont,GREEN|MEDIUM|UPPER|LOW|NORMAL|SAME,152,44,0.2894736842105263,-529.9999999999999,-3.486842105263157,0.32311621966794385
cont,GREEN|SMALL|BODY_BALANCED|HIGH|EXPANDED|SAME,1,0,0.0,-7.249999999999999,-7.249999999999999,0.0
cont,GREEN|SMALL|BODY_BALANCED|HIGH|NORMAL|OPPOSITE,1,0,0.0,-7.249999999999999,-7.249999999999999,0.0
cont,GREEN|SMALL|LOWER|HIGH|EXPANDED|OPPOSITE,412,106,0.25728155339805825,-1608.9999999999998,-3.905339805825242,0.27473518142889347
cont,GREEN|SMALL|LOWER|HIGH|EXPANDED|PRIOR_DOJI,1,0,0.0,-7.249999999999999,-7.249999999999999,0.0
cont,GREEN|SMALL|LOWER|HIGH|EXPANDED|SAME,339,81,0.23893805309734514,-1404.7499999999998,-4.143805309734512,0.24899759422614276
cont,GREEN|SMALL|LOWER|HIGH|NORMAL|OPPOSITE,689,201,0.29172714078374457,-2382.2499999999995,-3.45754716981132,0.32666760881854157
cont,GREEN|SMALL|LOWER|HIGH|NORMAL|SAME,728,171,0.2348901098901099,-3054.9999999999995,-4.196428571428571,0.2434841825047979
cont,GREEN|SMALL|UPPER|HIGH|EXPANDED|OPPOSITE,82,21,0.25609756097560976,-321.49999999999994,-3.9207317073170724,0.27303561334087056
