block,regime,eligible,resolved,resolved_rate,pos_first,neg_first,ambiguous,unresolved,pos_share_resolved,aligned_hit_rate,ambiguous_share
2023-H1,BULL,1092,1091,0.9990842490842491,520,571,0,1,0.4766269477543538,0.4766269477543538,0.0
2023-H1,BEAR,1009,1007,0.998017839444995,524,483,2,0,0.5203574975173784,0.47964250248262164,0.0019821605550049554
2023-H2,BULL,810,788,0.9728395061728395,365,423,2,20,0.4631979695431472,0.4631979695431472,0.0024691358024691358
2023-H2,BEAR,901,897,0.9955604883462819,455,442,0,4,0.5072463768115942,0.4927536231884058,0.0
2024-H1,BULL,876,875,0.9988584474885844,413,462,1,0,0.472,0.472,0.001141552511415525
2024-H1,BEAR,1105,1098,0.9936651583710407,503,595,1,6,0.4581056466302368,0.5418943533697632,0.0009049773755656109
2024-H2,BULL,972,971,0.9989711934156379,500,471,1,0,0.5149330587023687,0.5149330587023687,0.00102880658436214
2024-H2,BEAR,800,799,0.99875,437,362,1,0,0.5469336670838548,0.4530663329161452,0.00125
