rule,source_tf,boundary,setup,signal_i,signal_ts,side,level,instance,week,entry_ts,exit_ts,entry,tp,sl,reason,net_ret,hours,route,selector,partition,rrank
H1|VAH_BREAK_LONG,H1,VAH,VAH_BREAK_LONG,17597,2022-01-03 05:00:00+00:00,LONG,46859.36687500001,H1|VAH|2022-01-03T04:00:00+00:00|LONG,2022-W01,2022-01-03 06:00:00+00:00,2022-01-03 15:00:00+00:00,47083.37,47624.828755,46683.161355000004,SL,-0.009999999999999952,10,PRIMARY_RULE,PRIMARY_RULE,development,
H1|VAH_BREAK_LONG,H1,VAH,VAH_BREAK_LONG,17763,2022-01-10 03:00:00+00:00,LONG,41925.755,H1|VAH|2022-01-10T02:00:00+00:00|LONG,2022-W02,2022-01-10 04:00:00+00:00,2022-01-10 11:00:00+00:00,41946.05,42428.42957500001,41589.50857500001,SL,-0.009999999999999952,8,PRIMARY_RULE,PRIMARY_RULE,development,
H1|VAH_BREAK_LONG,H1,VAH,VAH_BREAK_LONG,17941,2022-01-17 13:00:00+00:00,LONG,42616.284375,H1|VAH|2022-01-17T12:00:00+00:00|LONG,2022-W03,2022-01-17 14:00:00+00:00,2022-01-17 16:00:00+00:00,42631.58,43121.84317000001,42269.21157000001,SL,-0.00999999999999984,3,PRIMARY_RULE,PRIMARY_RULE,development,
H1|VAH_BREAK_LONG,H1,VAH,VAH_BREAK_LONG,18110,2022-01-24 14:00:00+00:00,LONG,33405.42208333333,H1|VAH|2022-01-24T13:00:00+00:00|LONG,2022-W04,2022-01-24 15:00:00+00:00,2022-01-24 15:00:00+00:00,33605.67,33992.135205,33320.021805,SL,-0.010000000000000063,1,PRIMARY_RULE,PRIMARY_RULE,development,
H1|VAH_BREAK_LONG,H1,VAH,VAH_BREAK_LONG,18266,2022-01-31 02:00:00+00:00,LONG,36835.8775,H1|VAH|2022-01-31T01:00:00+00:00|LONG,2022-W05,2022-01-31 03:00:00+00:00,2022-01-31 12:00:00+00:00,36965.9,37391.00785,36651.68985,TP,0.010000000000000066,10,PRIMARY_RULE,PRIMARY_RULE,development,
H1|VAH_BREAK_LONG,H1,VAH,VAH_BREAK_LONG,18433,2022-02-07 01:00:00+00:00,LONG,41840.783541666664,H1|VAH|2022-02-07T00:00:00+00:00|LONG,2022-W06,2022-02-07 02:00:00+00:00,2022-02-07 02:00:00+00:00,42083.75,42567.713125,41726.038125,TP,0.010000000000000066,1,PRIMARY_RULE,PRIMARY_RULE,development,
H1|VAH_BREAK_LONG,H1,VAH,VAH_BREAK_LONG,18602,2022-02-14 02:00:00+00:00,LONG,41690.691041666665,H1|VAH|2022-02-14T01:00:00+00:00|LONG,2022-W07,2022-02-14 03:00:00+00:00,2022-02-14 06:00:00+00:00,41690.83,42170.27454500001,41336.457945,TP,0.010000000000000066,4,PRIMARY_RULE,PRIMARY_RULE,development,
H1|VAH_BREAK_LONG,H1,VAH,VAH_BREAK_LONG,18772,2022-02-21 04:00:00+00:00,LONG,38976.4375,H1|VAH|2022-02-21T03:00:00+00:00|LONG,2022-W08,2022-02-21 05:00:00+00:00,2022-02-21 09:00:00+00:00,39273.1,39724.74065,38939.27865,SL,-0.009999999999999952,5,PRIMARY_RULE,PRIMARY_RULE,development,
H1|VAH_BREAK_LONG,H1,VAH,VAH_BREAK_LONG,18937,2022-02-28 01:00:00+00:00,LONG,37648.57916666666,H1|VAH|2022-02-28T00:00:00+00:00|LONG,2022-W09,2022-02-28 02:00:00+00:00,2022-02-28 02:00:00+00:00,37948.4,38384.8066,37625.8386,SL,-0.009999999999999952,1,PRIMARY_RULE,PRIMARY_RULE,development,
H1|VAH_BREAK_LONG,H1,VAH,VAH_BREAK_LONG,19110,2022-03-07 06:00:00+00:00,LONG,38064.524999999994,H1|VAH|2022-03-07T05:00:00+00:00|LONG,2022-W10,2022-03-07 07:00:00+00:00,2022-03-07 07:00:00+00:00,38138.0,38576.587,37813.827000000005,SL,-0.00999999999999984,1,PRIMARY_RULE,PRIMARY_RULE,development,
H1|VAH_BREAK_LONG,H1,VAH,VAH_BREAK_LONG,19272,2022-03-14 00:00:00+00:00,LONG,37753.993749999994,H1|VAH|2022-03-13T23:00:00+00:00|LONG,2022-W11,2022-03-14 01:00:00+00:00,2022-03-14 01:00:00+00:00,37817.3,38252.198950000005,37495.85295000001,TP,0.010000000000000066,1,PRIMARY_RULE,PRIMARY_RULE,development,
H1|VAH_BREAK_LONG,H1,VAH,VAH_BREAK_LONG,19440,2022-03-21 00:00:00+00:00,LONG,41308.524999999994,H1|VAH|2022-03-20T23:00:00+00:00|LONG,2022-W12,2022-03-21 01:00:00+00:00,2022-03-21 02:00:00+00:00,41404.9,41881.056350000006,41052.95835,SL,-0.010000000000000063,2,PRIMARY_RULE,PRIMARY_RULE,development,
