signal_ts,entry_ts,friday_wib,period,direction,premium_close,premium_z,oi_chg15,signal_ret,close_pos,entry_open,pnl,win,reason
2023-12-07 17:30:00+00:00,2023-12-07 17:45:00+00:00,2023-12-08,discovery,SHORT,0.00141209,4.012186485854721,-0.0034527350676150093,-0.0054436806068304255,0.32585864320182223,43372.7,-7.249999999999999,0,SL
2023-12-07 20:30:00+00:00,2023-12-07 20:45:00+00:00,2023-12-08,discovery,SHORT,0.00109911,2.9644535519449824,-0.0037870204328847024,-0.0018468650678994392,0.40728253540121556,43182.5,-7.249999999999999,0,SL
2023-12-07 22:15:00+00:00,2023-12-07 22:30:00+00:00,2023-12-08,discovery,SHORT,0.00080578,2.0800684994955234,-0.002590148163516659,-0.0014135089092499609,0.369696969696955,43376.6,-7.249999999999999,0,SL
2023-12-08 12:00:00+00:00,2023-12-08 12:15:00+00:00,2023-12-08,discovery,SHORT,0.00093618,2.051986867456049,-0.0030930865967597754,-0.0024858482900066425,0.13595360824740949,43578.7,-7.249999999999999,0,SL
2024-01-04 17:45:00+00:00,2024-01-04 18:00:00+00:00,2024-01-05,discovery,LONG,-0.00017767,-2.7626264958820133,-0.00450252317118327,0.0035044969814781446,0.6640726329442345,43983.0,5.75,1,TP
2024-01-04 20:00:00+00:00,2024-01-04 20:15:00+00:00,2024-01-05,discovery,LONG,-0.00012457,-2.465234854429846,-0.0022663884025817538,0.0006939704209327768,0.6885608856088775,43980.5,5.75,1,TP
2024-01-04 23:15:00+00:00,2024-01-04 23:30:00+00:00,2024-01-05,discovery,LONG,-0.00019335,-2.506768664400766,-0.00020541912974536558,0.001752382675153541,0.6568265682656826,44303.1,-7.249999999999999,0,SL
2024-01-05 00:00:00+00:00,2024-01-05 00:15:00+00:00,2024-01-05,discovery,LONG,-2.809e-05,-2.0273320205405723,-0.0002953094565860681,0.0010986820346232662,0.7517875383044406,44192.3,-7.249999999999999,0,SL
2024-01-05 00:15:00+00:00,2024-01-05 00:30:00+00:00,2024-01-05,discovery,LONG,-0.00019322,-2.4556514157495313,-0.0006039872099563581,0.00044804185344493597,0.7159277504105108,44212.1,-7.249999999999999,0,SL
2024-01-05 13:45:00+00:00,2024-01-05 14:00:00+00:00,2024-01-05,discovery,LONG,-0.00019974,-2.005649020959253,-0.001292482242465809,0.00220592591917379,0.9173086800205507,43978.6,-7.249999999999999,0,SL
2024-01-11 17:15:00+00:00,2024-01-11 17:30:00+00:00,2024-01-12,discovery,SHORT,0.00113902,4.142979307126831,-0.0008834167868911891,-0.009323011890405963,0.3445714285714244,45841.2,-7.249999999999999,0,SL
2024-01-11 20:45:00+00:00,2024-01-11 21:00:00+00:00,2024-01-12,discovery,SHORT,0.00086271,3.066169582410113,-0.0056546161434560815,-0.0030447373698384572,0.24653405666064554,46233.8,-7.249999999999999,0,SL
2024-01-12 16:30:00+00:00,2024-01-12 16:45:00+00:00,2024-01-12,discovery,SHORT,0.00123183,4.157978999629897,-0.019135175641469715,-0.012432994313433698,0.26499237178734425,43607.7,5.75,1,TP
2024-01-19 06:45:00+00:00,2024-01-19 07:00:00+00:00,2024-01-19,discovery,LONG,-0.00040053,-2.3028963031034526,-0.000703024273096986,0.0025242939109872964,0.68514007308162,41462.6,-7.249999999999999,0,SL
2024-01-25 21:15:00+00:00,2024-01-25 21:30:00+00:00,2024-01-26,discovery,LONG,-0.00039267,-2.031523437665067,-0.0007217161994859111,0.0011169846935445982,0.8837018837019062,39883.9,-7.249999999999999,0,SL
2024-01-26 11:00:00+00:00,2024-01-26 11:15:00+00:00,2024-01-26,discovery,LONG,-0.00080681,-4.251355310597881,-0.008099540105643399,0.003016787797130105,0.5850585058505736,40795.1,5.75,1,TP
2024-01-26 11:30:00+00:00,2024-01-26 11:45:00+00:00,2024-01-26,discovery,LONG,-0.00059755,-2.9562852326314117,-0.010365676482376074,0.006551678684586948,0.7069317023445475,41234.9,5.75,1,TP
2024-01-26 15:45:00+00:00,2024-01-26 16:00:00+00:00,2024-01-26,discovery,LONG,-0.00054046,-2.5202712908694753,-0.0012132750269451265,0.0019652166336712185,0.8485207100591802,41399.8,5.75,1,TP
2024-02-09 12:15:00+00:00,2024-02-09 12:30:00+00:00,2024-02-09,discovery,SHORT,-0.00012552,2.1421550001843825,-0.00999350660861964,-0.0031730024746887686,0.1807228915662635,47249.4,-7.249999999999999,0,SL
2024-02-16 08:45:00+00:00,2024-02-16 09:00:00+00:00,2024-02-16,discovery,SHORT,0.00096974,2.172322712519539,-0.0035220398594830726,-0.001610618924098861,0.10505645557192814,51883.9,-7.249999999999999,0,SL
2024-02-29 17:30:00+00:00,2024-02-29 17:45:00+00:00,2024-03-01,discovery,SHORT,0.00182081,2.477253711700277,-0.011519742124839638,-0.011498977958538936,0.35242743385563663,61077.6,-7.249999999999999,0,SL
2024-02-29 18:30:00+00:00,2024-02-29 18:45:00+00:00,2024-03-01,discovery,SHORT,0.00205957,3.0353867594909283,-0.013770657917319795,-0.0032645372645373483,0.4802826532938192,60850.7,-7.249999999999999,0,SL
2024-03-07 21:30:00+00:00,2024-03-07 21:45:00+00:00,2024-03-08,discovery,LONG,0.00019771,-2.826978469731293,-0.0012370158980061774,0.0004515054886136127,0.6835497835497584,67360.8,-7.249999999999999,0,SL
2024-04-04 17:00:00+00:00,2024-04-04 17:15:00+00:00,2024-04-05,discovery,LONG,-0.00018442,-2.763106436088526,-0.004024702372131372,0.0002713996403955754,0.6546712802768568,67815.2,5.75,1,TP
2024-04-04 18:30:00+00:00,2024-04-04 18:45:00+00:00,2024-04-05,discovery,LONG,-0.00024976,-2.8695951613086486,-0.006514144206811068,0.0012598576230105074,0.8546222664015883,68904.1,-7.249999999999999,0,SL
2024-04-04 19:15:00+00:00,2024-04-04 19:30:00+00:00,2024-04-05,discovery,LONG,-0.00031468,-3.003099190288194,-0.00084254441407694,0.001947401204033694,0.6809789609274262,68686.4,-7.249999999999999,0,SL
2024-04-26 01:00:00+00:00,2024-04-26 01:15:00+00:00,2024-04-26,discovery,SHORT,-6.304e-05,2.7471973239516676,-0.0016841028923515466,-0.0032697785043951377,0.48114593535749095,64075.6,-7.249999999999999,0,SL
2024-04-26 14:30:00+00:00,2024-04-26 14:45:00+00:00,2024-04-26,discovery,SHORT,-0.00016009,2.1350032541420014,-0.00717090779893681,-0.005073499704758011,0.23595151896741817,64027.4,-7.249999999999999,0,SL
2024-05-10 01:00:00+00:00,2024-05-10 01:15:00+00:00,2024-05-10,discovery,SHORT,-0.00015344,2.3328947275143217,-0.0027316723759867045,-0.001631684933578459,0.30351906158358516,62716.0,-7.249999999999999,0,SL
2024-05-10 10:00:00+00:00,2024-05-10 10:15:00+00:00,2024-05-10,discovery,SHORT,-0.00010145,2.653779970567265,-0.0017393929765994187,-0.0029900695464507576,0.30811365970557414,62920.1,5.75,1,TP
2024-05-10 14:30:00+00:00,2024-05-10 14:45:00+00:00,2024-05-10,discovery,SHORT,-0.00018272,2.085700975757037,-0.008365676469434646,-0.006255376970885962,0.15971515768056593,61797.6,5.75,1,TP
2024-05-17 03:30:00+00:00,2024-05-17 03:45:00+00:00,2024-05-17,discovery,LONG,-0.00078815,-2.711736884107754,-0.006273715374103261,0.002489188871969139,0.7906155398587293,65767.0,-7.249999999999999,0,SL
2024-05-31 06:30:00+00:00,2024-05-31 06:45:00+00:00,2024-05-31,discovery,SHORT,0.00084543,2.0943985747741,-0.0007735160393629315,-0.0007305466388279891,0.47203728362180797,68391.9,-7.249999999999999,0,SL
2024-06-27 19:15:00+00:00,2024-06-27 19:30:00+00:00,2024-06-28,discovery,SHORT,-5.406e-05,2.1812945327165316,-0.0024017941869232118,-0.001088508208422545,0.32967032967033444,61576.9,-7.249999999999999,0,SL
