feature,rows_total,rows_available,coverage,first_time,last_time
quotevol_15m,130848,130848,1.0,2023-01-01 00:00:00+00:00,2026-09-24 23:45:00+00:00
quotevol_ratio_1h,130848,130847,0.9999923575446319,2023-01-01 00:00:00+00:00,2026-09-24 23:45:00+00:00
quotevol_z_24h,130848,130848,1.0,2023-01-01 00:00:00+00:00,2026-09-24 23:45:00+00:00
trades_ratio_1h,130848,130847,0.9999923575446319,2023-01-01 00:00:00+00:00,2026-09-24 23:45:00+00:00
taker_buy_ratio_15m,130848,130844,0.9999694301785278,2023-01-01 00:00:00+00:00,2026-09-24 23:45:00+00:00
taker_imb_15m,130848,130844,0.9999694301785278,2023-01-01 00:00:00+00:00,2026-09-24 23:45:00+00:00
taker_imb_1h,130848,130847,0.9999923575446319,2023-01-01 00:00:00+00:00,2026-09-24 23:45:00+00:00
taker_imb_change_1h,130848,130843,0.9999617877231597,2023-01-01 00:00:00+00:00,2026-09-24 23:45:00+00:00
loc_24h,130848,130848,1.0,2023-01-01 00:00:00+00:00,2026-09-24 23:45:00+00:00
dist_high_24h,130848,130848,1.0,2023-01-01 00:00:00+00:00,2026-09-24 23:45:00+00:00
dist_low_24h,130848,130848,1.0,2023-01-01 00:00:00+00:00,2026-09-24 23:45:00+00:00
breakout_up_24h,130848,130848,1.0,2023-01-01 00:00:00+00:00,2026-09-24 23:45:00+00:00
breakout_down_24h,130848,130848,1.0,2023-01-01 00:00:00+00:00,2026-09-24 23:45:00+00:00
oi_value,130848,130803,0.9996560895084373,2023-01-01 00:00:00+00:00,2026-09-24 23:45:00+00:00
oi_chg_15m,130848,130758,0.9993121790168745,2023-01-01 00:00:00+00:00,2026-09-24 23:45:00+00:00
oi_chg_1h,130848,130749,0.999243396918562,2023-01-01 00:00:00+00:00,2026-09-24 23:45:00+00:00
oi_chg_4h,130848,130738,0.9991593299095133,2023-01-01 00:00:00+00:00,2026-09-24 23:45:00+00:00
funding_rate,130848,130848,1.0,2023-01-01 00:00:00+00:00,2026-09-24 23:45:00+00:00
funding_z_30,130848,130848,1.0,2023-01-01 00:00:00+00:00,2026-09-24 23:45:00+00:00
funding_change,130848,130848,1.0,2023-01-01 00:00:00+00:00,2026-09-24 23:45:00+00:00
