partition,variant,target_name,managed,n_0,wins_0,wr_0,pf_0,expectancy_0,net_0,max_ls_0,n_5,wins_5,wr_5,pf_5,expectancy_5,net_5,max_ls_5,conditional_exit_n,cut_base_loser_n,cut_base_winner_n,delta_net_vs_base_0,delta_net_vs_base_5,screen_pass
external,BASE_E05,E05,False,39,33,0.8461538461538461,1.2532044268912093,0.31408486815870534,12.249309858189509,1,39,31,0.7948717948717948,1.009880733417212,0.013141783045319615,0.512529538767465,2,0,0,0,0.0,0.0,False
development,BASE_E05,E05,False,41,33,0.8048780487804879,1.007334562382545,0.008045042223538143,0.3298467311650639,2,41,29,0.7073170731707317,0.7624120313662913,-0.28418354756529624,-11.651525450177145,3,0,0,0,0.0,0.0,False
reference_validation,BASE_E05,E05,False,15,12,0.8,0.8548983239320396,-0.21715382883242046,-3.2573074324863067,1,15,11,0.7333333333333333,0.6788688687982914,-0.5163873535550254,-7.7458103033253805,2,0,0,0,0.0,0.0,False
august,BASE_E05,E05,False,0,0,,,,0.0,0,0,0,,,,0.0,0,0,0,0,0.0,0.0,False
POOLED_MAJOR,BASE_E05,E05,False,95,78,0.8210526315789474,1.0805015312118735,0.09812472796703438,9.321849156868266,2,95,71,0.7473684210526316,0.8489612984414182,-0.19878743383931644,-18.88480621473506,3,0,0,0,0.0,0.0,False
external,BASE_E10,E10,False,39,32,0.8205128205128205,1.5783225482309642,0.8051086387253465,31.399236910288515,1,39,31,0.7948717948717948,1.333757698531782,0.4975838003720104,19.405768214508406,1,0,0,0,0.0,0.0,False
development,BASE_E10,E10,False,41,31,0.7560975609756098,0.995533637681405,-0.006219186451560685,-0.2549866445139881,4,41,29,0.7073170731707317,0.788871723337308,-0.3226897195049408,-13.230278499702573,4,0,0,0,0.0,0.0,False
reference_validation,BASE_E10,E10,False,15,12,0.8,1.25909873191866,0.3877576276611008,5.816364414916512,1,15,12,0.8,1.055308095902189,0.08822179836256841,1.3233269754385262,1,0,0,0,0.0,0.0,False
august,BASE_E10,E10,False,0,0,,,,0.0,0,0,0,,,,0.0,0,0,0,0,0.0,0.0,False
POOLED_MAJOR,BASE_E10,E10,False,95,75,0.7894736842105263,1.2761706106439545,0.38905910190201093,36.96061468069104,4,95,72,0.7578947368421053,1.0518108846321799,0.07893491252888796,7.498816690244356,4,0,0,0,0.0,0.0,False
external,BASE_E15,E15,False,39,32,0.8205128205128205,2.079556550754464,1.5028988713368319,58.613055982136444,1,39,31,0.7948717948717948,1.801571308386853,1.1950253122275605,46.60598717687486,1,0,0,0,0.0,0.0,False
development,BASE_E15,E15,False,41,29,0.7073170731707317,0.8960427005125791,-0.19801202500894086,-8.118493025366575,4,41,27,0.6585365853658537,0.744513858881591,-0.5263294693470624,-21.579508243229558,4,0,0,0,0.0,0.0,False
reference_validation,BASE_E15,E15,False,15,11,0.7333333333333333,1.5297614930906913,0.8219146570996243,12.328719856494365,1,15,11,0.7333333333333333,1.3003128899296548,0.5055176385595533,7.5827645783933,1,0,0,0,0.0,0.0,False
august,BASE_E15,E15,False,0,0,,,,0.0,0,0,0,,,,0.0,0,0,0,0,0.0,0.0,False
POOLED_MAJOR,BASE_E15,E15,False,95,72,0.7578947368421053,1.403592078278085,0.661297713823834,62.82328281326422,4,95,69,0.7263157894736842,1.1942676210704684,0.34325519486356454,32.60924351203863,4,0,0,0,0.0,0.0,False
external,M14_E05,E05,True,39,33,0.8461538461538461,1.2532044268912093,0.31408486815870534,12.249309858189509,1,39,31,0.7948717948717948,1.009880733417212,0.013141783045319615,0.512529538767465,2,0,0,0,0.0,0.0,False
development,M14_E05,E05,True,41,31,0.7560975609756098,0.8227898347610264,-0.22159160285519264,-9.085255717062898,2,41,27,0.6585365853658537,0.6172853136816964,-0.5258274598200463,-21.5589258526219,3,3,1,2,-9.415102448227962,-9.907400402444756,False
reference_validation,M14_E05,E05,True,15,12,0.8,0.97563109009966,-0.031956558208012506,-0.47934837312018763,1,15,11,0.7333333333333333,0.7671315102938661,-0.3313751876488781,-4.970627814733171,2,1,1,0,2.777959059366119,2.7751824885922094,False
august,M14_E05,E05,True,0,0,,,,0.0,0,0,0,,,,0.0,0,0,0,0,0.0,0.0,False
POOLED_MAJOR,M14_E05,E05,True,95,76,0.8,1.0225008218951432,0.028260060715857065,2.6847057680064212,2,95,69,0.7263157894736842,0.7991714140144982,-0.27386341187986946,-26.0170241285876,3,4,2,2,-6.637143388861843,-7.132217913852546,False
external,M14_E10,E10,True,39,31,0.7948717948717948,1.540030507678578,0.757117976416426,29.52760108024061,1,39,30,0.7692307692307693,1.2928349183748307,0.4432098636535731,17.28518468248935,1,2,1,1,-1.8716358300479015,-2.12058353201905,False
development,M14_E10,E10,True,41,29,0.7073170731707317,0.8801504458864169,-0.17257207585856102,-7.075455110201002,4,41,27,0.6585365853658537,0.6868323918549162,-0.5011345366467435,-20.54651600251648,4,5,3,2,-6.8204684656870125,-7.3162375028139035,False
reference_validation,M14_E10,E10,True,15,12,0.8,1.436914582677969,0.5729548982855088,8.594323474282632,1,15,12,0.8,1.1937712439665324,0.2732339642687157,4.098509464030736,1,1,1,0,2.777959059366119,2.7751824885922094,False
august,M14_E10,E10,True,0,0,,,,0.0,0,0,0,,,,0.0,0,0,0,0,0.0,0.0,False
POOLED_MAJOR,M14_E10,E10,True,95,72,0.7578947368421053,1.2327595779811482,0.32680494151918155,31.046469444322245,4,95,69,0.7263157894736842,1.0057424735040157,0.008812401515827488,0.8371781440036113,4,8,5,3,-5.914145236368793,-6.661638546240743,False
external,M14_E15,E15,True,39,31,0.7948717948717948,2.0290187694897424,1.4426751773703534,56.26433191744378,1,39,30,0.7692307692307693,1.745565726188383,1.1284244573106632,44.00855383511587,1,2,1,1,-2.3487240646926635,-2.597433341758993,False
development,M14_E15,E15,True,41,29,0.7073170731707317,1.185307907223563,0.26682594239999374,10.939863638399743,4,41,27,0.6585365853658537,0.961173968805817,-0.061956107602702475,-2.5402004117108015,4,5,5,0,19.058356663766318,19.03930783151875,False
reference_validation,M14_E15,E15,True,15,11,0.7333333333333333,1.7371179438130069,1.0071119277240324,15.106678915860485,1,15,11,0.7333333333333333,1.460878296800622,0.6905298044657006,10.357947066985508,1,1,1,0,2.777959059366119,2.7751824885922094,False
august,M14_E15,E15,True,0,0,,,,0.0,0,0,0,,,,0.0,0,0,0,0,0.0,0.0,False
POOLED_MAJOR,M14_E15,E15,True,95,71,0.7473684210526316,1.6133080577684074,0.8664302575968842,82.310874471704,4,95,68,0.7157894736842105,1.352735959599367,0.5455400051620063,51.826300490390594,4,8,7,1,19.487591658439776,19.21705697835197,False
