hour_wib,candidate_rank,character_rule,dev_lb,dev_hold,dev_wr,dev_exp,dev_pf,plateau_strict_support_2022,plateau_economic_support_2022,exact_test_n,exact_test_wr,exact_test_net,exact_test_exp,exact_test_pf,exact_test_dd,exact_test_ls,local_viable_cells,local_stable_cells,verdict
0,1,EFF_LOW__RANGE_MID,180,360,0.6413043478260869,4.080866069562295,3.341813230541273,4,5,89,0.39325842696629215,37.75736990164777,0.4242401112544693,1.224377653957349,116.47693646656569,28,0,0,TEST_DEGRADATION_FAIL
0,2,DRIVE_UP__RANGE_MID,180,480,0.6304347826086957,2.89803204775239,2.5016907857642026,4,4,122,0.45081967213114754,37.602238015749364,0.30821506570286367,1.1387030717064117,112.97556006481082,15,0,0,TEST_DEGRADATION_FAIL
0,3,DRIVE_UP__RV_MID,180,360,0.6435643564356436,1.5362391101368496,1.7468577575775752,4,4,106,0.4716981132075472,-60.050837110069054,-0.5665173312270666,0.7126226042550263,88.43651965803629,8,0,0,TEST_DEGRADATION_FAIL
1,1,EFF_HIGH__RV_LOW,240,360,0.7340425531914894,3.09725189580994,2.891726646169846,5,5,64,0.53125,1.1843675289957787,0.018505742640559042,1.0096799126202547,65.69901455039425,3,2,0,TEST_DEGRADATION_FAIL
1,2,DRIVE_UP__RANGE_MID,240,360,0.5594405594405595,2.065269208107343,1.980914790615024,4,5,139,0.4028776978417266,-26.25917769418021,-0.1889149474401454,0.9095657421482818,141.61524798080998,13,0,0,TEST_DEGRADATION_FAIL
1,3,DRIVE_UP__STR_B60_80,360,360,0.7733333333333333,3.72458394101856,3.12150398525274,4,4,54,0.42592592592592593,21.9819664599244,0.407073452961563,1.173130822284472,77.82704613052249,12,0,0,TEST_DEGRADATION_FAIL
2,1,DRIVE_DOWN__RANGE_MID,180,240,0.6,1.3856410552020664,1.5839453699355617,4,5,148,0.5337837837837838,-60.73544400350881,-0.4103746216453298,0.7827328781687205,142.0376900000941,11,0,0,TEST_DEGRADATION_FAIL
2,2,EFF_MID__EXT_MID,240,480,0.6194690265486725,2.7158029907846144,1.8543011802455456,4,4,107,0.5046728971962616,-36.718249145192566,-0.3431612069644165,0.8789688561428012,113.35521173789874,8,1,0,TEST_DEGRADATION_FAIL
2,3,EFF_LOW__RANGE_MID,240,120,0.5774647887323944,1.3229820277858542,2.598405663042563,4,4,81,0.345679012345679,-106.44276550858483,-1.3141082161553683,0.3438826993722007,116.72539368870888,7,0,0,TEST_DEGRADATION_FAIL
3,1,DRIVE_DOWN__EXT_HIGH,180,360,0.5636363636363636,1.3075752764525992,1.4183456839150312,2,3,101,0.4752475247524752,3.6606781872505954,0.03624433848762966,1.012977099743782,134.80419832289613,10,0,0,TEST_DEGRADATION_FAIL
3,2,EFF_MID__RV_MID,60,480,0.5974025974025974,2.292395296089244,1.8548691181575063,2,2,91,0.46153846153846156,-46.77150212167671,-0.5139725507876561,0.7864051998513878,95.19410820861306,8,0,0,TEST_DEGRADATION_FAIL
3,3,RV_LOW__RANGE_MID,240,240,0.6027397260273972,1.0751673914653688,1.461002109062562,1,3,66,0.3333333333333333,-14.394932428359558,-0.21810503679332663,0.8219286011921251,46.90037714841082,15,0,0,TEST_DEGRADATION_FAIL
4,1,DRIVE_DOWN__STR_B80_100,180,240,0.6,3.7954673914813872,2.7168048729005423,4,4,92,0.6413043478260869,177.19323026661687,1.926013372463227,2.70850353551449,40.783722966468254,8,5,0,TEST_DEGRADATION_FAIL
4,2,EFF_MID__EXT_LOW,120,480,0.5982905982905983,1.961016611257173,1.6877524155997363,1,1,95,0.42105263157894735,20.212176028969672,0.21275974767336497,1.1128624021089335,57.63068446190156,7,0,0,TEST_DEGRADATION_FAIL
4,3,RV_LOW__RANGE_MID,360,360,0.5540540540540541,0.617234129984762,1.2372129925491582,1,1,55,0.36363636363636365,17.94688285917884,0.3263069610759789,1.2628815831622877,40.12762107759035,12,0,0,TEST_DEGRADATION_FAIL
