variant,signal_n,filled_n,fill_rate,positive_n,positive_filled_n,positive_capture_rate,negative_n,negative_filled_n,negative_fill_rate,filled_event_rate,detector_baseline_rate,median_time_to_fill_min,median_improvement_all,median_improvement_positive,p25_improvement_positive,median_target_distance_positive,median_positive_adverse_excursion,buy_side_positive_n,buy_side_positive_filled_n,buy_side_positive_capture,sell_side_positive_n,sell_side_positive_filled_n,sell_side_positive_capture
BASELINE_MARKET,288,288,1.0,153,153,1.0,135,135,1.0,0.53125,0.53125,0.0,0.0,0.0,0.0,0.854357459379617,0.48387096774193844,82,82,1.0,71,71,1.0
GAP_25,288,253,0.8784722222222222,153,119,0.7777777777777778,135,134,0.9925925925925926,0.47035573122529645,0.53125,5.0,0.19755434782607992,0.207282913165281,0.1675187886954259,1.0786540934419244,0.47492836676217576,82,64,0.7804878048780488,71,55,0.7746478873239436
GAP_50,288,215,0.7465277777777778,153,82,0.5359477124183006,135,133,0.9851851851851852,0.3813953488372093,0.53125,20.0,0.3908178377488894,0.41617538617610406,0.32347468808159985,1.293148700115915,0.40096914906942116,82,46,0.5609756097560976,71,36,0.5070422535211268
GAP_75,288,189,0.65625,153,62,0.40522875816993464,135,127,0.9407407407407408,0.328042328042328,0.53125,40.0,0.5684840425531923,0.5806353587534778,0.47419961649003295,1.462614028010731,0.37060635619600735,82,38,0.4634146341463415,71,24,0.3380281690140845
LIQUIDITY_LEVEL,288,164,0.5694444444444444,153,45,0.29411764705882354,135,119,0.8814814814814815,0.27439024390243905,0.53125,55.0,0.7389687866197925,0.7249114521841666,0.48148148148148173,1.6710097719869683,0.32007666506948024,82,26,0.3170731707317073,71,19,0.2676056338028169
RECLAIM_BODY_MID,288,221,0.7673611111111112,153,89,0.5816993464052288,135,132,0.9777777777777777,0.40271493212669685,0.53125,25.0,0.37794646424290823,0.3427922814982968,0.24085365853658644,1.2435744172145888,0.5281285878300788,82,52,0.6341463414634146,71,37,0.5211267605633803
RECLAIM_OPEN,288,171,0.59375,153,55,0.35947712418300654,135,116,0.8592592592592593,0.3216374269005848,0.53125,55.0,0.7131782945736412,0.5763490241102293,0.3039076524861211,1.4152795561246245,0.3643181369646736,82,31,0.3780487804878049,71,24,0.3380281690140845
FIVE_MIN_REVERSAL_BREAK,288,219,0.7604166666666666,153,137,0.8954248366013072,135,82,0.6074074074074074,0.6255707762557078,0.53125,20.0,-0.27384356602186505,-0.3081914030819129,-0.5154061624649799,0.5130111524163545,0.4595244456318388,82,72,0.8780487804878049,71,65,0.9154929577464789
