type,rule,rules_json,search_trades,search_wr,search_tpd,search_avg_net,val_trades,val_wr,val_tpd,val_avg_net,wr_deterioration,promote
UNI,ema20_dist >= -0.00046124673,"[{""feature"": ""ema20_dist"", ""kind"": ""num"", ""op"": "">="", ""threshold"": -0.00046124673216350014}]",738,0.508130081300813,2.021917808219178,-0.0013373983739837392,774,0.5077519379844961,2.1147540983606556,-0.001344961240310077,0.00037814331631691456,False
UNI,ema20_slope >= -4.854993e-05,"[{""feature"": ""ema20_slope"", ""kind"": ""num"", ""op"": "">="", ""threshold"": -4.8549930230201664e-05}]",738,0.508130081300813,2.021917808219178,-0.0013373983739837392,774,0.5077519379844961,2.1147540983606556,-0.001344961240310077,0.00037814331631691456,False
PAIR,ema20_dist >= -0.00046124673 AND ema20_slope >= -4.854993e-05,"[{""feature"": ""ema20_dist"", ""kind"": ""num"", ""op"": "">="", ""threshold"": -0.00046124673216350014}, {""feature"": ""ema20_slope"", ""kind"": ""num"", ""op"": "">="", ""threshold"": -4.8549930230201664e-05}]",738,0.508130081300813,2.021917808219178,-0.0013373983739837392,774,0.5077519379844961,2.1147540983606556,-0.001344961240310077,0.00037814331631691456,False
UNI,prev1h_ret <= -0.006611419,"[{""feature"": ""prev1h_ret"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.006611419033494492}]",540,0.5222222222222223,1.4794520547945205,-0.001055555555555555,652,0.5061349693251533,1.7814207650273224,-0.001377300613496932,0.016087252897068915,False
UNI,ret15 <= -0.0038177812,"[{""feature"": ""ret15"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0038177812174682523}]",541,0.5212569316081331,1.4821917808219178,-0.0010748613678373377,623,0.5056179775280899,1.7021857923497268,-0.0013876404494382018,0.015638954080043233,False
UNI,ema8_dist <= -0.0033896582,"[{""feature"": ""ema8_dist"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.003389658183272126}]",544,0.5073529411764706,1.4904109589041097,-0.0013529411764705878,627,0.5055821371610846,1.7131147540983607,-0.0013883572567783091,0.001770804015385985,False
UNI,ema20_dist >= 0.0057260027,"[{""feature"": ""ema20_dist"", ""kind"": ""num"", ""op"": "">="", ""threshold"": 0.0057260027375182}]",470,0.5404255319148936,1.2876712328767124,-0.0006914893617021271,462,0.5021645021645021,1.2622950819672132,-0.0014567099567099563,0.03826102975039147,False
UNI,ema20_slope >= 0.00060310064,"[{""feature"": ""ema20_slope"", ""kind"": ""num"", ""op"": "">="", ""threshold"": 0.0006031006417118069}]",470,0.5404255319148936,1.2876712328767124,-0.0006914893617021271,462,0.5021645021645021,1.2622950819672132,-0.0014567099567099563,0.03826102975039147,False
PAIR,ema20_dist >= 0.0057260027 AND ema20_slope >= 0.00060310064,"[{""feature"": ""ema20_dist"", ""kind"": ""num"", ""op"": "">="", ""threshold"": 0.0057260027375182}, {""feature"": ""ema20_slope"", ""kind"": ""num"", ""op"": "">="", ""threshold"": 0.0006031006417118069}]",470,0.5404255319148936,1.2876712328767124,-0.0006914893617021271,462,0.5021645021645021,1.2622950819672132,-0.0014567099567099563,0.03826102975039147,False
PAIR,ema20_dist >= 0.0057260027 AND ema20_slope >= -4.854993e-05,"[{""feature"": ""ema20_dist"", ""kind"": ""num"", ""op"": "">="", ""threshold"": 0.0057260027375182}, {""feature"": ""ema20_slope"", ""kind"": ""num"", ""op"": "">="", ""threshold"": -4.8549930230201664e-05}]",470,0.5404255319148936,1.2876712328767124,-0.0006914893617021271,462,0.5021645021645021,1.2622950819672132,-0.0014567099567099563,0.03826102975039147,False
PAIR,ema20_slope >= 0.00060310064 AND ema20_dist >= -0.00046124673,"[{""feature"": ""ema20_slope"", ""kind"": ""num"", ""op"": "">="", ""threshold"": 0.0006031006417118069}, {""feature"": ""ema20_dist"", ""kind"": ""num"", ""op"": "">="", ""threshold"": -0.00046124673216350014}]",470,0.5404255319148936,1.2876712328767124,-0.0006914893617021271,462,0.5021645021645021,1.2622950819672132,-0.0014567099567099563,0.03826102975039147,False
UNI,vol15_vs_prev45 >= 1.4974724,"[{""feature"": ""vol15_vs_prev45"", ""kind"": ""num"", ""op"": "">="", ""threshold"": 1.497472416771366}]",516,0.5058139534883721,1.4136986301369863,-0.0013837209302325576,569,0.48857644991212656,1.5546448087431695,-0.0017284710017574688,0.01723750357624554,False
UNI,prev1h_ret <= -0.0035074571,"[{""feature"": ""prev1h_ret"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0035074570586755673}]",907,0.5082690187431091,2.484931506849315,-0.0013346196251378167,1051,0.48810656517602286,2.871584699453552,-0.0017378686964795427,0.02016245356708629,False
UNI,cci_delta15 <= -55.14396,"[{""feature"": ""cci_delta15"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -55.14395967517604}]",506,0.5158102766798419,1.3863013698630138,-0.0011837944664031615,505,0.4871287128712871,1.3797814207650274,-0.0017574257425742568,0.0286815638085548,False
UNI,rsi4_delta15 <= -6.5454038,"[{""feature"": ""rsi4_delta15"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -6.545403825748343}]",807,0.5055762081784386,2.210958904109589,-0.001388475836431226,889,0.4701912260967379,2.42896174863388,-0.002096175478065241,0.03538498208170071,False
UNI,postshock_mae <= -0.0044893389,"[{""feature"": ""postshock_mae"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.004489338889430083}]",556,0.5071942446043165,1.5232876712328767,-0.0013561151079136686,444,0.46846846846846846,1.2131147540983607,-0.00213063063063063,0.038725776135848045,False
UNI,ema20_dist <= -0.016073803,"[{""feature"": ""ema20_dist"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.016073803234439875}]",518,0.5135135135135135,1.4191780821917808,-0.0012297297297297293,669,0.4633781763826607,1.8278688524590163,-0.002232436472346786,0.050135337130852775,False
UNI,ema20_slope <= -0.0016891213,"[{""feature"": ""ema20_slope"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0016891213295004092}]",518,0.5135135135135135,1.4191780821917808,-0.0012297297297297293,669,0.4633781763826607,1.8278688524590163,-0.002232436472346786,0.050135337130852775,False
PAIR,ema20_dist <= -0.016073803 AND ema20_slope <= -0.0016891213,"[{""feature"": ""ema20_dist"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.016073803234439875}, {""feature"": ""ema20_slope"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0016891213295004092}]",518,0.5135135135135135,1.4191780821917808,-0.0012297297297297293,669,0.4633781763826607,1.8278688524590163,-0.002232436472346786,0.050135337130852775,False
UNI,postshock_rebound >= 0.0095067101,"[{""feature"": ""postshock_rebound"", ""kind"": ""num"", ""op"": "">="", ""threshold"": 0.009506710144032616}]",548,0.5072992700729927,1.5013698630136987,-0.0013540145985401456,593,0.4536256323777403,1.6202185792349726,-0.0024274873524451936,0.05367363769525241,False
