SOL R4c H07 ETH-Style LONG Character Discovery
commit=7a3d6e6a4118754bcf0cdb42e719f4c098d5572d
hour_wib=7 direction=LONG candidates=3240 gate_relaxation=false
# SOL R4c — H07 ETH-Style LONG Character Discovery

Raw SOLUSDT 5m coverage: **99.7698%**.
Direction: **LONG only**.
Time habitat: **07:00–08:00 WIB only**.
Scientific grammar/gates are frozen from the established one-hour economic-first method; only the hour changes.
Development-era consistency: 2022, 2023, 2024. OOS is not opened by this runner.
Character rules: **90**; lookbacks: **6**; holds: **6**; candidates: **3240**; full-gate passers: **0**.

## Best Development LONG characters

| # | Character | LB | Hold | N | WR | Net | Exp | PF | DD | Anchors | 2022 WR/Exp | 2023 WR/Exp | 2024 WR/Exp | Gate |
|---:|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---|
| 1 | `RV_LOW__RANGE_HIGH` | 240m | 720m | 30 | 60.00% | $+176.42 | $+5.88 | 3.208 | $+39.24 | 0/0 | 33.33%/$+5.78 | 75.00%/$+7.26 | 65.00%/$+5.64 | NO |
| 2 | `RV_HIGH__RANGE_LOW` | 360m | 720m | 10 | 70.00% | $+59.52 | $+5.95 | 3.088 | $+18.69 | 0/0 | 60.00%/$+4.55 | 100.00%/$+5.39 | 66.67%/$+8.67 | NO |
| 3 | `RV_HIGH__RANGE_LOW` | 120m | 720m | 24 | 70.83% | $+164.60 | $+6.86 | 6.759 | $+13.56 | 0/0 | 71.43%/$+4.25 | 55.56%/$+4.44 | 87.50%/$+11.86 | NO |
| 4 | `RV_LOW__RANGE_HIGH` | 240m | 960m | 30 | 80.00% | $+350.88 | $+11.70 | 6.481 | $+32.93 | 0/0 | 50.00%/$+3.27 | 100.00%/$+10.78 | 85.00%/$+14.41 | NO |
| 5 | `RV_HIGH__RANGE_LOW` | 360m | 240m | 10 | 80.00% | $+43.82 | $+4.38 | 2.774 | $+24.70 | 0/0 | 60.00%/$+3.18 | 100.00%/$+5.70 | 100.00%/$+5.51 | NO |
| 6 | `RV_LOW__RANGE_HIGH` | 120m | 960m | 24 | 75.00% | $+145.48 | $+6.06 | 2.441 | $+57.03 | 0/0 | 85.71%/$+7.57 | 60.00%/$+3.11 | 75.00%/$+6.41 | NO |
| 7 | `RV_HIGH__RANGE_LOW` | 240m | 240m | 16 | 75.00% | $+48.02 | $+3.00 | 2.921 | $+15.87 | 0/0 | 66.67%/$+2.67 | 100.00%/$+3.18 | 75.00%/$+3.60 | NO |
| 8 | `RV_HIGH__RANGE_LOW` | 360m | 360m | 10 | 80.00% | $+66.78 | $+6.68 | 5.160 | $+16.05 | 0/0 | 60.00%/$+5.55 | 100.00%/$+2.60 | 100.00%/$+11.27 | NO |
| 9 | `DRIVE_DOWN__RANGE_HIGH` | 240m | 960m | 542 | 55.54% | $+1574.51 | $+2.91 | 1.397 | $+342.25 | 3/4 | 57.21%/$+2.88 | 54.87%/$+2.49 | 54.11%/$+3.49 | NO |
| 10 | `RV_MID__RANGE_HIGH` | 60m | 720m | 207 | 55.56% | $+652.52 | $+3.15 | 1.625 | $+119.69 | 3/4 | 49.28%/$+2.22 | 53.73%/$+4.17 | 63.38%/$+3.10 | NO |
| 11 | `RV_MID__RANGE_LOW` | 240m | 720m | 219 | 66.67% | $+834.30 | $+3.81 | 1.901 | $+145.99 | 4/4 | 71.43%/$+5.62 | 56.94%/$+2.04 | 71.43%/$+3.82 | NO |
| 12 | `DRIVE_UP__RV_HIGH` | 360m | 960m | 492 | 51.63% | $+1373.69 | $+2.79 | 1.302 | $+981.34 | 0/4 | 50.86%/$+4.07 | 45.85%/$+1.98 | 59.06%/$+2.89 | NO |
| 13 | `EFF_MID__RV_HIGH` | 360m | 720m | 333 | 53.75% | $+1165.35 | $+3.50 | 1.512 | $+356.82 | 1/4 | 50.00%/$+1.97 | 53.15%/$+5.85 | 57.63%/$+2.63 | NO |
| 14 | `EFF_MID__RANGE_HIGH` | 120m | 960m | 284 | 52.11% | $+1163.23 | $+4.10 | 1.499 | $+318.45 | 2/4 | 54.02%/$+4.89 | 54.46%/$+5.43 | 47.92%/$+1.97 | NO |
| 15 | `EFF_HIGH__RV_MID` | 60m | 720m | 293 | 54.95% | $+756.52 | $+2.58 | 1.509 | $+206.38 | 3/4 | 55.45%/$+2.67 | 51.55%/$+3.13 | 57.89%/$+1.93 | NO |
| 16 | `EFF_MID__RANGE_HIGH` | 60m | 720m | 313 | 55.91% | $+1281.62 | $+4.09 | 1.565 | $+245.90 | 2/4 | 52.34%/$+4.03 | 59.80%/$+6.40 | 55.77%/$+1.90 | NO |
