component,n,trades_with_funding_n,funding_event_n,mean_funding_r,median_funding_r,cum_funding_r
ALL,302,138,158,0.0007717127956180033,0.0,0.23305726427663698
BUY_SIDE,131,63,71,-0.0017819501058306876,0.0,-0.23343546386382008
SELL_SIDE,171,75,87,0.0027280276499441927,0.0,0.46649272814045695
SCORE3_ALL,274,127,144,0.001039577480503504,0.0,0.2848442296579601
SCORE3_BUY_SIDE_SHORT,131,63,71,-0.0017819501058306876,0.0,-0.23343546386382008
SCORE3_SELL_SIDE_LONG,143,64,73,0.00362433352113133,0.0,0.5182796935217802
SCORE4_SELL_SIDE_LONG,28,11,14,-0.0018495344779043995,0.0,-0.051786965381323186
