detector,partition,trades,wins,losses,wr,trades_per_day,net_return_units,avg_net_per_trade,median_hold_h,p90_hold_h
E0V1E,DEV_2023_24,66,31,35,0.4696969696969697,0.09028727770177838,-0.13899999999999998,-0.0021060606060606057,0.0,0.29166666666666663
E0V1E,HOLDOUT_2025,26,11,15,0.4230769230769231,0.07123287671232877,-0.07899999999999999,-0.003038461538461538,0.0,0.3333333333333333
E0V1E,FINAL_2026,2,1,1,0.5,0.00823045267489712,-0.002999999999999999,-0.0014999999999999996,0.25,0.45
CCI_BB,DEV_2023_24,4145,2003,2142,0.483232810615199,5.6703146374829005,-7.607499999999998,-0.0018353437876960188,0.9166666666666666,4.166666666666667
CCI_BB,HOLDOUT_2025,1974,991,983,0.5020263424518744,5.4082191780821915,-2.8809999999999993,-0.0014594731509625124,1.0833333333333333,4.583333333333333
CCI_BB,FINAL_2026,997,482,515,0.4834503510531595,4.102880658436214,-1.8254999999999995,-0.00183099297893681,1.75,7.783333333333331
OVERLAP,DEV_2023_24,55,27,28,0.4909090909090909,0.07523939808481532,-0.09249999999999997,-0.0016818181818181812,0.0,0.16666666666666666
OVERLAP,HOLDOUT_2025,19,8,11,0.42105263157894735,0.052054794520547946,-0.058499999999999996,-0.0030789473684210526,0.0,0.3333333333333333
OVERLAP,FINAL_2026,2,1,1,0.5,0.00823045267489712,-0.002999999999999999,-0.0014999999999999996,0.25,0.45
DNA_V1,DEV_2023_24,539,271,268,0.5027829313543599,0.7373461012311902,-0.7784999999999997,-0.001444341372912801,1.0,4.0
DNA_V1,HOLDOUT_2025,205,102,103,0.4975609756097561,0.5616438356164384,-0.3174999999999999,-0.0015487804878048775,1.25,5.149999999999999
DNA_V1,FINAL_2026,130,62,68,0.47692307692307695,0.5349794238683128,-0.25499999999999995,-0.001961538461538461,2.4166666666666665,11.29166666666667
